species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Mauersegler,10,2018,2018-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Mauersegler,10,2018,2018-04-18,1,0,F,F,F,F,?,F,F,F,F,F,F,?,108
Mauersegler,10,2018,2018-05-07,7,0,F,F,F,F,?,F,F,F,F,F,F,?,127
Mauersegler,10,2018,2018-05-18,3,0,F,F,F,F,?,F,F,F,F,F,F,?,138
Mauersegler,10,2018,2018-05-23,1,0,F,F,F,F,?,F,F,F,F,F,F,?,143
Mauersegler,10,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Mauersegler,10,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Mauersegler,10,2020,2020-05-01,2,0,F,F,F,F,?,F,F,F,F,F,F,?,122
Mauersegler,10,2020,2020-05-31,6,0,F,F,T,F,?,F,F,F,F,F,F,?,152
Mauersegler,10,2021,2021-04-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Mauersegler,10,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Mauersegler,10,2021,2021-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
Mauersegler,10,2021,2021-06-01,1,0,F,F,F,F,?,F,F,F,F,F,F,?,152
Mauersegler,13,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Mauersegler,13,2021,2021-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Mauersegler,13,2021,2021-05-10,1,0,F,F,F,F,?,F,F,F,F,F,F,?,130
Mauersegler,13,2021,2021-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Mauersegler,29,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Mauersegler,29,2019,2019-04-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
Mauersegler,29,2019,2019-05-15,4,0,F,F,F,F,?,F,F,F,F,F,F,?,135
Mauersegler,29,2019,2019-06-18,6,0,F,F,F,F,?,F,F,F,F,F,F,?,169
Mauersegler,29,2019,2019-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Mauersegler,32,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Mauersegler,32,2020,2020-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Mauersegler,32,2020,2020-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Mauersegler,32,2020,2020-06-12,1,0,F,F,F,F,?,F,F,F,F,F,F,?,164
Mauersegler,32,2021,2021-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Mauersegler,32,2021,2021-04-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Mauersegler,32,2021,2021-05-10,15,0,F,?,?,?,?,?,F,?,?,?,?,?,130
Mauersegler,32,2021,2021-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Mauersegler,35,2020,2020-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Mauersegler,35,2020,2020-04-26,1,0,F,F,F,F,?,F,F,F,F,F,F,?,117
Mauersegler,35,2020,2020-05-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Mauersegler,35,2020,2020-06-11,5,0,F,F,F,F,?,F,F,F,F,F,F,?,163
Mauersegler,36,2018,2018-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Mauersegler,36,2018,2018-04-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Mauersegler,36,2018,2018-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
