species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Schafstelze,2,2019,2019-03-31,1,0,?,?,?,?,?,?,?,?,?,?,?,?,90
Schafstelze,2,2019,2019-04-18,1,0,?,?,T,?,?,?,?,?,?,?,?,?,108
Schafstelze,2,2019,2019-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Schafstelze,2,2019,2019-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Schafstelze,2,2020,2020-04-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Schafstelze,2,2020,2020-05-06,2,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Schafstelze,2,2020,2020-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Schafstelze,2,2020,2020-06-12,4,0,F,F,T,T,?,F,F,F,F,F,T,?,164
Schafstelze,2,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Schafstelze,2,2021,2021-05-07,3,0,F,F,T,F,?,F,F,F,F,F,F,?,127
Schafstelze,2,2021,2021-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Schafstelze,2,2021,2021-04-19,1,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Schafstelze,4,2019,2019-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Schafstelze,4,2019,2019-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Schafstelze,4,2019,2019-05-09,1,0,F,T,F,F,?,F,F,F,F,F,F,?,129
Schafstelze,4,2019,2019-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Schafstelze,4,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Schafstelze,4,2020,2020-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Schafstelze,4,2020,2020-05-07,2,0,F,T,T,F,?,F,F,F,F,F,F,?,128
