species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Turteltaube,10,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Turteltaube,10,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Turteltaube,10,2020,2020-05-01,1,0,F,F,T,F,?,F,F,F,F,F,F,?,122
Turteltaube,10,2020,2020-05-31,2,2,T,F,T,F,?,F,F,F,F,F,F,?,152
Turteltaube,10,2021,2021-04-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
Turteltaube,10,2021,2021-04-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
Turteltaube,10,2021,2021-05-16,3,0,F,T,T,F,?,F,F,F,F,F,F,?,136
Turteltaube,10,2021,2021-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Turteltaube,25,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Turteltaube,25,2020,2020-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
Turteltaube,25,2020,2020-05-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Turteltaube,25,2020,2020-05-30,1,0,F,T,F,F,?,F,F,F,F,F,F,?,151
Turteltaube,62,2019,2019-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Turteltaube,62,2019,2019-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Turteltaube,62,2019,2019-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Turteltaube,62,2019,2019-06-15,1,0,F,T,F,F,?,F,F,F,F,F,F,?,166
Turteltaube,67,2022,2022-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
Turteltaube,67,2022,2022-04-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
Turteltaube,67,2022,2022-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Turteltaube,67,2022,2022-06-01,1,0,F,T,F,F,F,F,F,F,F,F,F,?,152
Turteltaube,67,2023,2023-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
Turteltaube,67,2023,2023-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Turteltaube,67,2023,2023-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Turteltaube,67,2023,2023-05-22,2,0,F,T,F,F,F,F,F,F,F,F,F,?,142
Turteltaube,74,2021,2021-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Turteltaube,74,2021,2021-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Turteltaube,74,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Turteltaube,74,2021,2021-06-01,1,0,F,T,F,F,?,F,F,F,F,F,F,?,152
Turteltaube,77,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Turteltaube,77,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Turteltaube,77,2020,2020-05-06,1,0,F,T,F,F,F,F,F,F,F,F,F,?,127
Turteltaube,77,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Turteltaube,77,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Turteltaube,77,2022,2022-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Turteltaube,77,2022,2022-05-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Turteltaube,77,2022,2022-06-15,1,1,T,F,F,F,F,F,F,F,F,F,F,?,166
Turteltaube,86,2023,2023-04-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Turteltaube,86,2023,2023-06-12,1,0,F,T,F,F,F,F,F,F,F,F,F,?,163
Turteltaube,86,2023,2023-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Turteltaube,86,2023,2023-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Turteltaube,90,2020,2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Turteltaube,90,2020,2020-04-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110
Turteltaube,90,2020,2020-05-06,2,0,F,T,F,F,F,F,F,F,F,F,F,?,127
Turteltaube,90,2020,2020-05-21,2,0,F,T,F,F,F,F,F,F,F,F,F,?,142
Turteltaube,90,2023,2023-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
Turteltaube,90,2023,2023-04-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Turteltaube,90,2023,2023-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Turteltaube,90,2023,2023-06-12,1,0,F,T,F,F,F,F,F,F,F,F,F,?,163
Turteltaube,135,2022,2022-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Turteltaube,135,2022,2022-04-30,1,0,F,T,F,F,F,F,F,F,F,F,F,?,120
Turteltaube,135,2022,2022-05-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
Turteltaube,135,2022,2022-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164
Turteltaube,139,2021,2021-03-29,3,0,F,T,F,F,?,F,F,F,F,F,F,?,88
Turteltaube,139,2021,2021-04-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Turteltaube,139,2021,2021-05-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141
Turteltaube,139,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Turteltaube,155,2022,2022-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Turteltaube,155,2022,2022-04-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
Turteltaube,155,2022,2022-05-11,1,0,F,T,F,F,F,F,F,F,F,F,F,?,131
Turteltaube,155,2022,2022-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Turteltaube,155,2023,2023-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Turteltaube,155,2023,2023-05-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
Turteltaube,155,2023,2023-06-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167
Turteltaube,155,2023,2023-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Turteltaube,156,2020,2020-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Turteltaube,156,2020,2020-04-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
Turteltaube,156,2020,2020-05-04,1,0,F,T,F,F,?,F,F,F,F,F,F,?,125
Turteltaube,156,2020,2020-06-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Turteltaube,164,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Turteltaube,164,2020,2020-04-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Turteltaube,164,2020,2020-05-04,1,0,F,T,F,F,F,F,F,F,F,F,F,?,125
Turteltaube,164,2020,2020-06-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Turteltaube,172,2021,2021-03-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
Turteltaube,172,2021,2021-04-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Turteltaube,172,2021,2021-05-13,1,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Turteltaube,172,2021,2021-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Turteltaube,252,2018,2018-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Turteltaube,252,2018,2018-05-14,9,0,F,T,F,F,?,F,F,F,F,F,F,?,134
