species,site,year,date,n_individuals,n_guests,guest,singing,calling,warning,aggressive_interaction,couple,female,nesting_material,feeding,nest,juvenile,territory,doy
Wendehals,18,2019,2019-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Wendehals,18,2019,2019-04-19,2,0,F,T,F,F,?,F,F,F,F,F,F,?,109
Wendehals,18,2019,2019-05-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Wendehals,18,2019,2019-05-23,2,0,F,T,F,F,?,F,F,F,F,F,F,?,143
Wendehals,18,2019,2019-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Wendehals,18,2019,2019-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
Wendehals,18,2021,2021-04-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
Wendehals,18,2021,2021-05-14,1,0,F,T,?,?,?,?,F,?,?,?,?,?,134
Wendehals,18,2021,2021-06-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
Wendehals,20,2019,2019-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Wendehals,20,2019,2019-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Wendehals,20,2019,2019-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133
Wendehals,20,2019,2019-05-27,1,0,F,T,F,F,?,F,F,F,F,F,F,?,147
Wendehals,22,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Wendehals,22,2019,2019-04-23,2,0,F,T,F,F,?,F,F,F,F,F,F,?,113
Wendehals,22,2019,2019-05-10,2,0,F,T,F,F,?,F,F,F,F,F,F,?,130
Wendehals,22,2019,2019-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Wendehals,25,2021,2021-04-24,2,0,F,T,F,F,?,F,?,F,F,F,F,?,114
Wendehals,25,2021,2021-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Wendehals,25,2021,2021-05-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144
Wendehals,29,2019,2019-03-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Wendehals,29,2019,2019-04-26,1,0,F,T,F,F,?,F,F,F,F,F,F,?,116
Wendehals,29,2019,2019-05-15,2,0,F,T,F,F,?,F,F,F,F,F,F,?,135
Wendehals,29,2019,2019-06-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Wendehals,29,2019,2019-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Wendehals,34,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Wendehals,34,2021,2021-04-23,2,0,F,T,?,?,?,T,F,?,?,?,?,?,113
Wendehals,34,2021,2021-05-07,2,0,F,T,?,?,?,?,F,?,?,?,?,?,127
Wendehals,34,2021,2021-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Wendehals,54,2018,2018-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Wendehals,54,2018,2018-04-15,4,0,F,T,F,F,?,F,F,F,F,F,F,?,105
Wendehals,54,2018,2018-05-13,1,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Wendehals,54,2018,2018-06-05,3,0,F,T,F,F,?,F,F,F,F,F,F,?,156
Wendehals,54,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Wendehals,54,2020,2020-04-13,6,0,F,T,F,F,?,F,F,F,F,F,F,?,104
Wendehals,54,2020,2020-05-19,2,0,F,T,F,F,?,F,F,F,F,F,F,?,140
Wendehals,54,2020,2020-06-13,1,0,F,T,F,F,?,F,F,F,F,F,F,?,165
Wendehals,54,2021,2021-03-28,1,0,F,T,F,F,?,F,F,F,F,F,F,?,87
Wendehals,54,2021,2021-04-20,5,0,F,T,F,F,?,F,F,F,F,F,F,?,110
Wendehals,54,2021,2021-05-13,3,0,F,T,F,F,?,F,F,F,F,F,F,?,133
Wendehals,54,2021,2021-06-13,4,0,F,T,F,F,?,F,F,F,F,T,F,?,164
Wendehals,56,2018,2018-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Wendehals,56,2018,2018-04-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
Wendehals,56,2018,2018-05-08,1,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Wendehals,56,2018,2018-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
Wendehals,56,2021,2021-03-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
Wendehals,56,2021,2021-04-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
Wendehals,56,2021,2021-05-08,1,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Wendehals,56,2021,2021-05-28,2,0,F,T,F,F,?,F,F,F,F,F,F,?,148
Wendehals,59,2018,2018-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Wendehals,59,2018,2018-04-14,1,0,F,F,T,F,?,F,F,F,F,F,F,?,104
Wendehals,59,2018,2018-05-09,1,0,F,F,T,F,?,F,F,F,F,F,F,?,129
Wendehals,59,2018,2018-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
Wendehals,59,2020,2020-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Wendehals,59,2020,2020-04-18,1,0,F,F,T,F,?,F,F,F,F,F,F,?,109
Wendehals,59,2020,2020-05-06,3,0,F,T,F,F,?,F,F,F,F,F,F,?,127
Wendehals,59,2020,2020-06-03,1,0,F,F,T,F,?,F,F,F,F,F,F,?,155
Wendehals,59,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Wendehals,59,2021,2021-04-22,1,0,F,F,T,F,?,F,F,F,F,F,F,?,112
Wendehals,59,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Wendehals,59,2021,2021-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Wendehals,61,2020,2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
Wendehals,61,2020,2020-04-04,1,0,F,T,F,F,?,F,F,F,F,F,F,?,95
Wendehals,61,2020,2020-05-02,2,0,F,T,F,F,?,F,F,F,F,F,F,?,123
Wendehals,61,2020,2020-05-30,1,0,F,F,T,F,?,F,F,F,F,F,F,?,151
Wendehals,61,2021,2021-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Wendehals,61,2021,2021-04-10,1,0,F,T,F,F,?,F,F,F,F,F,F,?,100
Wendehals,61,2021,2021-05-08,2,0,F,T,F,F,?,F,F,F,F,F,F,?,128
Wendehals,61,2021,2021-06-05,1,0,F,F,T,F,?,F,F,F,F,F,F,?,156
Wendehals,68,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Wendehals,68,2020,2020-04-16,1,1,T,F,F,F,?,F,F,F,F,F,F,?,107
Wendehals,68,2020,2020-05-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Wendehals,68,2020,2020-05-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149
Wendehals,68,2021,2021-03-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
Wendehals,68,2021,2021-04-16,1,0,F,T,F,F,?,F,F,F,F,F,F,?,106
Wendehals,68,2021,2021-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
Wendehals,68,2021,2021-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
Wendehals,68,2023,2023-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Wendehals,68,2023,2023-04-14,1,0,F,T,F,F,F,F,F,F,F,F,F,?,104
Wendehals,68,2023,2023-05-04,1,0,F,T,F,F,F,F,F,F,F,F,F,?,124
Wendehals,68,2023,2023-06-01,1,0,F,T,F,F,F,F,F,F,F,F,F,?,152
Wendehals,69,2019,2019-03-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
Wendehals,69,2019,2019-04-28,1,0,F,T,F,F,?,F,F,F,F,F,F,?,118
Wendehals,69,2019,2019-05-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Wendehals,69,2019,2019-06-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
Wendehals,70,2021,2021-03-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
Wendehals,70,2021,2021-04-27,1,0,F,T,F,F,?,F,F,F,F,F,F,?,117
Wendehals,70,2021,2021-05-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
Wendehals,70,2021,2021-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
Wendehals,75,2020,2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
Wendehals,75,2020,2020-04-20,1,0,F,F,T,F,?,F,F,F,F,F,F,?,111
Wendehals,75,2020,2020-05-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134
Wendehals,75,2020,2020-06-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169
Wendehals,75,2021,2021-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Wendehals,75,2021,2021-04-20,1,0,F,T,F,F,?,F,F,F,F,F,F,?,110
Wendehals,75,2021,2021-05-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Wendehals,75,2021,2021-06-10,1,0,F,T,F,F,?,F,F,F,F,F,F,?,161
Wendehals,75,2022,2022-03-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
Wendehals,75,2022,2022-04-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111
Wendehals,75,2022,2022-05-10,1,0,F,T,F,F,F,F,F,F,F,F,F,?,130
Wendehals,75,2022,2022-06-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
Wendehals,75,2023,2023-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Wendehals,75,2023,2023-04-19,1,0,F,T,F,F,F,F,F,F,F,F,F,?,109
Wendehals,75,2023,2023-05-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129
Wendehals,75,2023,2023-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
Wendehals,77,2020,2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Wendehals,77,2020,2020-04-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Wendehals,77,2020,2020-05-06,1,0,F,T,F,F,F,F,F,F,F,F,F,?,127
Wendehals,77,2020,2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Wendehals,83,2020,2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
Wendehals,83,2020,2020-04-10,2,0,F,T,F,F,?,F,F,F,F,F,F,?,101
Wendehals,83,2020,2020-05-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
Wendehals,83,2020,2020-06-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176
Wendehals,83,2021,2021-03-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
Wendehals,83,2021,2021-04-22,1,0,F,T,F,F,?,F,F,F,F,F,F,?,112
Wendehals,83,2021,2021-05-10,1,0,F,T,F,F,?,F,F,F,F,F,F,?,130
Wendehals,83,2021,2021-06-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
Wendehals,86,2020,2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
Wendehals,86,2020,2020-04-13,4,0,F,T,F,F,F,F,F,F,F,F,F,?,104
Wendehals,86,2020,2020-05-07,1,0,F,T,F,F,F,F,F,F,F,F,F,?,128
Wendehals,86,2020,2020-05-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144
Wendehals,86,2021,2021-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
Wendehals,86,2021,2021-04-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Wendehals,86,2021,2021-05-02,1,0,?,T,?,?,?,?,?,?,?,?,?,?,122
Wendehals,86,2021,2021-05-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
Wendehals,86,2022,2022-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
