NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Anas platyrhynchos,Stockente,bw10,2022,2022-06-09,0,breeder,160
Anas platyrhynchos,Stockente,bw10,2022,2022-05-14,1,breeder,134
Anas platyrhynchos,Stockente,bw10,2022,2022-03-20,6,breeder,79
Anas platyrhynchos,Stockente,bw10,2022,2022-04-22,3,breeder,112
Anas platyrhynchos,Stockente,bw10,2023,2023-04-30,0,breeder,120
Anas platyrhynchos,Stockente,bw10,2023,2023-05-14,1,breeder,134
Anas platyrhynchos,Stockente,bw10,2023,2023-05-27,4,breeder,147
Anas platyrhynchos,Stockente,bw10,2023,2023-03-18,1,breeder,77
Anas platyrhynchos,Stockente,bw10,2024,2024-06-08,2,breeder,160
Anas platyrhynchos,Stockente,bw10,2024,2024-03-11,2,breeder,71
Anas platyrhynchos,Stockente,bw10,2024,2024-04-05,3,breeder,96
Anas platyrhynchos,Stockente,bw10,2024,2024-05-04,3,breeder,125
Anas platyrhynchos,Stockente,bw10,2024,2024-04-04,0,breeder,95
Anas platyrhynchos,Stockente,bw10,2025,2025-04-16,24,breeder,106
Anas platyrhynchos,Stockente,bw10,2025,2025-05-31,1,breeder,151
Anas platyrhynchos,Stockente,bw10,2025,2025-03-23,3,breeder,82
Anas platyrhynchos,Stockente,bw10,2025,2025-05-11,1,breeder,131
Anas platyrhynchos,Stockente,bw100,2025,2025-04-13,0,breeder,103
Anas platyrhynchos,Stockente,bw100,2025,2025-05-18,4,breeder,138
Anas platyrhynchos,Stockente,bw100,2025,2025-06-19,0,breeder,170
Anas platyrhynchos,Stockente,bw100,2025,2025-03-16,0,breeder,75
Anas platyrhynchos,Stockente,bw102,2024,2024-04-27,3,breeder,118
Anas platyrhynchos,Stockente,bw102,2024,2024-03-25,3,breeder,85
Anas platyrhynchos,Stockente,bw102,2024,2024-05-18,2,breeder,139
Anas platyrhynchos,Stockente,bw102,2024,2024-06-17,0,breeder,169
Anas platyrhynchos,Stockente,bw102,2025,2025-03-25,0,breeder,84
Anas platyrhynchos,Stockente,bw102,2025,2025-04-10,1,breeder,100
Anas platyrhynchos,Stockente,bw102,2025,2025-06-09,4,breeder,160
Anas platyrhynchos,Stockente,bw102,2025,2025-05-12,0,breeder,132
Anas platyrhynchos,Stockente,bw104,2022,2022-05-30,9,breeder,150
Anas platyrhynchos,Stockente,bw104,2022,2022-05-11,9,breeder,131
Anas platyrhynchos,Stockente,bw104,2022,2022-03-21,4,breeder,80
Anas platyrhynchos,Stockente,bw104,2022,2022-04-13,4,breeder,103
Anas platyrhynchos,Stockente,bw104,2023,2023-06-09,8,breeder,160
Anas platyrhynchos,Stockente,bw104,2023,2023-04-27,1,breeder,117
Anas platyrhynchos,Stockente,bw104,2023,2023-05-18,15,breeder,138
Anas platyrhynchos,Stockente,bw104,2023,2023-03-21,0,breeder,80
Anas platyrhynchos,Stockente,bw104,2023,2023-06-08,0,breeder,159
Anas platyrhynchos,Stockente,bw104,2024,2024-06-12,3,breeder,164
Anas platyrhynchos,Stockente,bw104,2024,2024-05-14,10,breeder,135
Anas platyrhynchos,Stockente,bw104,2024,2024-03-19,2,breeder,79
Anas platyrhynchos,Stockente,bw104,2024,2024-04-13,1,breeder,104
Anas platyrhynchos,Stockente,bw104,2025,2025-05-13,3,breeder,133
Anas platyrhynchos,Stockente,bw104,2025,2025-06-17,5,breeder,168
Anas platyrhynchos,Stockente,bw104,2025,2025-04-11,1,breeder,101
Anas platyrhynchos,Stockente,bw104,2025,2025-03-21,2,breeder,80
Anas platyrhynchos,Stockente,bw104,2025,2025-04-10,1,breeder,100
Anas platyrhynchos,Stockente,bw104,2025,2025-05-12,0,breeder,132
Anas platyrhynchos,Stockente,bw119,2022,2022-04-27,0,breeder,117
Anas platyrhynchos,Stockente,bw119,2022,2022-03-30,4,breeder,89
Anas platyrhynchos,Stockente,bw119,2022,2022-06-13,8,breeder,164
Anas platyrhynchos,Stockente,bw119,2022,2022-05-19,0,breeder,139
Anas platyrhynchos,Stockente,bw119,2024,2024-05-02,1,breeder,123
Anas platyrhynchos,Stockente,bw119,2024,2024-03-12,2,breeder,72
Anas platyrhynchos,Stockente,bw119,2024,2024-04-22,1,breeder,113
Anas platyrhynchos,Stockente,bw119,2024,2024-06-16,0,breeder,168
Anas platyrhynchos,Stockente,bw119,2024,2024-04-21,0,breeder,112
Anas platyrhynchos,Stockente,bw119,2025,2025-03-26,4,breeder,85
Anas platyrhynchos,Stockente,bw119,2025,2025-04-16,3,breeder,106
