NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Anas platyrhynchos,Stockente,bw105,2024,2024-04-13,0,non_breeder,104
Anas platyrhynchos,Stockente,bw105,2024,2024-03-27,0,non_breeder,87
Anas platyrhynchos,Stockente,bw105,2024,2024-05-12,0,non_breeder,133
Anas platyrhynchos,Stockente,bw105,2024,2024-06-12,1,non_breeder,164
Anas platyrhynchos,Stockente,bw108,2023,2023-05-05,0,non_breeder,125
Anas platyrhynchos,Stockente,bw108,2023,2023-06-02,11,non_breeder,153
Anas platyrhynchos,Stockente,bw108,2023,2023-03-22,0,non_breeder,81
Anas platyrhynchos,Stockente,bw108,2023,2023-04-22,0,non_breeder,112
Anas platyrhynchos,Stockente,bw108,2024,2024-04-06,3,non_breeder,97
Anas platyrhynchos,Stockente,bw108,2024,2024-06-16,0,non_breeder,168
Anas platyrhynchos,Stockente,bw108,2024,2024-03-22,0,non_breeder,82
Anas platyrhynchos,Stockente,bw108,2024,2024-05-04,0,non_breeder,125
Anas platyrhynchos,Stockente,bw110,2024,2024-03-31,3,non_breeder,91
Anas platyrhynchos,Stockente,bw110,2024,2024-05-15,0,non_breeder,136
Anas platyrhynchos,Stockente,bw110,2024,2024-04-27,0,non_breeder,118
Anas platyrhynchos,Stockente,bw110,2024,2024-06-26,0,non_breeder,178
Anas platyrhynchos,Stockente,bw111,2022,2022-03-20,0,non_breeder,79
Anas platyrhynchos,Stockente,bw111,2022,2022-04-15,0,non_breeder,105
Anas platyrhynchos,Stockente,bw111,2022,2022-05-08,0,non_breeder,128
Anas platyrhynchos,Stockente,bw111,2022,2022-06-08,1,non_breeder,159
Anas platyrhynchos,Stockente,bw116,2025,2025-04-27,1,non_breeder,117
Anas platyrhynchos,Stockente,bw116,2025,2025-05-08,0,non_breeder,128
Anas platyrhynchos,Stockente,bw116,2025,2025-03-18,0,non_breeder,77
Anas platyrhynchos,Stockente,bw116,2025,2025-06-06,0,non_breeder,157
Anas platyrhynchos,Stockente,bw118,2023,2023-04-07,1,non_breeder,97
Anas platyrhynchos,Stockente,bw118,2023,2023-05-05,0,non_breeder,125
Anas platyrhynchos,Stockente,bw118,2023,2023-05-26,0,non_breeder,146
Anas platyrhynchos,Stockente,bw118,2023,2023-03-13,0,non_breeder,72
Anas platyrhynchos,Stockente,bw118,2023,2023-05-25,0,non_breeder,145
Anas platyrhynchos,Stockente,bw132,2024,2024-04-05,0,non_breeder,96
Anas platyrhynchos,Stockente,bw132,2024,2024-05-01,7,non_breeder,122
Anas platyrhynchos,Stockente,bw132,2024,2024-03-18,1,non_breeder,78
Anas platyrhynchos,Stockente,bw132,2024,2024-06-20,0,non_breeder,172
Anas platyrhynchos,Stockente,bw168,2024,2024-05-15,0,non_breeder,136
Anas platyrhynchos,Stockente,bw168,2024,2024-06-11,1,non_breeder,163
Anas platyrhynchos,Stockente,bw168,2024,2024-03-26,0,non_breeder,86
Anas platyrhynchos,Stockente,bw168,2024,2024-04-16,0,non_breeder,107
Anas platyrhynchos,Stockente,bw170,2024,2024-06-05,0,non_breeder,157
Anas platyrhynchos,Stockente,bw170,2024,2024-03-21,0,non_breeder,81
Anas platyrhynchos,Stockente,bw170,2024,2024-05-02,1,non_breeder,123
Anas platyrhynchos,Stockente,bw170,2024,2024-04-10,0,non_breeder,101
Anas platyrhynchos,Stockente,bw170,2025,2025-06-04,1,non_breeder,155
Anas platyrhynchos,Stockente,bw170,2025,2025-04-02,0,non_breeder,92
Anas platyrhynchos,Stockente,bw170,2025,2025-05-02,0,non_breeder,122
Anas platyrhynchos,Stockente,bw170,2025,2025-03-18,0,non_breeder,77
Anas platyrhynchos,Stockente,bw179,2024,2024-04-06,2,non_breeder,97
Anas platyrhynchos,Stockente,bw179,2024,2024-06-04,0,non_breeder,156
Anas platyrhynchos,Stockente,bw179,2024,2024-03-17,0,non_breeder,77
Anas platyrhynchos,Stockente,bw179,2024,2024-05-11,0,non_breeder,132
Anas platyrhynchos,Stockente,bw180,2023,2023-03-19,0,non_breeder,78
Anas platyrhynchos,Stockente,bw180,2023,2023-04-09,4,non_breeder,99
Anas platyrhynchos,Stockente,bw180,2023,2023-05-28,0,non_breeder,148
Anas platyrhynchos,Stockente,bw180,2023,2023-05-14,0,non_breeder,134
Anas platyrhynchos,Stockente,bw185,2024,2024-04-30,2,non_breeder,121
Anas platyrhynchos,Stockente,bw185,2024,2024-05-14,0,non_breeder,135
Anas platyrhynchos,Stockente,bw185,2024,2024-06-20,0,non_breeder,172
Anas platyrhynchos,Stockente,bw185,2024,2024-03-21,0,non_breeder,81
Anas platyrhynchos,Stockente,bw187,2023,2023-03-17,0,non_breeder,76
Anas platyrhynchos,Stockente,bw187,2023,2023-04-05,0,non_breeder,95
Anas platyrhynchos,Stockente,bw187,2023,2023-05-17,1,non_breeder,137
Anas platyrhynchos,Stockente,bw187,2023,2023-06-15,0,non_breeder,166
Anas platyrhynchos,Stockente,bw187,2024,2024-05-22,0,non_breeder,143
Anas platyrhynchos,Stockente,bw187,2024,2024-03-19,1,non_breeder,79
Anas platyrhynchos,Stockente,bw187,2024,2024-06-05,2,non_breeder,157
Anas platyrhynchos,Stockente,bw187,2024,2024-04-12,0,non_breeder,103
Anas platyrhynchos,Stockente,bw189,2025,2025-06-05,0,non_breeder,156
Anas platyrhynchos,Stockente,bw189,2025,2025-05-13,2,non_breeder,133
Anas platyrhynchos,Stockente,bw189,2025,2025-04-08,0,non_breeder,98
Anas platyrhynchos,Stockente,bw189,2025,2025-03-24,0,non_breeder,83
Anas platyrhynchos,Stockente,bw199,2022,2022-06-05,0,non_breeder,156
Anas platyrhynchos,Stockente,bw199,2022,2022-03-26,0,non_breeder,85
Anas platyrhynchos,Stockente,bw199,2022,2022-04-16,0,non_breeder,106
Anas platyrhynchos,Stockente,bw199,2022,2022-05-11,1,non_breeder,131
Anas platyrhynchos,Stockente,bw199,2023,2023-04-22,0,non_breeder,112
Anas platyrhynchos,Stockente,bw199,2023,2023-05-07,2,non_breeder,127
Anas platyrhynchos,Stockente,bw199,2023,2023-03-18,0,non_breeder,77
Anas platyrhynchos,Stockente,bw199,2025,2025-03-30,0,non_breeder,89
Anas platyrhynchos,Stockente,bw199,2025,2025-06-07,1,non_breeder,158
Anas platyrhynchos,Stockente,bw199,2025,2025-05-14,0,non_breeder,134
Anas platyrhynchos,Stockente,bw199,2025,2025-04-27,0,non_breeder,117
Anas platyrhynchos,Stockente,bw202,2022,2022-03-20,0,non_breeder,79
Anas platyrhynchos,Stockente,bw202,2022,2022-04-06,3,non_breeder,96
Anas platyrhynchos,Stockente,bw202,2022,2022-05-02,4,non_breeder,122
Anas platyrhynchos,Stockente,bw202,2022,2022-05-23,0,non_breeder,143
Anas platyrhynchos,Stockente,bw202,2024,2024-06-05,5,non_breeder,157
Anas platyrhynchos,Stockente,bw202,2024,2024-03-22,0,non_breeder,82
Anas platyrhynchos,Stockente,bw202,2024,2024-04-08,0,non_breeder,99
Anas platyrhynchos,Stockente,bw202,2024,2024-05-08,1,non_breeder,129
