NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Anthus pratensis,Wiesenpieper,bw10,2022,2022-06-09,0,non_breeder,160
Anthus pratensis,Wiesenpieper,bw10,2022,2022-05-14,0,non_breeder,134
Anthus pratensis,Wiesenpieper,bw10,2022,2022-03-20,1,non_breeder,79
Anthus pratensis,Wiesenpieper,bw10,2022,2022-04-22,0,non_breeder,112
Anthus pratensis,Wiesenpieper,bw103,2022,2022-03-27,0,non_breeder,86
Anthus pratensis,Wiesenpieper,bw103,2022,2022-04-22,2,non_breeder,112
Anthus pratensis,Wiesenpieper,bw103,2022,2022-05-13,0,non_breeder,133
Anthus pratensis,Wiesenpieper,bw103,2022,2022-06-19,0,non_breeder,170
Anthus pratensis,Wiesenpieper,bw103,2023,2023-04-23,1,non_breeder,113
Anthus pratensis,Wiesenpieper,bw103,2023,2023-05-18,0,non_breeder,138
Anthus pratensis,Wiesenpieper,bw103,2023,2023-06-09,0,non_breeder,160
Anthus pratensis,Wiesenpieper,bw103,2023,2023-03-27,0,non_breeder,86
Anthus pratensis,Wiesenpieper,bw115,2025,2025-03-16,0,non_breeder,75
Anthus pratensis,Wiesenpieper,bw115,2025,2025-04-13,4,non_breeder,103
Anthus pratensis,Wiesenpieper,bw115,2025,2025-06-01,0,non_breeder,152
Anthus pratensis,Wiesenpieper,bw115,2025,2025-05-01,0,non_breeder,121
Anthus pratensis,Wiesenpieper,bw13,2020,2020-03-28,2,non_breeder,88
Anthus pratensis,Wiesenpieper,bw13,2020,2020-05-10,0,non_breeder,131
Anthus pratensis,Wiesenpieper,bw13,2020,2020-06-05,0,non_breeder,157
Anthus pratensis,Wiesenpieper,bw13,2020,2020-04-19,0,non_breeder,110
Anthus pratensis,Wiesenpieper,bw13,2020,2020-04-18,0,non_breeder,109
Anthus pratensis,Wiesenpieper,bw13,2022,2022-03-27,1,non_breeder,86
Anthus pratensis,Wiesenpieper,bw13,2022,2022-04-15,2,non_breeder,105
Anthus pratensis,Wiesenpieper,bw13,2022,2022-05-09,0,non_breeder,129
Anthus pratensis,Wiesenpieper,bw13,2022,2022-06-04,0,non_breeder,155
Anthus pratensis,Wiesenpieper,bw13,2023,2023-04-15,1,non_breeder,105
Anthus pratensis,Wiesenpieper,bw13,2023,2023-03-29,2,non_breeder,88
Anthus pratensis,Wiesenpieper,bw13,2023,2023-05-11,0,non_breeder,131
Anthus pratensis,Wiesenpieper,bw13,2023,2023-06-08,0,non_breeder,159
Anthus pratensis,Wiesenpieper,bw13,2025,2025-03-28,7,non_breeder,87
Anthus pratensis,Wiesenpieper,bw13,2025,2025-04-15,0,non_breeder,105
Anthus pratensis,Wiesenpieper,bw13,2025,2025-05-10,0,non_breeder,130
Anthus pratensis,Wiesenpieper,bw13,2025,2025-06-08,0,non_breeder,159
Anthus pratensis,Wiesenpieper,bw142,2025,2025-03-21,0,non_breeder,80
Anthus pratensis,Wiesenpieper,bw142,2025,2025-04-10,1,non_breeder,100
Anthus pratensis,Wiesenpieper,bw142,2025,2025-05-09,0,non_breeder,129
Anthus pratensis,Wiesenpieper,bw142,2025,2025-05-30,0,non_breeder,150
Anthus pratensis,Wiesenpieper,bw146,2021,2021-06-03,0,non_breeder,154
Anthus pratensis,Wiesenpieper,bw146,2021,2021-03-25,0,non_breeder,84
Anthus pratensis,Wiesenpieper,bw146,2021,2021-04-18,0,non_breeder,108
Anthus pratensis,Wiesenpieper,bw146,2021,2021-05-09,1,non_breeder,129
Anthus pratensis,Wiesenpieper,bw15,2025,2025-03-28,0,non_breeder,87
Anthus pratensis,Wiesenpieper,bw15,2025,2025-04-09,1,non_breeder,99
Anthus pratensis,Wiesenpieper,bw15,2025,2025-05-10,0,non_breeder,130
Anthus pratensis,Wiesenpieper,bw15,2025,2025-06-01,0,non_breeder,152
Anthus pratensis,Wiesenpieper,bw151,2023,2023-03-26,3,non_breeder,85
Anthus pratensis,Wiesenpieper,bw151,2023,2023-04-30,0,non_breeder,120
Anthus pratensis,Wiesenpieper,bw151,2023,2023-05-14,0,non_breeder,134
Anthus pratensis,Wiesenpieper,bw151,2023,2023-05-28,0,non_breeder,148
Anthus pratensis,Wiesenpieper,bw164,2024,2024-04-23,0,non_breeder,114
Anthus pratensis,Wiesenpieper,bw164,2024,2024-05-21,0,non_breeder,142
Anthus pratensis,Wiesenpieper,bw164,2024,2024-06-19,0,non_breeder,171
Anthus pratensis,Wiesenpieper,bw164,2024,2024-03-19,5,non_breeder,79
Anthus pratensis,Wiesenpieper,bw164,2025,2025-04-15,1,non_breeder,105
Anthus pratensis,Wiesenpieper,bw164,2025,2025-06-16,0,non_breeder,167
Anthus pratensis,Wiesenpieper,bw164,2025,2025-05-15,0,non_breeder,135
Anthus pratensis,Wiesenpieper,bw164,2025,2025-03-17,0,non_breeder,76
Anthus pratensis,Wiesenpieper,bw168,2024,2024-05-15,0,non_breeder,136
Anthus pratensis,Wiesenpieper,bw168,2024,2024-06-11,0,non_breeder,163
Anthus pratensis,Wiesenpieper,bw168,2024,2024-03-26,3,non_breeder,86
Anthus pratensis,Wiesenpieper,bw168,2024,2024-04-16,3,non_breeder,107
Anthus pratensis,Wiesenpieper,bw168,2025,2025-06-11,0,non_breeder,162
Anthus pratensis,Wiesenpieper,bw168,2025,2025-03-27,1,non_breeder,86
Anthus pratensis,Wiesenpieper,bw168,2025,2025-04-16,4,non_breeder,106
Anthus pratensis,Wiesenpieper,bw168,2025,2025-05-07,0,non_breeder,127
Anthus pratensis,Wiesenpieper,bw169,2024,2024-04-09,0,non_breeder,100
Anthus pratensis,Wiesenpieper,bw169,2024,2024-05-01,0,non_breeder,122
Anthus pratensis,Wiesenpieper,bw169,2024,2024-03-20,1,non_breeder,80
Anthus pratensis,Wiesenpieper,bw169,2024,2024-06-04,0,non_breeder,156
Anthus pratensis,Wiesenpieper,bw169,2025,2025-06-03,0,non_breeder,154
Anthus pratensis,Wiesenpieper,bw169,2025,2025-05-06,0,non_breeder,126
Anthus pratensis,Wiesenpieper,bw169,2025,2025-03-19,0,non_breeder,78
Anthus pratensis,Wiesenpieper,bw169,2025,2025-04-08,5,non_breeder,98
Anthus pratensis,Wiesenpieper,bw170,2024,2024-06-05,0,non_breeder,157
Anthus pratensis,Wiesenpieper,bw170,2024,2024-03-21,3,non_breeder,81
Anthus pratensis,Wiesenpieper,bw170,2024,2024-05-02,0,non_breeder,123
Anthus pratensis,Wiesenpieper,bw170,2024,2024-04-10,0,non_breeder,101
Anthus pratensis,Wiesenpieper,bw170,2025,2025-06-04,0,non_breeder,155
Anthus pratensis,Wiesenpieper,bw170,2025,2025-04-02,0,non_breeder,92
Anthus pratensis,Wiesenpieper,bw170,2025,2025-05-02,0,non_breeder,122
Anthus pratensis,Wiesenpieper,bw170,2025,2025-03-18,2,non_breeder,77
Anthus pratensis,Wiesenpieper,bw178,2022,2022-06-19,1,non_breeder,170
Anthus pratensis,Wiesenpieper,bw178,2022,2022-03-12,0,non_breeder,71
Anthus pratensis,Wiesenpieper,bw178,2022,2022-04-23,0,non_breeder,113
Anthus pratensis,Wiesenpieper,bw178,2022,2022-05-21,0,non_breeder,141
Anthus pratensis,Wiesenpieper,bw179,2022,2022-06-06,0,non_breeder,157
Anthus pratensis,Wiesenpieper,bw179,2022,2022-03-12,1,non_breeder,71
Anthus pratensis,Wiesenpieper,bw179,2022,2022-04-11,2,non_breeder,101
Anthus pratensis,Wiesenpieper,bw179,2022,2022-05-08,0,non_breeder,128
Anthus pratensis,Wiesenpieper,bw179,2023,2023-06-03,0,non_breeder,154
Anthus pratensis,Wiesenpieper,bw179,2023,2023-04-09,1,non_breeder,99
Anthus pratensis,Wiesenpieper,bw179,2023,2023-05-04,0,non_breeder,124
Anthus pratensis,Wiesenpieper,bw179,2023,2023-03-20,2,non_breeder,79
Anthus pratensis,Wiesenpieper,bw179,2025,2025-05-31,0,non_breeder,151
Anthus pratensis,Wiesenpieper,bw179,2025,2025-04-04,2,non_breeder,94
Anthus pratensis,Wiesenpieper,bw179,2025,2025-03-11,0,non_breeder,70
Anthus pratensis,Wiesenpieper,bw179,2025,2025-05-02,0,non_breeder,122
Anthus pratensis,Wiesenpieper,bw18,2021,2021-04-16,2,non_breeder,106
Anthus pratensis,Wiesenpieper,bw18,2021,2021-06-14,0,non_breeder,165
Anthus pratensis,Wiesenpieper,bw18,2021,2021-05-14,0,non_breeder,134
Anthus pratensis,Wiesenpieper,bw189,2025,2025-06-05,0,non_breeder,156
Anthus pratensis,Wiesenpieper,bw189,2025,2025-05-13,0,non_breeder,133
Anthus pratensis,Wiesenpieper,bw189,2025,2025-04-08,3,non_breeder,98
Anthus pratensis,Wiesenpieper,bw189,2025,2025-03-24,0,non_breeder,83
Anthus pratensis,Wiesenpieper,bw2,2025,2025-03-20,0,non_breeder,79
Anthus pratensis,Wiesenpieper,bw2,2025,2025-04-11,1,non_breeder,101
Anthus pratensis,Wiesenpieper,bw2,2025,2025-05-12,0,non_breeder,132
Anthus pratensis,Wiesenpieper,bw2,2025,2025-06-09,0,non_breeder,160
Anthus pratensis,Wiesenpieper,bw206,2025,2025-03-15,0,non_breeder,74
Anthus pratensis,Wiesenpieper,bw206,2025,2025-04-15,1,non_breeder,105
Anthus pratensis,Wiesenpieper,bw206,2025,2025-05-10,0,non_breeder,130
Anthus pratensis,Wiesenpieper,bw206,2025,2025-06-02,0,non_breeder,153
Anthus pratensis,Wiesenpieper,bw208,2023,2023-03-19,9,non_breeder,78
Anthus pratensis,Wiesenpieper,bw208,2023,2023-04-09,0,non_breeder,99
Anthus pratensis,Wiesenpieper,bw208,2023,2023-05-07,0,non_breeder,127
Anthus pratensis,Wiesenpieper,bw208,2023,2023-05-28,0,non_breeder,148
Anthus pratensis,Wiesenpieper,bw21,2022,2022-03-25,3,non_breeder,84
Anthus pratensis,Wiesenpieper,bw21,2024,2024-03-30,1,non_breeder,90
Anthus pratensis,Wiesenpieper,bw21,2024,2024-04-13,0,non_breeder,104
Anthus pratensis,Wiesenpieper,bw21,2024,2024-05-20,0,non_breeder,141
Anthus pratensis,Wiesenpieper,bw21,2024,2024-06-07,0,non_breeder,159
Anthus pratensis,Wiesenpieper,bw218,2023,2023-03-22,7,non_breeder,81
Anthus pratensis,Wiesenpieper,bw218,2023,2023-04-10,1,non_breeder,100
Anthus pratensis,Wiesenpieper,bw218,2023,2023-05-07,0,non_breeder,127
Anthus pratensis,Wiesenpieper,bw218,2023,2023-05-27,0,non_breeder,147
Anthus pratensis,Wiesenpieper,bw218,2024,2024-03-17,5,non_breeder,77
Anthus pratensis,Wiesenpieper,bw218,2024,2024-04-07,1,non_breeder,98
Anthus pratensis,Wiesenpieper,bw218,2024,2024-05-09,0,non_breeder,130
Anthus pratensis,Wiesenpieper,bw218,2024,2024-05-28,0,non_breeder,149
Anthus pratensis,Wiesenpieper,bw218,2025,2025-04-19,1,non_breeder,109
Anthus pratensis,Wiesenpieper,bw218,2025,2025-03-22,0,non_breeder,81
Anthus pratensis,Wiesenpieper,bw218,2025,2025-05-11,0,non_breeder,131
Anthus pratensis,Wiesenpieper,bw218,2025,2025-05-31,0,non_breeder,151
Anthus pratensis,Wiesenpieper,bw220,2022,2022-06-06,0,non_breeder,157
Anthus pratensis,Wiesenpieper,bw220,2022,2022-05-16,0,non_breeder,136
Anthus pratensis,Wiesenpieper,bw220,2022,2022-03-26,0,non_breeder,85
Anthus pratensis,Wiesenpieper,bw220,2022,2022-04-17,1,non_breeder,107
Anthus pratensis,Wiesenpieper,bw227,2024,2024-03-27,2,non_breeder,87
Anthus pratensis,Wiesenpieper,bw227,2024,2024-05-13,0,non_breeder,134
Anthus pratensis,Wiesenpieper,bw227,2024,2024-06-08,0,non_breeder,160
Anthus pratensis,Wiesenpieper,bw227,2024,2024-04-28,0,non_breeder,119
Anthus pratensis,Wiesenpieper,bw235,2025,2025-06-03,0,non_breeder,154
Anthus pratensis,Wiesenpieper,bw235,2025,2025-03-21,1,non_breeder,80
Anthus pratensis,Wiesenpieper,bw235,2025,2025-04-19,0,non_breeder,109
Anthus pratensis,Wiesenpieper,bw235,2025,2025-05-14,0,non_breeder,134
Anthus pratensis,Wiesenpieper,bw246,2025,2025-05-13,0,non_breeder,133
Anthus pratensis,Wiesenpieper,bw246,2025,2025-03-20,1,non_breeder,79
Anthus pratensis,Wiesenpieper,bw246,2025,2025-04-17,0,non_breeder,107
Anthus pratensis,Wiesenpieper,bw246,2025,2025-06-10,0,non_breeder,161
Anthus pratensis,Wiesenpieper,bw25,2022,2022-06-18,0,non_breeder,169
Anthus pratensis,Wiesenpieper,bw25,2022,2022-03-27,0,non_breeder,86
Anthus pratensis,Wiesenpieper,bw25,2022,2022-04-10,3,non_breeder,100
Anthus pratensis,Wiesenpieper,bw25,2022,2022-05-01,0,non_breeder,121
Anthus pratensis,Wiesenpieper,bw25,2024,2024-05-12,0,non_breeder,133
