NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Buteo buteo,Mäusebussard,bw100,2025,2025-04-13,0,non_breeder,103
Buteo buteo,Mäusebussard,bw100,2025,2025-05-18,1,non_breeder,138
Buteo buteo,Mäusebussard,bw100,2025,2025-06-19,0,non_breeder,170
Buteo buteo,Mäusebussard,bw100,2025,2025-03-16,3,non_breeder,75
Buteo buteo,Mäusebussard,bw101,2022,2022-03-27,4,non_breeder,86
Buteo buteo,Mäusebussard,bw101,2022,2022-04-17,3,non_breeder,107
Buteo buteo,Mäusebussard,bw101,2022,2022-05-20,2,non_breeder,140
Buteo buteo,Mäusebussard,bw101,2022,2022-06-20,0,non_breeder,171
Buteo buteo,Mäusebussard,bw101,2023,2023-03-31,3,non_breeder,90
Buteo buteo,Mäusebussard,bw101,2023,2023-04-30,2,non_breeder,120
Buteo buteo,Mäusebussard,bw101,2023,2023-05-14,2,non_breeder,134
Buteo buteo,Mäusebussard,bw101,2023,2023-06-06,2,non_breeder,157
Buteo buteo,Mäusebussard,bw105,2024,2024-04-13,0,non_breeder,104
Buteo buteo,Mäusebussard,bw105,2024,2024-03-27,0,non_breeder,87
Buteo buteo,Mäusebussard,bw105,2024,2024-05-12,3,non_breeder,133
Buteo buteo,Mäusebussard,bw105,2024,2024-06-12,2,non_breeder,164
Buteo buteo,Mäusebussard,bw105,2025,2025-03-27,0,non_breeder,86
Buteo buteo,Mäusebussard,bw105,2025,2025-04-29,1,non_breeder,119
Buteo buteo,Mäusebussard,bw105,2025,2025-06-17,1,non_breeder,168
Buteo buteo,Mäusebussard,bw105,2025,2025-05-14,1,non_breeder,134
Buteo buteo,Mäusebussard,bw106,2020,2020-04-19,1,non_breeder,110
Buteo buteo,Mäusebussard,bw106,2020,2020-05-17,0,non_breeder,138
Buteo buteo,Mäusebussard,bw106,2020,2020-03-27,0,non_breeder,87
Buteo buteo,Mäusebussard,bw106,2020,2020-06-19,0,non_breeder,171
Buteo buteo,Mäusebussard,bw106,2021,2021-05-19,0,non_breeder,139
Buteo buteo,Mäusebussard,bw106,2021,2021-06-14,0,non_breeder,165
Buteo buteo,Mäusebussard,bw106,2021,2021-03-28,1,non_breeder,87
Buteo buteo,Mäusebussard,bw106,2021,2021-04-26,1,non_breeder,116
Buteo buteo,Mäusebussard,bw106,2024,2024-03-21,1,non_breeder,81
Buteo buteo,Mäusebussard,bw106,2024,2024-04-07,0,non_breeder,98
Buteo buteo,Mäusebussard,bw106,2024,2024-05-19,1,non_breeder,140
Buteo buteo,Mäusebussard,bw106,2024,2024-06-20,0,non_breeder,172
Buteo buteo,Mäusebussard,bw106,2025,2025-03-22,3,non_breeder,81
Buteo buteo,Mäusebussard,bw106,2025,2025-04-30,1,non_breeder,120
Buteo buteo,Mäusebussard,bw106,2025,2025-05-19,0,non_breeder,139
Buteo buteo,Mäusebussard,bw106,2025,2025-06-14,1,non_breeder,165
Buteo buteo,Mäusebussard,bw108,2023,2023-05-05,1,non_breeder,125
Buteo buteo,Mäusebussard,bw108,2023,2023-06-02,0,non_breeder,153
Buteo buteo,Mäusebussard,bw108,2023,2023-03-22,1,non_breeder,81
Buteo buteo,Mäusebussard,bw108,2023,2023-04-22,0,non_breeder,112
Buteo buteo,Mäusebussard,bw108,2024,2024-04-06,0,non_breeder,97
Buteo buteo,Mäusebussard,bw108,2024,2024-06-16,2,non_breeder,168
Buteo buteo,Mäusebussard,bw108,2024,2024-03-22,1,non_breeder,82
