NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Certhia familiaris,Waldbaumläufer,bw121,2022,2022-05-17,1,breeder,137
Certhia familiaris,Waldbaumläufer,bw121,2022,2022-03-29,4,breeder,88
Certhia familiaris,Waldbaumläufer,bw121,2022,2022-04-26,4,breeder,116
Certhia familiaris,Waldbaumläufer,bw121,2022,2022-06-12,2,breeder,163
Certhia familiaris,Waldbaumläufer,bw121,2023,2023-04-23,5,breeder,113
Certhia familiaris,Waldbaumläufer,bw121,2023,2023-05-18,7,breeder,138
Certhia familiaris,Waldbaumläufer,bw121,2023,2023-03-19,5,breeder,78
Certhia familiaris,Waldbaumläufer,bw121,2023,2023-06-12,5,breeder,163
Certhia familiaris,Waldbaumläufer,bw121,2024,2024-06-12,6,breeder,164
Certhia familiaris,Waldbaumläufer,bw121,2024,2024-04-13,8,breeder,104
Certhia familiaris,Waldbaumläufer,bw121,2024,2024-03-28,8,breeder,88
Certhia familiaris,Waldbaumläufer,bw121,2024,2024-05-03,6,breeder,124
Certhia familiaris,Waldbaumläufer,bw121,2024,2024-05-02,0,breeder,123
Certhia familiaris,Waldbaumläufer,bw121,2025,2025-03-23,6,breeder,82
Certhia familiaris,Waldbaumläufer,bw121,2025,2025-05-18,2,breeder,138
Certhia familiaris,Waldbaumläufer,bw121,2025,2025-06-07,5,breeder,158
Certhia familiaris,Waldbaumläufer,bw121,2025,2025-04-12,7,breeder,102
Certhia familiaris,Waldbaumläufer,bw150,2022,2022-05-28,3,breeder,148
Certhia familiaris,Waldbaumläufer,bw150,2022,2022-04-15,3,breeder,105
Certhia familiaris,Waldbaumläufer,bw150,2022,2022-05-07,5,breeder,127
Certhia familiaris,Waldbaumläufer,bw150,2022,2022-03-26,4,breeder,85
Certhia familiaris,Waldbaumläufer,bw150,2023,2023-03-25,4,breeder,84
Certhia familiaris,Waldbaumläufer,bw150,2023,2023-04-23,5,breeder,113
Certhia familiaris,Waldbaumläufer,bw150,2023,2023-05-07,5,breeder,127
Certhia familiaris,Waldbaumläufer,bw150,2023,2023-05-21,4,breeder,141
Certhia familiaris,Waldbaumläufer,bw150,2024,2024-05-09,2,breeder,130
Certhia familiaris,Waldbaumläufer,bw150,2024,2024-03-30,2,breeder,90
Certhia familiaris,Waldbaumläufer,bw150,2024,2024-04-27,2,breeder,118
Certhia familiaris,Waldbaumläufer,bw150,2024,2024-05-26,5,breeder,147
Certhia familiaris,Waldbaumläufer,bw150,2025,2025-03-23,2,breeder,82
Certhia familiaris,Waldbaumläufer,bw150,2025,2025-04-18,4,breeder,108
Certhia familiaris,Waldbaumläufer,bw150,2025,2025-05-24,4,breeder,144
Certhia familiaris,Waldbaumläufer,bw150,2025,2025-05-10,3,breeder,130
Certhia familiaris,Waldbaumläufer,bw159,2022,2022-04-30,2,breeder,120
Certhia familiaris,Waldbaumläufer,bw159,2022,2022-05-18,2,breeder,138
Certhia familiaris,Waldbaumläufer,bw159,2022,2022-06-14,2,breeder,165
Certhia familiaris,Waldbaumläufer,bw159,2022,2022-03-14,0,breeder,73
Certhia familiaris,Waldbaumläufer,bw159,2024,2024-04-23,1,breeder,114
Certhia familiaris,Waldbaumläufer,bw159,2024,2024-05-09,0,breeder,130
Certhia familiaris,Waldbaumläufer,bw159,2024,2024-05-21,0,breeder,142
Certhia familiaris,Waldbaumläufer,bw159,2024,2024-03-26,0,breeder,86
Certhia familiaris,Waldbaumläufer,bw159,2025,2025-04-03,1,breeder,93
Certhia familiaris,Waldbaumläufer,bw159,2025,2025-03-15,0,breeder,74
Certhia familiaris,Waldbaumläufer,bw159,2025,2025-05-02,0,breeder,122
Certhia familiaris,Waldbaumläufer,bw159,2025,2025-06-17,0,breeder,168
Certhia familiaris,Waldbaumläufer,bw18,2021,2021-04-16,0,breeder,106
Certhia familiaris,Waldbaumläufer,bw18,2021,2021-06-14,6,breeder,165
Certhia familiaris,Waldbaumläufer,bw18,2021,2021-05-14,0,breeder,134
Certhia familiaris,Waldbaumläufer,bw18,2022,2022-04-22,0,breeder,112
Certhia familiaris,Waldbaumläufer,bw18,2022,2022-05-12,1,breeder,132
Certhia familiaris,Waldbaumläufer,bw18,2022,2022-03-15,0,breeder,74
Certhia familiaris,Waldbaumläufer,bw18,2022,2022-06-21,3,breeder,172
Certhia familiaris,Waldbaumläufer,bw18,2023,2023-03-30,1,breeder,89
Certhia familiaris,Waldbaumläufer,bw238,2024,2024-03-26,0,breeder,86
Certhia familiaris,Waldbaumläufer,bw238,2024,2024-04-08,2,breeder,99
Certhia familiaris,Waldbaumläufer,bw238,2024,2024-05-14,6,breeder,135
Certhia familiaris,Waldbaumläufer,bw238,2024,2024-06-07,6,breeder,159
Certhia familiaris,Waldbaumläufer,bw238,2025,2025-03-22,4,breeder,81
Certhia familiaris,Waldbaumläufer,bw238,2025,2025-04-22,1,breeder,112
Certhia familiaris,Waldbaumläufer,bw238,2025,2025-05-13,2,breeder,133
Certhia familiaris,Waldbaumläufer,bw238,2025,2025-06-05,3,breeder,156
Certhia familiaris,Waldbaumläufer,bw293,2022,2022-03-23,1,breeder,82
Certhia familiaris,Waldbaumläufer,bw293,2022,2022-04-22,1,breeder,112
Certhia familiaris,Waldbaumläufer,bw293,2022,2022-05-15,0,breeder,135
Certhia familiaris,Waldbaumläufer,bw293,2022,2022-06-13,0,breeder,164
Certhia familiaris,Waldbaumläufer,bw293,2023,2023-03-22,0,breeder,81
Certhia familiaris,Waldbaumläufer,bw293,2023,2023-04-10,0,breeder,100
Certhia familiaris,Waldbaumläufer,bw293,2023,2023-05-08,2,breeder,128
Certhia familiaris,Waldbaumläufer,bw293,2023,2023-06-10,0,breeder,161
Certhia familiaris,Waldbaumläufer,bw293,2024,2024-03-10,0,breeder,70
Certhia familiaris,Waldbaumläufer,bw293,2024,2024-04-14,1,breeder,105
Certhia familiaris,Waldbaumläufer,bw293,2024,2024-05-16,0,breeder,137
Certhia familiaris,Waldbaumläufer,bw293,2024,2024-06-12,0,breeder,164
Certhia familiaris,Waldbaumläufer,bw293,2025,2025-03-10,0,breeder,69
Certhia familiaris,Waldbaumläufer,bw293,2025,2025-04-12,1,breeder,102
Certhia familiaris,Waldbaumläufer,bw293,2025,2025-05-11,0,breeder,131
Certhia familiaris,Waldbaumläufer,bw293,2025,2025-06-10,0,breeder,161
Certhia familiaris,Waldbaumläufer,bw315,2021,2021-04-25,1,breeder,115
Certhia familiaris,Waldbaumläufer,bw315,2021,2021-05-16,0,breeder,136
Certhia familiaris,Waldbaumläufer,bw315,2021,2021-06-13,5,breeder,164
Certhia familiaris,Waldbaumläufer,bw315,2021,2021-03-28,4,breeder,87
Certhia familiaris,Waldbaumläufer,bw315,2022,2022-03-20,2,breeder,79
Certhia familiaris,Waldbaumläufer,bw315,2023,2023-04-02,3,breeder,92
Certhia familiaris,Waldbaumläufer,bw315,2023,2023-05-28,2,breeder,148
Certhia familiaris,Waldbaumläufer,bw315,2023,2023-06-11,1,breeder,162
Certhia familiaris,Waldbaumläufer,bw315,2023,2023-03-11,1,breeder,70
Certhia familiaris,Waldbaumläufer,bw315,2024,2024-05-12,1,breeder,133
Certhia familiaris,Waldbaumläufer,bw315,2024,2024-06-09,2,breeder,161
Certhia familiaris,Waldbaumläufer,bw315,2024,2024-03-17,0,breeder,77
Certhia familiaris,Waldbaumläufer,bw315,2024,2024-04-14,1,breeder,105
Certhia familiaris,Waldbaumläufer,bw327,2022,2022-04-18,2,breeder,108
Certhia familiaris,Waldbaumläufer,bw327,2022,2022-05-14,2,breeder,134
Certhia familiaris,Waldbaumläufer,bw327,2022,2022-06-12,3,breeder,163
Certhia familiaris,Waldbaumläufer,bw327,2022,2022-03-26,3,breeder,85
Certhia familiaris,Waldbaumläufer,bw327,2023,2023-04-23,2,breeder,113
Certhia familiaris,Waldbaumläufer,bw327,2023,2023-05-20,2,breeder,140
Certhia familiaris,Waldbaumläufer,bw327,2023,2023-06-10,2,breeder,161
Certhia familiaris,Waldbaumläufer,bw327,2023,2023-03-24,1,breeder,83
Certhia familiaris,Waldbaumläufer,bw327,2024,2024-04-14,2,breeder,105
Certhia familiaris,Waldbaumläufer,bw327,2024,2024-05-12,1,breeder,133
Certhia familiaris,Waldbaumläufer,bw327,2024,2024-06-02,1,breeder,154
Certhia familiaris,Waldbaumläufer,bw327,2024,2024-03-20,1,breeder,80
Certhia familiaris,Waldbaumläufer,bw327,2025,2025-04-27,2,breeder,117
Certhia familiaris,Waldbaumläufer,bw327,2025,2025-06-14,1,breeder,165
Certhia familiaris,Waldbaumläufer,bw327,2025,2025-05-19,1,breeder,139
Certhia familiaris,Waldbaumläufer,bw327,2025,2025-03-29,1,breeder,88
Certhia familiaris,Waldbaumläufer,bw355,2024,2024-04-24,0,breeder,115
Certhia familiaris,Waldbaumläufer,bw355,2024,2024-03-22,0,breeder,82
Certhia familiaris,Waldbaumläufer,bw355,2024,2024-05-13,1,breeder,134
Certhia familiaris,Waldbaumläufer,bw355,2024,2024-06-10,1,breeder,162
Certhia familiaris,Waldbaumläufer,bw355,2024,2024-03-26,0,breeder,86
Certhia familiaris,Waldbaumläufer,bw355,2025,2025-03-27,0,breeder,86
Certhia familiaris,Waldbaumläufer,bw355,2025,2025-06-19,1,breeder,170
Certhia familiaris,Waldbaumläufer,bw355,2025,2025-04-19,3,breeder,109
Certhia familiaris,Waldbaumläufer,bw355,2025,2025-05-09,0,breeder,129
Certhia familiaris,Waldbaumläufer,bw365,2024,2024-06-16,0,breeder,168
Certhia familiaris,Waldbaumläufer,bw365,2024,2024-03-30,0,breeder,90
