NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Certhia familiaris,Waldbaumläufer,bw10,2022,2022-06-09,0,non_breeder,160
Certhia familiaris,Waldbaumläufer,bw10,2022,2022-05-14,1,non_breeder,134
Certhia familiaris,Waldbaumläufer,bw10,2022,2022-03-20,0,non_breeder,79
Certhia familiaris,Waldbaumläufer,bw10,2022,2022-04-22,1,non_breeder,112
Certhia familiaris,Waldbaumläufer,bw106,2020,2020-04-19,0,non_breeder,110
Certhia familiaris,Waldbaumläufer,bw106,2020,2020-05-17,1,non_breeder,138
Certhia familiaris,Waldbaumläufer,bw106,2020,2020-03-27,0,non_breeder,87
Certhia familiaris,Waldbaumläufer,bw106,2020,2020-06-19,1,non_breeder,171
Certhia familiaris,Waldbaumläufer,bw106,2024,2024-03-21,9,non_breeder,81
Certhia familiaris,Waldbaumläufer,bw106,2024,2024-04-07,1,non_breeder,98
Certhia familiaris,Waldbaumläufer,bw106,2024,2024-05-19,2,non_breeder,140
Certhia familiaris,Waldbaumläufer,bw106,2024,2024-06-20,1,non_breeder,172
Certhia familiaris,Waldbaumläufer,bw107,2023,2023-05-07,0,non_breeder,127
Certhia familiaris,Waldbaumläufer,bw107,2023,2023-03-19,4,non_breeder,78
Certhia familiaris,Waldbaumläufer,bw107,2023,2023-04-10,0,non_breeder,100
Certhia familiaris,Waldbaumläufer,bw107,2023,2023-05-28,1,non_breeder,148
Certhia familiaris,Waldbaumläufer,bw115,2021,2021-03-21,1,non_breeder,80
Certhia familiaris,Waldbaumläufer,bw115,2021,2021-04-18,2,non_breeder,108
Certhia familiaris,Waldbaumläufer,bw115,2021,2021-05-09,1,non_breeder,129
Certhia familiaris,Waldbaumläufer,bw115,2021,2021-05-30,2,non_breeder,150
Certhia familiaris,Waldbaumläufer,bw115,2022,2022-03-13,1,non_breeder,72
Certhia familiaris,Waldbaumläufer,bw115,2022,2022-04-10,2,non_breeder,100
Certhia familiaris,Waldbaumläufer,bw115,2022,2022-06-06,0,non_breeder,157
Certhia familiaris,Waldbaumläufer,bw115,2022,2022-05-01,1,non_breeder,121
Certhia familiaris,Waldbaumläufer,bw115,2023,2023-03-11,2,non_breeder,70
Certhia familiaris,Waldbaumläufer,bw115,2023,2023-04-15,3,non_breeder,105
Certhia familiaris,Waldbaumläufer,bw115,2023,2023-05-01,2,non_breeder,121
Certhia familiaris,Waldbaumläufer,bw115,2023,2023-06-11,3,non_breeder,162
Certhia familiaris,Waldbaumläufer,bw115,2024,2024-03-10,2,non_breeder,70
