NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Coccothraustes coccothraustes,Kernbeißer,bw10,2022,2022-06-09,0,breeder,160
Coccothraustes coccothraustes,Kernbeißer,bw10,2022,2022-05-14,0,breeder,134
Coccothraustes coccothraustes,Kernbeißer,bw10,2022,2022-03-20,0,breeder,79
Coccothraustes coccothraustes,Kernbeißer,bw10,2022,2022-04-22,2,breeder,112
Coccothraustes coccothraustes,Kernbeißer,bw10,2023,2023-04-30,0,breeder,120
Coccothraustes coccothraustes,Kernbeißer,bw10,2023,2023-05-14,0,breeder,134
Coccothraustes coccothraustes,Kernbeißer,bw10,2023,2023-05-27,1,breeder,147
Coccothraustes coccothraustes,Kernbeißer,bw10,2023,2023-03-18,0,breeder,77
Coccothraustes coccothraustes,Kernbeißer,bw10,2024,2024-06-08,6,breeder,160
Coccothraustes coccothraustes,Kernbeißer,bw10,2024,2024-03-11,5,breeder,71
Coccothraustes coccothraustes,Kernbeißer,bw10,2024,2024-04-05,0,breeder,96
Coccothraustes coccothraustes,Kernbeißer,bw10,2024,2024-05-04,0,breeder,125
Coccothraustes coccothraustes,Kernbeißer,bw10,2024,2024-04-04,0,breeder,95
Coccothraustes coccothraustes,Kernbeißer,bw102,2024,2024-04-27,2,breeder,118
Coccothraustes coccothraustes,Kernbeißer,bw102,2024,2024-03-25,1,breeder,85
Coccothraustes coccothraustes,Kernbeißer,bw102,2024,2024-05-18,0,breeder,139
Coccothraustes coccothraustes,Kernbeißer,bw102,2024,2024-06-17,0,breeder,169
Coccothraustes coccothraustes,Kernbeißer,bw102,2025,2025-03-25,1,breeder,84
Coccothraustes coccothraustes,Kernbeißer,bw102,2025,2025-04-10,1,breeder,100
Coccothraustes coccothraustes,Kernbeißer,bw102,2025,2025-06-09,2,breeder,160
Coccothraustes coccothraustes,Kernbeißer,bw102,2025,2025-05-12,0,breeder,132
Coccothraustes coccothraustes,Kernbeißer,bw107,2022,2022-04-18,4,breeder,108
Coccothraustes coccothraustes,Kernbeißer,bw107,2022,2022-03-20,9,breeder,79
Coccothraustes coccothraustes,Kernbeißer,bw107,2022,2022-06-06,3,breeder,157
Coccothraustes coccothraustes,Kernbeißer,bw107,2022,2022-05-15,2,breeder,135
Coccothraustes coccothraustes,Kernbeißer,bw107,2023,2023-05-07,6,breeder,127
