NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Corvus corax,Kolkrabe,bw107,2022,2022-04-18,0,breeder,108
Corvus corax,Kolkrabe,bw107,2022,2022-03-20,2,breeder,79
Corvus corax,Kolkrabe,bw107,2022,2022-06-06,0,breeder,157
Corvus corax,Kolkrabe,bw107,2022,2022-05-15,0,breeder,135
Corvus corax,Kolkrabe,bw107,2023,2023-05-07,1,breeder,127
Corvus corax,Kolkrabe,bw107,2023,2023-03-19,1,breeder,78
Corvus corax,Kolkrabe,bw107,2023,2023-04-10,0,breeder,100
Corvus corax,Kolkrabe,bw107,2023,2023-05-28,0,breeder,148
Corvus corax,Kolkrabe,bw107,2024,2024-05-12,1,breeder,133
Corvus corax,Kolkrabe,bw107,2024,2024-06-09,0,breeder,161
Corvus corax,Kolkrabe,bw107,2024,2024-03-30,2,breeder,90
Corvus corax,Kolkrabe,bw107,2024,2024-05-01,1,breeder,122
Corvus corax,Kolkrabe,bw107,2025,2025-03-16,1,breeder,75
Corvus corax,Kolkrabe,bw107,2025,2025-04-06,0,breeder,96
Corvus corax,Kolkrabe,bw107,2025,2025-06-01,0,breeder,152
Corvus corax,Kolkrabe,bw107,2025,2025-05-01,2,breeder,121
Corvus corax,Kolkrabe,bw123,2021,2021-03-24,0,breeder,83
Corvus corax,Kolkrabe,bw123,2021,2021-04-18,1,breeder,108
Corvus corax,Kolkrabe,bw123,2021,2021-05-09,0,breeder,129
Corvus corax,Kolkrabe,bw123,2021,2021-06-05,0,breeder,156
Corvus corax,Kolkrabe,bw123,2023,2023-03-21,1,breeder,80
Corvus corax,Kolkrabe,bw123,2023,2023-04-22,0,breeder,112
Corvus corax,Kolkrabe,bw123,2023,2023-05-07,0,breeder,127
Corvus corax,Kolkrabe,bw123,2023,2023-06-08,0,breeder,159
Corvus corax,Kolkrabe,bw123,2024,2024-03-22,3,breeder,82
Corvus corax,Kolkrabe,bw123,2024,2024-04-23,0,breeder,114
Corvus corax,Kolkrabe,bw123,2024,2024-05-11,0,breeder,132
Corvus corax,Kolkrabe,bw123,2024,2024-06-05,2,breeder,157
Corvus corax,Kolkrabe,bw128,2020,2020-04-18,2,breeder,109
Corvus corax,Kolkrabe,bw128,2020,2020-06-20,0,breeder,172
Corvus corax,Kolkrabe,bw128,2020,2020-03-28,1,breeder,88
Corvus corax,Kolkrabe,bw128,2020,2020-05-19,0,breeder,140
Corvus corax,Kolkrabe,bw128,2021,2021-03-29,2,breeder,88
Corvus corax,Kolkrabe,bw128,2021,2021-04-24,2,breeder,114
Corvus corax,Kolkrabe,bw128,2021,2021-06-15,1,breeder,166
Corvus corax,Kolkrabe,bw128,2021,2021-05-15,1,breeder,135
Corvus corax,Kolkrabe,bw128,2022,2022-04-22,1,breeder,112
Corvus corax,Kolkrabe,bw128,2022,2022-05-08,0,breeder,128
Corvus corax,Kolkrabe,bw128,2022,2022-03-25,1,breeder,84
Corvus corax,Kolkrabe,bw128,2022,2022-06-03,0,breeder,154
Corvus corax,Kolkrabe,bw128,2023,2023-04-14,0,breeder,104
Corvus corax,Kolkrabe,bw128,2023,2023-05-13,0,breeder,133
Corvus corax,Kolkrabe,bw128,2023,2023-03-28,1,breeder,87
Corvus corax,Kolkrabe,bw128,2023,2023-06-02,0,breeder,153
Corvus corax,Kolkrabe,bw128,2025,2025-04-19,1,breeder,109
Corvus corax,Kolkrabe,bw128,2025,2025-03-29,0,breeder,88
Corvus corax,Kolkrabe,bw128,2025,2025-06-15,0,breeder,166
Corvus corax,Kolkrabe,bw128,2025,2025-05-19,1,breeder,139
Corvus corax,Kolkrabe,bw132,2025,2025-05-19,0,breeder,139
Corvus corax,Kolkrabe,bw132,2025,2025-06-11,1,breeder,162
Corvus corax,Kolkrabe,bw132,2025,2025-03-22,2,breeder,81
Corvus corax,Kolkrabe,bw132,2025,2025-04-19,0,breeder,109
Corvus corax,Kolkrabe,bw139,2022,2022-04-28,0,breeder,118
Corvus corax,Kolkrabe,bw139,2022,2022-03-28,1,breeder,87
Corvus corax,Kolkrabe,bw139,2022,2022-05-13,0,breeder,133
Corvus corax,Kolkrabe,bw139,2022,2022-06-11,0,breeder,162
Corvus corax,Kolkrabe,bw139,2025,2025-03-28,0,breeder,87
Corvus corax,Kolkrabe,bw139,2025,2025-04-30,0,breeder,120
Corvus corax,Kolkrabe,bw139,2025,2025-05-14,1,breeder,134
Corvus corax,Kolkrabe,bw139,2025,2025-06-17,2,breeder,168
Corvus corax,Kolkrabe,bw146,2021,2021-06-03,1,breeder,154
Corvus corax,Kolkrabe,bw146,2021,2021-03-25,0,breeder,84
Corvus corax,Kolkrabe,bw146,2021,2021-04-18,1,breeder,108
Corvus corax,Kolkrabe,bw146,2021,2021-05-09,0,breeder,129
Corvus corax,Kolkrabe,bw146,2022,2022-03-18,0,breeder,77
Corvus corax,Kolkrabe,bw146,2022,2022-04-06,2,breeder,96
Corvus corax,Kolkrabe,bw146,2022,2022-05-01,0,breeder,121
Corvus corax,Kolkrabe,bw146,2022,2022-06-08,0,breeder,159
Corvus corax,Kolkrabe,bw146,2024,2024-03-15,1,breeder,75
Corvus corax,Kolkrabe,bw146,2024,2024-04-06,8,breeder,97
Corvus corax,Kolkrabe,bw146,2024,2024-05-04,4,breeder,125
Corvus corax,Kolkrabe,bw146,2024,2024-05-25,0,breeder,146
Corvus corax,Kolkrabe,bw146,2025,2025-03-22,2,breeder,81
Corvus corax,Kolkrabe,bw146,2025,2025-04-05,10,breeder,95
Corvus corax,Kolkrabe,bw146,2025,2025-05-02,0,breeder,122
Corvus corax,Kolkrabe,bw146,2025,2025-05-30,2,breeder,150
Corvus corax,Kolkrabe,bw148,2025,2025-05-17,0,breeder,137
Corvus corax,Kolkrabe,bw148,2025,2025-06-09,0,breeder,160
Corvus corax,Kolkrabe,bw148,2025,2025-03-29,3,breeder,88
Corvus corax,Kolkrabe,bw148,2025,2025-04-26,0,breeder,116
Corvus corax,Kolkrabe,bw21,2022,2022-03-25,3,breeder,84
Corvus corax,Kolkrabe,bw21,2023,2023-04-26,1,breeder,116
Corvus corax,Kolkrabe,bw21,2024,2024-03-30,0,breeder,90
Corvus corax,Kolkrabe,bw21,2024,2024-04-13,0,breeder,104
Corvus corax,Kolkrabe,bw21,2024,2024-05-20,2,breeder,141
Corvus corax,Kolkrabe,bw21,2024,2024-06-07,1,breeder,159
Corvus corax,Kolkrabe,bw21,2025,2025-03-27,0,breeder,86
Corvus corax,Kolkrabe,bw21,2025,2025-04-29,1,breeder,119
Corvus corax,Kolkrabe,bw21,2025,2025-05-20,0,breeder,140
Corvus corax,Kolkrabe,bw21,2025,2025-06-17,3,breeder,168
Corvus corax,Kolkrabe,bw227,2023,2023-03-21,4,breeder,80
Corvus corax,Kolkrabe,bw227,2023,2023-06-20,0,breeder,171
Corvus corax,Kolkrabe,bw227,2023,2023-04-20,0,breeder,110
Corvus corax,Kolkrabe,bw227,2023,2023-05-15,2,breeder,135
Corvus corax,Kolkrabe,bw227,2024,2024-03-27,1,breeder,87
Corvus corax,Kolkrabe,bw227,2024,2024-05-13,0,breeder,134
Corvus corax,Kolkrabe,bw227,2024,2024-06-08,2,breeder,160
Corvus corax,Kolkrabe,bw227,2024,2024-04-28,1,breeder,119
Corvus corax,Kolkrabe,bw227,2025,2025-03-30,0,breeder,89
Corvus corax,Kolkrabe,bw227,2025,2025-04-16,1,breeder,106
Corvus corax,Kolkrabe,bw227,2025,2025-05-19,0,breeder,139
Corvus corax,Kolkrabe,bw227,2025,2025-06-08,0,breeder,159
Corvus corax,Kolkrabe,bw239,2022,2022-03-27,1,breeder,86
Corvus corax,Kolkrabe,bw239,2022,2022-04-30,3,breeder,120
Corvus corax,Kolkrabe,bw239,2022,2022-05-19,2,breeder,139
Corvus corax,Kolkrabe,bw239,2022,2022-06-12,0,breeder,163
Corvus corax,Kolkrabe,bw239,2023,2023-03-23,1,breeder,82
Corvus corax,Kolkrabe,bw239,2023,2023-04-29,0,breeder,119
Corvus corax,Kolkrabe,bw239,2023,2023-05-20,0,breeder,140
Corvus corax,Kolkrabe,bw239,2023,2023-06-09,0,breeder,160
Corvus corax,Kolkrabe,bw239,2025,2025-03-22,1,breeder,81
Corvus corax,Kolkrabe,bw239,2025,2025-04-13,0,breeder,103
Corvus corax,Kolkrabe,bw239,2025,2025-05-11,0,breeder,131
Corvus corax,Kolkrabe,bw239,2025,2025-06-13,0,breeder,164
Corvus corax,Kolkrabe,bw240,2022,2022-06-03,0,breeder,154
Corvus corax,Kolkrabe,bw240,2022,2022-03-16,0,breeder,75
Corvus corax,Kolkrabe,bw240,2022,2022-04-06,1,breeder,96
Corvus corax,Kolkrabe,bw240,2022,2022-05-09,0,breeder,129
Corvus corax,Kolkrabe,bw240,2023,2023-06-01,0,breeder,152
Corvus corax,Kolkrabe,bw240,2023,2023-03-17,0,breeder,76
Corvus corax,Kolkrabe,bw240,2023,2023-04-10,0,breeder,100
Corvus corax,Kolkrabe,bw240,2023,2023-05-03,1,breeder,123
Corvus corax,Kolkrabe,bw240,2024,2024-05-06,0,breeder,127
Corvus corax,Kolkrabe,bw240,2024,2024-04-08,0,breeder,99
Corvus corax,Kolkrabe,bw240,2024,2024-03-11,1,breeder,71
Corvus corax,Kolkrabe,bw240,2024,2024-06-08,0,breeder,160
Corvus corax,Kolkrabe,bw25,2022,2022-06-18,2,breeder,169
Corvus corax,Kolkrabe,bw25,2022,2022-03-27,2,breeder,86
Corvus corax,Kolkrabe,bw25,2022,2022-04-10,0,breeder,100
Corvus corax,Kolkrabe,bw25,2022,2022-05-01,2,breeder,121
Corvus corax,Kolkrabe,bw25,2024,2024-05-12,1,breeder,133
Corvus corax,Kolkrabe,bw25,2024,2024-05-26,0,breeder,147
Corvus corax,Kolkrabe,bw25,2024,2024-03-20,0,breeder,80
Corvus corax,Kolkrabe,bw25,2024,2024-04-07,3,breeder,98
Corvus corax,Kolkrabe,bw25,2025,2025-03-21,3,breeder,80
Corvus corax,Kolkrabe,bw25,2025,2025-04-04,2,breeder,94
Corvus corax,Kolkrabe,bw25,2025,2025-05-16,2,breeder,136
Corvus corax,Kolkrabe,bw25,2025,2025-06-03,0,breeder,154
Corvus corax,Kolkrabe,bw309,2022,2022-04-18,2,breeder,108
Corvus corax,Kolkrabe,bw309,2022,2022-06-04,3,breeder,155
Corvus corax,Kolkrabe,bw309,2022,2022-03-24,2,breeder,83
Corvus corax,Kolkrabe,bw309,2022,2022-05-08,2,breeder,128
Corvus corax,Kolkrabe,bw309,2023,2023-05-29,0,breeder,149
Corvus corax,Kolkrabe,bw309,2023,2023-03-25,1,breeder,84
Corvus corax,Kolkrabe,bw309,2023,2023-05-13,3,breeder,133
Corvus corax,Kolkrabe,bw309,2023,2023-04-08,3,breeder,98
Corvus corax,Kolkrabe,bw309,2024,2024-06-08,3,breeder,160
Corvus corax,Kolkrabe,bw309,2024,2024-03-26,2,breeder,86
Corvus corax,Kolkrabe,bw309,2024,2024-04-14,3,breeder,105
Corvus corax,Kolkrabe,bw309,2024,2024-05-11,4,breeder,132
Corvus corax,Kolkrabe,bw309,2025,2025-06-09,4,breeder,160
Corvus corax,Kolkrabe,bw309,2025,2025-03-28,2,breeder,87
Corvus corax,Kolkrabe,bw309,2025,2025-05-09,4,breeder,129
Corvus corax,Kolkrabe,bw309,2025,2025-04-21,4,breeder,111
