NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Corvus corone,Rabenkrähe,bw10,2022,2022-06-09,12,breeder,160
Corvus corone,Rabenkrähe,bw10,2022,2022-05-14,20,breeder,134
Corvus corone,Rabenkrähe,bw10,2022,2022-03-20,31,breeder,79
Corvus corone,Rabenkrähe,bw10,2022,2022-04-22,16,breeder,112
Corvus corone,Rabenkrähe,bw10,2023,2023-04-30,19,breeder,120
Corvus corone,Rabenkrähe,bw10,2023,2023-05-14,16,breeder,134
Corvus corone,Rabenkrähe,bw10,2023,2023-05-27,13,breeder,147
Corvus corone,Rabenkrähe,bw10,2023,2023-03-18,31,breeder,77
Corvus corone,Rabenkrähe,bw10,2024,2024-06-08,19,breeder,160
Corvus corone,Rabenkrähe,bw10,2024,2024-03-11,31,breeder,71
Corvus corone,Rabenkrähe,bw10,2024,2024-04-05,9,breeder,96
Corvus corone,Rabenkrähe,bw10,2024,2024-05-04,8,breeder,125
Corvus corone,Rabenkrähe,bw10,2024,2024-04-04,0,breeder,95
Corvus corone,Rabenkrähe,bw10,2025,2025-04-16,17,breeder,106
Corvus corone,Rabenkrähe,bw10,2025,2025-05-31,11,breeder,151
Corvus corone,Rabenkrähe,bw10,2025,2025-03-23,19,breeder,82
Corvus corone,Rabenkrähe,bw10,2025,2025-05-11,9,breeder,131
Corvus corone,Rabenkrähe,bw100,2025,2025-04-13,1,breeder,103
Corvus corone,Rabenkrähe,bw100,2025,2025-05-18,4,breeder,138
Corvus corone,Rabenkrähe,bw100,2025,2025-06-19,7,breeder,170
Corvus corone,Rabenkrähe,bw100,2025,2025-03-16,2,breeder,75
Corvus corone,Rabenkrähe,bw102,2024,2024-04-27,4,breeder,118
Corvus corone,Rabenkrähe,bw102,2024,2024-03-25,7,breeder,85
Corvus corone,Rabenkrähe,bw102,2024,2024-05-18,3,breeder,139
Corvus corone,Rabenkrähe,bw102,2024,2024-06-17,6,breeder,169
Corvus corone,Rabenkrähe,bw102,2025,2025-03-25,13,breeder,84
Corvus corone,Rabenkrähe,bw102,2025,2025-04-10,4,breeder,100
Corvus corone,Rabenkrähe,bw102,2025,2025-06-09,2,breeder,160
Corvus corone,Rabenkrähe,bw102,2025,2025-05-12,5,breeder,132
Corvus corone,Rabenkrähe,bw103,2022,2022-03-27,6,breeder,86
Corvus corone,Rabenkrähe,bw103,2022,2022-04-22,4,breeder,112
Corvus corone,Rabenkrähe,bw103,2022,2022-05-13,4,breeder,133
Corvus corone,Rabenkrähe,bw103,2022,2022-06-19,2,breeder,170
Corvus corone,Rabenkrähe,bw103,2023,2023-04-23,4,breeder,113
Corvus corone,Rabenkrähe,bw103,2023,2023-05-18,2,breeder,138
Corvus corone,Rabenkrähe,bw103,2023,2023-06-09,5,breeder,160
Corvus corone,Rabenkrähe,bw103,2023,2023-03-27,8,breeder,86
Corvus corone,Rabenkrähe,bw103,2024,2024-05-20,2,breeder,141
Corvus corone,Rabenkrähe,bw103,2024,2024-06-03,7,breeder,155
Corvus corone,Rabenkrähe,bw103,2024,2024-03-25,9,breeder,85
Corvus corone,Rabenkrähe,bw103,2024,2024-04-22,6,breeder,113
Corvus corone,Rabenkrähe,bw103,2025,2025-06-11,8,breeder,162
Corvus corone,Rabenkrähe,bw103,2025,2025-03-28,4,breeder,87
Corvus corone,Rabenkrähe,bw103,2025,2025-04-23,5,breeder,113
Corvus corone,Rabenkrähe,bw103,2025,2025-05-17,6,breeder,137
Corvus corone,Rabenkrähe,bw103,2025,2025-05-19,0,breeder,139
Corvus corone,Rabenkrähe,bw104,2022,2022-05-30,0,breeder,150
Corvus corone,Rabenkrähe,bw104,2022,2022-05-11,0,breeder,131
Corvus corone,Rabenkrähe,bw104,2022,2022-03-21,0,breeder,80
Corvus corone,Rabenkrähe,bw104,2022,2022-04-13,1,breeder,103
Corvus corone,Rabenkrähe,bw104,2023,2023-06-09,0,breeder,160
Corvus corone,Rabenkrähe,bw104,2023,2023-04-27,2,breeder,117
Corvus corone,Rabenkrähe,bw104,2023,2023-05-18,0,breeder,138
Corvus corone,Rabenkrähe,bw104,2023,2023-03-21,0,breeder,80
Corvus corone,Rabenkrähe,bw104,2023,2023-06-08,0,breeder,159
Corvus corone,Rabenkrähe,bw104,2024,2024-06-12,0,breeder,164
Corvus corone,Rabenkrähe,bw104,2024,2024-05-14,0,breeder,135
Corvus corone,Rabenkrähe,bw104,2024,2024-03-19,2,breeder,79
Corvus corone,Rabenkrähe,bw104,2024,2024-04-13,0,breeder,104
Corvus corone,Rabenkrähe,bw105,2024,2024-04-13,1,breeder,104
Corvus corone,Rabenkrähe,bw105,2024,2024-03-27,4,breeder,87
Corvus corone,Rabenkrähe,bw105,2024,2024-05-12,2,breeder,133
Corvus corone,Rabenkrähe,bw105,2024,2024-06-12,15,breeder,164
Corvus corone,Rabenkrähe,bw105,2025,2025-03-27,5,breeder,86
