NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Emberiza citrinella,Goldammer,bw10,2022,2022-06-09,3,breeder,160
Emberiza citrinella,Goldammer,bw10,2022,2022-05-14,8,breeder,134
Emberiza citrinella,Goldammer,bw10,2022,2022-03-20,8,breeder,79
Emberiza citrinella,Goldammer,bw10,2022,2022-04-22,13,breeder,112
Emberiza citrinella,Goldammer,bw10,2023,2023-04-30,7,breeder,120
Emberiza citrinella,Goldammer,bw10,2023,2023-05-14,7,breeder,134
Emberiza citrinella,Goldammer,bw10,2023,2023-05-27,9,breeder,147
Emberiza citrinella,Goldammer,bw10,2023,2023-03-18,19,breeder,77
Emberiza citrinella,Goldammer,bw10,2024,2024-06-08,33,breeder,160
Emberiza citrinella,Goldammer,bw10,2024,2024-03-11,9,breeder,71
Emberiza citrinella,Goldammer,bw10,2024,2024-04-05,10,breeder,96
Emberiza citrinella,Goldammer,bw10,2024,2024-05-04,15,breeder,125
Emberiza citrinella,Goldammer,bw10,2024,2024-04-04,0,breeder,95
Emberiza citrinella,Goldammer,bw10,2025,2025-04-16,9,breeder,106
Emberiza citrinella,Goldammer,bw10,2025,2025-05-31,9,breeder,151
Emberiza citrinella,Goldammer,bw10,2025,2025-03-23,7,breeder,82
Emberiza citrinella,Goldammer,bw10,2025,2025-05-11,7,breeder,131
Emberiza citrinella,Goldammer,bw101,2022,2022-03-27,9,breeder,86
Emberiza citrinella,Goldammer,bw101,2022,2022-04-17,7,breeder,107
Emberiza citrinella,Goldammer,bw101,2022,2022-05-20,5,breeder,140
Emberiza citrinella,Goldammer,bw101,2022,2022-06-20,4,breeder,171
Emberiza citrinella,Goldammer,bw101,2023,2023-03-31,2,breeder,90
Emberiza citrinella,Goldammer,bw101,2023,2023-04-30,3,breeder,120
Emberiza citrinella,Goldammer,bw101,2023,2023-05-14,5,breeder,134
Emberiza citrinella,Goldammer,bw101,2023,2023-06-06,8,breeder,157
Emberiza citrinella,Goldammer,bw104,2022,2022-05-30,2,breeder,150
Emberiza citrinella,Goldammer,bw104,2022,2022-05-11,3,breeder,131
Emberiza citrinella,Goldammer,bw104,2022,2022-03-21,4,breeder,80
Emberiza citrinella,Goldammer,bw104,2022,2022-04-13,3,breeder,103
Emberiza citrinella,Goldammer,bw104,2023,2023-06-09,5,breeder,160
Emberiza citrinella,Goldammer,bw104,2023,2023-04-27,1,breeder,117
Emberiza citrinella,Goldammer,bw104,2023,2023-05-18,1,breeder,138
Emberiza citrinella,Goldammer,bw104,2023,2023-03-21,1,breeder,80
Emberiza citrinella,Goldammer,bw104,2023,2023-06-08,0,breeder,159
Emberiza citrinella,Goldammer,bw104,2024,2024-06-12,5,breeder,164
Emberiza citrinella,Goldammer,bw104,2024,2024-05-14,3,breeder,135
Emberiza citrinella,Goldammer,bw104,2024,2024-03-19,2,breeder,79
Emberiza citrinella,Goldammer,bw104,2024,2024-04-13,2,breeder,104
Emberiza citrinella,Goldammer,bw104,2025,2025-05-13,2,breeder,133
Emberiza citrinella,Goldammer,bw104,2025,2025-06-17,4,breeder,168
Emberiza citrinella,Goldammer,bw104,2025,2025-04-11,3,breeder,101
Emberiza citrinella,Goldammer,bw104,2025,2025-03-21,3,breeder,80
Emberiza citrinella,Goldammer,bw104,2025,2025-04-10,0,breeder,100
Emberiza citrinella,Goldammer,bw104,2025,2025-05-12,0,breeder,132
Emberiza citrinella,Goldammer,bw106,2020,2020-04-19,4,breeder,110
Emberiza citrinella,Goldammer,bw106,2020,2020-05-17,4,breeder,138
Emberiza citrinella,Goldammer,bw106,2020,2020-03-27,3,breeder,87
Emberiza citrinella,Goldammer,bw106,2020,2020-06-19,3,breeder,171
Emberiza citrinella,Goldammer,bw106,2021,2021-05-19,4,breeder,139
Emberiza citrinella,Goldammer,bw106,2021,2021-06-14,1,breeder,165
Emberiza citrinella,Goldammer,bw106,2021,2021-03-28,3,breeder,87
Emberiza citrinella,Goldammer,bw106,2021,2021-04-26,2,breeder,116
Emberiza citrinella,Goldammer,bw106,2022,2022-05-30,0,breeder,150
Emberiza citrinella,Goldammer,bw106,2022,2022-04-29,1,breeder,119
Emberiza citrinella,Goldammer,bw106,2022,2022-05-07,0,breeder,127
Emberiza citrinella,Goldammer,bw106,2022,2022-03-19,1,breeder,78
Emberiza citrinella,Goldammer,bw106,2023,2023-03-22,0,breeder,81
Emberiza citrinella,Goldammer,bw106,2023,2023-05-15,0,breeder,135
Emberiza citrinella,Goldammer,bw106,2023,2023-06-08,0,breeder,159
Emberiza citrinella,Goldammer,bw106,2023,2023-04-21,1,breeder,111
Emberiza citrinella,Goldammer,bw109,2024,2024-03-27,4,breeder,87
Emberiza citrinella,Goldammer,bw109,2024,2024-04-26,2,breeder,117
Emberiza citrinella,Goldammer,bw109,2024,2024-05-20,2,breeder,141
Emberiza citrinella,Goldammer,bw109,2024,2024-06-14,2,breeder,166
Emberiza citrinella,Goldammer,bw109,2024,2024-03-28,0,breeder,88
Emberiza citrinella,Goldammer,bw109,2025,2025-03-26,5,breeder,85
Emberiza citrinella,Goldammer,bw109,2025,2025-04-11,3,breeder,101
Emberiza citrinella,Goldammer,bw109,2025,2025-05-13,0,breeder,133
Emberiza citrinella,Goldammer,bw109,2025,2025-06-11,2,breeder,162
Emberiza citrinella,Goldammer,bw114,2022,2022-06-18,1,breeder,169
Emberiza citrinella,Goldammer,bw114,2022,2022-04-12,1,breeder,102
Emberiza citrinella,Goldammer,bw114,2022,2022-03-24,4,breeder,83
Emberiza citrinella,Goldammer,bw114,2022,2022-05-18,1,breeder,138
Emberiza citrinella,Goldammer,bw114,2023,2023-04-26,3,breeder,116
Emberiza citrinella,Goldammer,bw114,2023,2023-05-19,2,breeder,139
Emberiza citrinella,Goldammer,bw114,2023,2023-06-20,1,breeder,171
Emberiza citrinella,Goldammer,bw114,2023,2023-03-28,3,breeder,87
Emberiza citrinella,Goldammer,bw114,2024,2024-03-28,1,breeder,88
Emberiza citrinella,Goldammer,bw114,2024,2024-04-28,3,breeder,119
Emberiza citrinella,Goldammer,bw114,2024,2024-05-18,4,breeder,139
