NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Falco tinnunculus,Turmfalke,bw100,2025,2025-04-13,0,non_breeder,103
Falco tinnunculus,Turmfalke,bw100,2025,2025-05-18,0,non_breeder,138
Falco tinnunculus,Turmfalke,bw100,2025,2025-06-19,1,non_breeder,170
Falco tinnunculus,Turmfalke,bw100,2025,2025-03-16,0,non_breeder,75
Falco tinnunculus,Turmfalke,bw109,2024,2024-03-27,1,non_breeder,87
Falco tinnunculus,Turmfalke,bw109,2024,2024-04-26,2,non_breeder,117
Falco tinnunculus,Turmfalke,bw109,2024,2024-05-20,0,non_breeder,141
Falco tinnunculus,Turmfalke,bw109,2024,2024-06-14,2,non_breeder,166
Falco tinnunculus,Turmfalke,bw109,2024,2024-03-28,0,non_breeder,88
Falco tinnunculus,Turmfalke,bw109,2025,2025-03-26,0,non_breeder,85
Falco tinnunculus,Turmfalke,bw109,2025,2025-04-11,0,non_breeder,101
Falco tinnunculus,Turmfalke,bw109,2025,2025-05-13,1,non_breeder,133
Falco tinnunculus,Turmfalke,bw109,2025,2025-06-11,1,non_breeder,162
Falco tinnunculus,Turmfalke,bw111,2022,2022-03-20,0,non_breeder,79
Falco tinnunculus,Turmfalke,bw111,2022,2022-04-15,1,non_breeder,105
Falco tinnunculus,Turmfalke,bw111,2022,2022-05-08,1,non_breeder,128
Falco tinnunculus,Turmfalke,bw111,2022,2022-06-08,3,non_breeder,159
Falco tinnunculus,Turmfalke,bw114,2022,2022-06-18,1,non_breeder,169
Falco tinnunculus,Turmfalke,bw114,2022,2022-04-12,0,non_breeder,102
Falco tinnunculus,Turmfalke,bw114,2022,2022-03-24,0,non_breeder,83
Falco tinnunculus,Turmfalke,bw114,2022,2022-05-18,0,non_breeder,138
Falco tinnunculus,Turmfalke,bw114,2023,2023-04-26,1,non_breeder,116
Falco tinnunculus,Turmfalke,bw114,2023,2023-05-19,0,non_breeder,139
Falco tinnunculus,Turmfalke,bw114,2023,2023-06-20,1,non_breeder,171
Falco tinnunculus,Turmfalke,bw114,2023,2023-03-28,0,non_breeder,87
Falco tinnunculus,Turmfalke,bw114,2024,2024-03-28,1,non_breeder,88
Falco tinnunculus,Turmfalke,bw114,2024,2024-04-28,0,non_breeder,119
Falco tinnunculus,Turmfalke,bw114,2024,2024-05-18,4,non_breeder,139
Falco tinnunculus,Turmfalke,bw114,2024,2024-06-14,0,non_breeder,166
Falco tinnunculus,Turmfalke,bw114,2025,2025-04-04,2,non_breeder,94
Falco tinnunculus,Turmfalke,bw114,2025,2025-03-09,0,non_breeder,68
Falco tinnunculus,Turmfalke,bw114,2025,2025-05-10,0,non_breeder,130
Falco tinnunculus,Turmfalke,bw114,2025,2025-06-12,1,non_breeder,163
Falco tinnunculus,Turmfalke,bw116,2023,2023-03-17,0,non_breeder,76
Falco tinnunculus,Turmfalke,bw116,2023,2023-05-06,1,non_breeder,126
Falco tinnunculus,Turmfalke,bw116,2023,2023-05-27,0,non_breeder,147
Falco tinnunculus,Turmfalke,bw116,2023,2023-04-18,2,non_breeder,108
Falco tinnunculus,Turmfalke,bw120,2022,2022-04-16,0,non_breeder,106
Falco tinnunculus,Turmfalke,bw120,2022,2022-05-14,1,non_breeder,134
Falco tinnunculus,Turmfalke,bw120,2022,2022-06-11,0,non_breeder,162
Falco tinnunculus,Turmfalke,bw120,2023,2023-03-25,0,non_breeder,84
Falco tinnunculus,Turmfalke,bw120,2023,2023-04-23,0,non_breeder,113
Falco tinnunculus,Turmfalke,bw120,2023,2023-05-14,1,non_breeder,134
Falco tinnunculus,Turmfalke,bw120,2023,2023-06-03,0,non_breeder,154
Falco tinnunculus,Turmfalke,bw120,2024,2024-03-17,0,non_breeder,77
Falco tinnunculus,Turmfalke,bw120,2024,2024-04-27,0,non_breeder,118
Falco tinnunculus,Turmfalke,bw120,2024,2024-05-12,2,non_breeder,133
Falco tinnunculus,Turmfalke,bw120,2024,2024-06-08,0,non_breeder,160
Falco tinnunculus,Turmfalke,bw120,2025,2025-03-16,0,non_breeder,75
Falco tinnunculus,Turmfalke,bw120,2025,2025-04-12,1,non_breeder,102
Falco tinnunculus,Turmfalke,bw120,2025,2025-05-11,0,non_breeder,131
Falco tinnunculus,Turmfalke,bw120,2025,2025-06-01,0,non_breeder,152
Falco tinnunculus,Turmfalke,bw122,2021,2021-04-18,1,non_breeder,108
Falco tinnunculus,Turmfalke,bw122,2021,2021-05-13,0,non_breeder,133
Falco tinnunculus,Turmfalke,bw122,2021,2021-05-30,0,non_breeder,150
Falco tinnunculus,Turmfalke,bw122,2021,2021-03-21,0,non_breeder,80
Falco tinnunculus,Turmfalke,bw122,2023,2023-06-20,0,non_breeder,171
Falco tinnunculus,Turmfalke,bw122,2023,2023-05-10,1,non_breeder,130
Falco tinnunculus,Turmfalke,bw122,2024,2024-04-26,0,non_breeder,117
Falco tinnunculus,Turmfalke,bw122,2024,2024-03-15,0,non_breeder,75
Falco tinnunculus,Turmfalke,bw122,2024,2024-05-26,1,non_breeder,147
Falco tinnunculus,Turmfalke,bw122,2024,2024-06-16,0,non_breeder,168
Falco tinnunculus,Turmfalke,bw124,2023,2023-03-18,2,non_breeder,77
Falco tinnunculus,Turmfalke,bw124,2023,2023-04-10,0,non_breeder,100
Falco tinnunculus,Turmfalke,bw124,2023,2023-05-14,1,non_breeder,134
Falco tinnunculus,Turmfalke,bw124,2023,2023-05-29,1,non_breeder,149
Falco tinnunculus,Turmfalke,bw124,2024,2024-03-30,3,non_breeder,90
Falco tinnunculus,Turmfalke,bw124,2024,2024-04-27,2,non_breeder,118
Falco tinnunculus,Turmfalke,bw124,2024,2024-05-12,1,non_breeder,133
Falco tinnunculus,Turmfalke,bw124,2024,2024-06-09,4,non_breeder,161
Falco tinnunculus,Turmfalke,bw124,2025,2025-03-23,2,non_breeder,82
Falco tinnunculus,Turmfalke,bw124,2025,2025-04-20,2,non_breeder,110
Falco tinnunculus,Turmfalke,bw124,2025,2025-05-11,2,non_breeder,131
Falco tinnunculus,Turmfalke,bw124,2025,2025-06-14,2,non_breeder,165
Falco tinnunculus,Turmfalke,bw126,2024,2024-06-12,1,non_breeder,164
Falco tinnunculus,Turmfalke,bw126,2024,2024-03-20,0,non_breeder,80
Falco tinnunculus,Turmfalke,bw126,2024,2024-05-15,0,non_breeder,136
Falco tinnunculus,Turmfalke,bw126,2024,2024-04-22,1,non_breeder,113
Falco tinnunculus,Turmfalke,bw126,2025,2025-05-12,0,non_breeder,132
Falco tinnunculus,Turmfalke,bw126,2025,2025-06-10,0,non_breeder,161
Falco tinnunculus,Turmfalke,bw126,2025,2025-03-24,2,non_breeder,83
Falco tinnunculus,Turmfalke,bw126,2025,2025-04-28,1,non_breeder,118
Falco tinnunculus,Turmfalke,bw127,2024,2024-05-25,1,non_breeder,146
Falco tinnunculus,Turmfalke,bw127,2024,2024-04-27,1,non_breeder,118
Falco tinnunculus,Turmfalke,bw127,2024,2024-03-26,1,non_breeder,86
Falco tinnunculus,Turmfalke,bw127,2025,2025-04-11,4,non_breeder,101
Falco tinnunculus,Turmfalke,bw127,2025,2025-05-05,0,non_breeder,125
Falco tinnunculus,Turmfalke,bw127,2025,2025-03-22,4,non_breeder,81
Falco tinnunculus,Turmfalke,bw127,2025,2025-05-23,2,non_breeder,143
Falco tinnunculus,Turmfalke,bw129,2023,2023-05-13,0,non_breeder,133
Falco tinnunculus,Turmfalke,bw129,2023,2023-05-30,0,non_breeder,150
