NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Garrulus glandarius,Eichelhäher,bw104,2022,2022-05-30,0,breeder,150
Garrulus glandarius,Eichelhäher,bw104,2022,2022-05-11,1,breeder,131
Garrulus glandarius,Eichelhäher,bw104,2022,2022-03-21,0,breeder,80
Garrulus glandarius,Eichelhäher,bw104,2022,2022-04-13,0,breeder,103
Garrulus glandarius,Eichelhäher,bw104,2024,2024-06-12,2,breeder,164
Garrulus glandarius,Eichelhäher,bw104,2024,2024-05-14,0,breeder,135
Garrulus glandarius,Eichelhäher,bw104,2024,2024-03-19,1,breeder,79
Garrulus glandarius,Eichelhäher,bw104,2024,2024-04-13,0,breeder,104
Garrulus glandarius,Eichelhäher,bw106,2020,2020-04-19,2,breeder,110
Garrulus glandarius,Eichelhäher,bw106,2020,2020-05-17,2,breeder,138
Garrulus glandarius,Eichelhäher,bw106,2020,2020-03-27,1,breeder,87
Garrulus glandarius,Eichelhäher,bw106,2020,2020-06-19,0,breeder,171
Garrulus glandarius,Eichelhäher,bw106,2021,2021-05-19,2,breeder,139
Garrulus glandarius,Eichelhäher,bw106,2021,2021-06-14,3,breeder,165
Garrulus glandarius,Eichelhäher,bw106,2021,2021-03-28,10,breeder,87
Garrulus glandarius,Eichelhäher,bw106,2021,2021-04-26,0,breeder,116
Garrulus glandarius,Eichelhäher,bw106,2022,2022-05-30,1,breeder,150
Garrulus glandarius,Eichelhäher,bw106,2022,2022-04-29,2,breeder,119
Garrulus glandarius,Eichelhäher,bw106,2022,2022-05-07,1,breeder,127
Garrulus glandarius,Eichelhäher,bw106,2022,2022-03-19,4,breeder,78
Garrulus glandarius,Eichelhäher,bw106,2023,2023-03-22,5,breeder,81
Garrulus glandarius,Eichelhäher,bw106,2023,2023-05-15,0,breeder,135
Garrulus glandarius,Eichelhäher,bw106,2023,2023-06-08,1,breeder,159
Garrulus glandarius,Eichelhäher,bw106,2023,2023-04-21,1,breeder,111
Garrulus glandarius,Eichelhäher,bw106,2024,2024-03-21,2,breeder,81
Garrulus glandarius,Eichelhäher,bw106,2024,2024-04-07,0,breeder,98
Garrulus glandarius,Eichelhäher,bw106,2024,2024-05-19,0,breeder,140
Garrulus glandarius,Eichelhäher,bw106,2024,2024-06-20,1,breeder,172
Garrulus glandarius,Eichelhäher,bw107,2022,2022-04-18,2,breeder,108
Garrulus glandarius,Eichelhäher,bw107,2022,2022-03-20,7,breeder,79
Garrulus glandarius,Eichelhäher,bw107,2022,2022-06-06,6,breeder,157
Garrulus glandarius,Eichelhäher,bw107,2022,2022-05-15,0,breeder,135
Garrulus glandarius,Eichelhäher,bw107,2023,2023-05-07,1,breeder,127
