NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Lophophanes cristatus,Haubenmeise,bw129,2024,2024-04-16,1,breeder,107
Lophophanes cristatus,Haubenmeise,bw129,2024,2024-03-22,3,breeder,82
Lophophanes cristatus,Haubenmeise,bw129,2024,2024-05-13,0,breeder,134
Lophophanes cristatus,Haubenmeise,bw129,2024,2024-06-04,0,breeder,156
Lophophanes cristatus,Haubenmeise,bw13,2020,2020-03-28,1,breeder,88
Lophophanes cristatus,Haubenmeise,bw13,2020,2020-05-10,0,breeder,131
Lophophanes cristatus,Haubenmeise,bw13,2020,2020-06-05,0,breeder,157
Lophophanes cristatus,Haubenmeise,bw13,2020,2020-04-19,1,breeder,110
Lophophanes cristatus,Haubenmeise,bw13,2020,2020-04-18,0,breeder,109
Lophophanes cristatus,Haubenmeise,bw13,2021,2021-04-18,2,breeder,108
Lophophanes cristatus,Haubenmeise,bw13,2021,2021-05-10,1,breeder,130
Lophophanes cristatus,Haubenmeise,bw13,2021,2021-03-28,3,breeder,87
Lophophanes cristatus,Haubenmeise,bw13,2021,2021-06-05,1,breeder,156
Lophophanes cristatus,Haubenmeise,bw13,2021,2021-06-04,0,breeder,155
Lophophanes cristatus,Haubenmeise,bw13,2022,2022-03-27,1,breeder,86
Lophophanes cristatus,Haubenmeise,bw13,2022,2022-04-15,3,breeder,105
Lophophanes cristatus,Haubenmeise,bw13,2022,2022-05-09,0,breeder,129
Lophophanes cristatus,Haubenmeise,bw13,2022,2022-06-04,1,breeder,155
Lophophanes cristatus,Haubenmeise,bw13,2023,2023-04-15,0,breeder,105
Lophophanes cristatus,Haubenmeise,bw13,2023,2023-03-29,1,breeder,88
Lophophanes cristatus,Haubenmeise,bw13,2023,2023-05-11,1,breeder,131
Lophophanes cristatus,Haubenmeise,bw13,2023,2023-06-08,0,breeder,159
Lophophanes cristatus,Haubenmeise,bw13,2024,2024-04-15,0,breeder,106
Lophophanes cristatus,Haubenmeise,bw13,2024,2024-06-05,0,breeder,157
Lophophanes cristatus,Haubenmeise,bw13,2024,2024-03-30,2,breeder,90
Lophophanes cristatus,Haubenmeise,bw13,2024,2024-05-06,0,breeder,127
Lophophanes cristatus,Haubenmeise,bw13,2025,2025-03-28,2,breeder,87
Lophophanes cristatus,Haubenmeise,bw13,2025,2025-04-15,1,breeder,105
Lophophanes cristatus,Haubenmeise,bw13,2025,2025-05-10,0,breeder,130
Lophophanes cristatus,Haubenmeise,bw13,2025,2025-06-08,0,breeder,159
Lophophanes cristatus,Haubenmeise,bw140,2023,2023-05-26,0,breeder,146
Lophophanes cristatus,Haubenmeise,bw140,2023,2023-05-12,0,breeder,132
Lophophanes cristatus,Haubenmeise,bw140,2023,2023-03-17,1,breeder,76
Lophophanes cristatus,Haubenmeise,bw140,2023,2023-04-10,2,breeder,100
Lophophanes cristatus,Haubenmeise,bw140,2024,2024-03-18,2,breeder,78
Lophophanes cristatus,Haubenmeise,bw140,2024,2024-04-06,0,breeder,97
Lophophanes cristatus,Haubenmeise,bw140,2024,2024-05-01,0,breeder,122
Lophophanes cristatus,Haubenmeise,bw140,2024,2024-05-23,0,breeder,144
Lophophanes cristatus,Haubenmeise,bw172,2022,2022-04-12,0,breeder,102
Lophophanes cristatus,Haubenmeise,bw172,2022,2022-05-11,0,breeder,131
Lophophanes cristatus,Haubenmeise,bw172,2022,2022-06-02,1,breeder,153
Lophophanes cristatus,Haubenmeise,bw172,2022,2022-03-24,0,breeder,83
Lophophanes cristatus,Haubenmeise,bw172,2023,2023-05-11,2,breeder,131
Lophophanes cristatus,Haubenmeise,bw172,2023,2023-06-07,0,breeder,158
Lophophanes cristatus,Haubenmeise,bw172,2023,2023-03-17,0,breeder,76
Lophophanes cristatus,Haubenmeise,bw172,2023,2023-04-18,1,breeder,108
Lophophanes cristatus,Haubenmeise,bw172,2023,2023-04-17,0,breeder,107
Lophophanes cristatus,Haubenmeise,bw172,2024,2024-04-09,0,breeder,100
