NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Motacilla cinerea,Gebirgsstelze,bw104,2023,2023-06-09,0,breeder,160
Motacilla cinerea,Gebirgsstelze,bw104,2023,2023-04-27,0,breeder,117
Motacilla cinerea,Gebirgsstelze,bw104,2023,2023-05-18,0,breeder,138
Motacilla cinerea,Gebirgsstelze,bw104,2023,2023-03-21,1,breeder,80
Motacilla cinerea,Gebirgsstelze,bw104,2023,2023-06-08,0,breeder,159
Motacilla cinerea,Gebirgsstelze,bw104,2024,2024-06-12,0,breeder,164
Motacilla cinerea,Gebirgsstelze,bw104,2024,2024-05-14,0,breeder,135
Motacilla cinerea,Gebirgsstelze,bw104,2024,2024-03-19,0,breeder,79
Motacilla cinerea,Gebirgsstelze,bw104,2024,2024-04-13,1,breeder,104
Motacilla cinerea,Gebirgsstelze,bw104,2025,2025-05-13,0,breeder,133
Motacilla cinerea,Gebirgsstelze,bw104,2025,2025-06-17,2,breeder,168
Motacilla cinerea,Gebirgsstelze,bw104,2025,2025-04-11,1,breeder,101
Motacilla cinerea,Gebirgsstelze,bw104,2025,2025-03-21,1,breeder,80
Motacilla cinerea,Gebirgsstelze,bw104,2025,2025-04-10,0,breeder,100
Motacilla cinerea,Gebirgsstelze,bw104,2025,2025-05-12,0,breeder,132
Motacilla cinerea,Gebirgsstelze,bw122,2021,2021-04-18,2,breeder,108
Motacilla cinerea,Gebirgsstelze,bw122,2021,2021-05-13,0,breeder,133
Motacilla cinerea,Gebirgsstelze,bw122,2021,2021-05-30,0,breeder,150
Motacilla cinerea,Gebirgsstelze,bw122,2021,2021-03-21,0,breeder,80
Motacilla cinerea,Gebirgsstelze,bw122,2024,2024-04-26,0,breeder,117
Motacilla cinerea,Gebirgsstelze,bw122,2024,2024-03-15,0,breeder,75
Motacilla cinerea,Gebirgsstelze,bw122,2024,2024-05-26,0,breeder,147
Motacilla cinerea,Gebirgsstelze,bw122,2024,2024-06-16,2,breeder,168
Motacilla cinerea,Gebirgsstelze,bw122,2025,2025-04-21,2,breeder,111
Motacilla cinerea,Gebirgsstelze,bw122,2025,2025-06-09,5,breeder,160
Motacilla cinerea,Gebirgsstelze,bw122,2025,2025-03-25,1,breeder,84
Motacilla cinerea,Gebirgsstelze,bw122,2025,2025-05-16,1,breeder,136
Motacilla cinerea,Gebirgsstelze,bw132,2024,2024-04-05,0,breeder,96
Motacilla cinerea,Gebirgsstelze,bw132,2024,2024-05-01,1,breeder,122
Motacilla cinerea,Gebirgsstelze,bw132,2024,2024-03-18,1,breeder,78
Motacilla cinerea,Gebirgsstelze,bw132,2024,2024-06-20,1,breeder,172
Motacilla cinerea,Gebirgsstelze,bw132,2025,2025-05-19,2,breeder,139
Motacilla cinerea,Gebirgsstelze,bw132,2025,2025-06-11,0,breeder,162
Motacilla cinerea,Gebirgsstelze,bw132,2025,2025-03-22,2,breeder,81
Motacilla cinerea,Gebirgsstelze,bw132,2025,2025-04-19,1,breeder,109
Motacilla cinerea,Gebirgsstelze,bw148,2024,2024-04-27,2,breeder,118
Motacilla cinerea,Gebirgsstelze,bw148,2024,2024-05-11,0,breeder,132
Motacilla cinerea,Gebirgsstelze,bw148,2024,2024-04-01,0,breeder,92
Motacilla cinerea,Gebirgsstelze,bw148,2025,2025-05-17,1,breeder,137
Motacilla cinerea,Gebirgsstelze,bw148,2025,2025-06-09,0,breeder,160
Motacilla cinerea,Gebirgsstelze,bw148,2025,2025-03-29,3,breeder,88
Motacilla cinerea,Gebirgsstelze,bw148,2025,2025-04-26,2,breeder,116
Motacilla cinerea,Gebirgsstelze,bw172,2022,2022-04-12,0,breeder,102
Motacilla cinerea,Gebirgsstelze,bw172,2022,2022-05-11,1,breeder,131
Motacilla cinerea,Gebirgsstelze,bw172,2022,2022-06-02,4,breeder,153
Motacilla cinerea,Gebirgsstelze,bw172,2022,2022-03-24,0,breeder,83
Motacilla cinerea,Gebirgsstelze,bw172,2023,2023-05-11,1,breeder,131
Motacilla cinerea,Gebirgsstelze,bw172,2023,2023-06-07,0,breeder,158
Motacilla cinerea,Gebirgsstelze,bw172,2023,2023-03-17,0,breeder,76
Motacilla cinerea,Gebirgsstelze,bw172,2023,2023-04-18,0,breeder,108
Motacilla cinerea,Gebirgsstelze,bw172,2023,2023-04-17,0,breeder,107
Motacilla cinerea,Gebirgsstelze,bw172,2024,2024-04-09,0,breeder,100
Motacilla cinerea,Gebirgsstelze,bw172,2024,2024-05-10,0,breeder,131
Motacilla cinerea,Gebirgsstelze,bw172,2024,2024-06-07,1,breeder,159
Motacilla cinerea,Gebirgsstelze,bw172,2024,2024-03-15,0,breeder,75
Motacilla cinerea,Gebirgsstelze,bw172,2024,2024-04-08,0,breeder,99
Motacilla cinerea,Gebirgsstelze,bw172,2025,2025-03-20,0,breeder,79
Motacilla cinerea,Gebirgsstelze,bw172,2025,2025-04-10,0,breeder,100
Motacilla cinerea,Gebirgsstelze,bw172,2025,2025-05-09,2,breeder,129
Motacilla cinerea,Gebirgsstelze,bw172,2025,2025-05-31,1,breeder,151
Motacilla cinerea,Gebirgsstelze,bw186,2024,2024-05-14,2,breeder,135
Motacilla cinerea,Gebirgsstelze,bw186,2024,2024-06-11,3,breeder,163
Motacilla cinerea,Gebirgsstelze,bw186,2024,2024-03-26,3,breeder,86
Motacilla cinerea,Gebirgsstelze,bw186,2024,2024-04-30,2,breeder,121
Motacilla cinerea,Gebirgsstelze,bw186,2025,2025-03-25,4,breeder,84
Motacilla cinerea,Gebirgsstelze,bw186,2025,2025-05-20,3,breeder,140
Motacilla cinerea,Gebirgsstelze,bw186,2025,2025-06-10,3,breeder,161
Motacilla cinerea,Gebirgsstelze,bw186,2025,2025-04-23,4,breeder,113
Motacilla cinerea,Gebirgsstelze,bw194,2022,2022-04-18,0,breeder,108
Motacilla cinerea,Gebirgsstelze,bw194,2022,2022-05-08,2,breeder,128
Motacilla cinerea,Gebirgsstelze,bw194,2022,2022-06-12,0,breeder,163
Motacilla cinerea,Gebirgsstelze,bw194,2022,2022-04-08,0,breeder,98
Motacilla cinerea,Gebirgsstelze,bw194,2024,2024-04-24,0,breeder,115
Motacilla cinerea,Gebirgsstelze,bw194,2024,2024-03-24,1,breeder,84
Motacilla cinerea,Gebirgsstelze,bw194,2024,2024-05-18,2,breeder,139
Motacilla cinerea,Gebirgsstelze,bw194,2024,2024-06-18,1,breeder,170
Motacilla cinerea,Gebirgsstelze,bw194,2025,2025-03-23,6,breeder,82
Motacilla cinerea,Gebirgsstelze,bw194,2025,2025-05-24,3,breeder,144
Motacilla cinerea,Gebirgsstelze,bw194,2025,2025-04-27,5,breeder,117
Motacilla cinerea,Gebirgsstelze,bw194,2025,2025-06-19,2,breeder,170
Motacilla cinerea,Gebirgsstelze,bw211,2022,2022-03-26,1,breeder,85
Motacilla cinerea,Gebirgsstelze,bw211,2022,2022-04-21,0,breeder,111
Motacilla cinerea,Gebirgsstelze,bw211,2022,2022-05-20,2,breeder,140
Motacilla cinerea,Gebirgsstelze,bw211,2022,2022-06-19,2,breeder,170
Motacilla cinerea,Gebirgsstelze,bw211,2023,2023-04-29,6,breeder,119
Motacilla cinerea,Gebirgsstelze,bw211,2023,2023-05-18,4,breeder,138
Motacilla cinerea,Gebirgsstelze,bw211,2023,2023-06-16,5,breeder,167
Motacilla cinerea,Gebirgsstelze,bw211,2023,2023-03-29,6,breeder,88
Motacilla cinerea,Gebirgsstelze,bw211,2025,2025-03-29,2,breeder,88
Motacilla cinerea,Gebirgsstelze,bw211,2025,2025-05-15,3,breeder,135
Motacilla cinerea,Gebirgsstelze,bw211,2025,2025-04-26,6,breeder,116
Motacilla cinerea,Gebirgsstelze,bw211,2025,2025-06-16,3,breeder,167
Motacilla cinerea,Gebirgsstelze,bw220,2021,2021-05-20,0,breeder,140
Motacilla cinerea,Gebirgsstelze,bw220,2021,2021-06-20,2,breeder,171
Motacilla cinerea,Gebirgsstelze,bw220,2021,2021-03-28,0,breeder,87
Motacilla cinerea,Gebirgsstelze,bw220,2021,2021-04-25,3,breeder,115
Motacilla cinerea,Gebirgsstelze,bw220,2022,2022-06-06,0,breeder,157
Motacilla cinerea,Gebirgsstelze,bw220,2022,2022-05-16,1,breeder,136
Motacilla cinerea,Gebirgsstelze,bw220,2022,2022-03-26,2,breeder,85
Motacilla cinerea,Gebirgsstelze,bw220,2022,2022-04-17,0,breeder,107
Motacilla cinerea,Gebirgsstelze,bw220,2023,2023-06-11,1,breeder,162
Motacilla cinerea,Gebirgsstelze,bw220,2023,2023-03-26,1,breeder,85
Motacilla cinerea,Gebirgsstelze,bw220,2023,2023-04-23,1,breeder,113
Motacilla cinerea,Gebirgsstelze,bw220,2023,2023-05-18,0,breeder,138
Motacilla cinerea,Gebirgsstelze,bw220,2025,2025-05-25,2,breeder,145
Motacilla cinerea,Gebirgsstelze,bw220,2025,2025-03-23,2,breeder,82
Motacilla cinerea,Gebirgsstelze,bw220,2025,2025-04-27,2,breeder,117
Motacilla cinerea,Gebirgsstelze,bw220,2025,2025-06-15,2,breeder,166
Motacilla cinerea,Gebirgsstelze,bw29,2024,2024-03-23,0,breeder,83
Motacilla cinerea,Gebirgsstelze,bw29,2024,2024-04-15,0,breeder,106
Motacilla cinerea,Gebirgsstelze,bw29,2024,2024-05-29,0,breeder,150
Motacilla cinerea,Gebirgsstelze,bw29,2024,2024-06-28,1,breeder,180
Motacilla cinerea,Gebirgsstelze,bw29,2025,2025-05-14,1,breeder,134
Motacilla cinerea,Gebirgsstelze,bw29,2025,2025-03-27,0,breeder,86
Motacilla cinerea,Gebirgsstelze,bw29,2025,2025-04-21,0,breeder,111
Motacilla cinerea,Gebirgsstelze,bw29,2025,2025-06-19,0,breeder,170
Motacilla cinerea,Gebirgsstelze,bw309,2022,2022-04-18,4,breeder,108
Motacilla cinerea,Gebirgsstelze,bw309,2022,2022-06-04,1,breeder,155
Motacilla cinerea,Gebirgsstelze,bw309,2022,2022-03-24,2,breeder,83
Motacilla cinerea,Gebirgsstelze,bw309,2022,2022-05-08,0,breeder,128
Motacilla cinerea,Gebirgsstelze,bw309,2023,2023-05-29,2,breeder,149
Motacilla cinerea,Gebirgsstelze,bw309,2023,2023-03-25,1,breeder,84
Motacilla cinerea,Gebirgsstelze,bw309,2023,2023-05-13,3,breeder,133
Motacilla cinerea,Gebirgsstelze,bw309,2023,2023-04-08,0,breeder,98
Motacilla cinerea,Gebirgsstelze,bw309,2024,2024-06-08,5,breeder,160
Motacilla cinerea,Gebirgsstelze,bw309,2024,2024-03-26,3,breeder,86
Motacilla cinerea,Gebirgsstelze,bw309,2024,2024-04-14,1,breeder,105
Motacilla cinerea,Gebirgsstelze,bw309,2024,2024-05-11,3,breeder,132
Motacilla cinerea,Gebirgsstelze,bw309,2025,2025-06-09,2,breeder,160
Motacilla cinerea,Gebirgsstelze,bw309,2025,2025-03-28,1,breeder,87
Motacilla cinerea,Gebirgsstelze,bw309,2025,2025-05-09,3,breeder,129
Motacilla cinerea,Gebirgsstelze,bw309,2025,2025-04-21,2,breeder,111
Motacilla cinerea,Gebirgsstelze,bw313,2022,2022-05-26,2,breeder,146
Motacilla cinerea,Gebirgsstelze,bw313,2022,2022-03-30,0,breeder,89
Motacilla cinerea,Gebirgsstelze,bw313,2022,2022-06-23,0,breeder,174
Motacilla cinerea,Gebirgsstelze,bw313,2022,2022-05-04,1,breeder,124
Motacilla cinerea,Gebirgsstelze,bw313,2023,2023-04-29,0,breeder,119
Motacilla cinerea,Gebirgsstelze,bw313,2023,2023-06-17,0,breeder,168
Motacilla cinerea,Gebirgsstelze,bw313,2023,2023-03-28,2,breeder,87
Motacilla cinerea,Gebirgsstelze,bw313,2023,2023-05-19,1,breeder,139
Motacilla cinerea,Gebirgsstelze,bw313,2025,2025-03-23,0,breeder,82
Motacilla cinerea,Gebirgsstelze,bw313,2025,2025-04-22,0,breeder,112
Motacilla cinerea,Gebirgsstelze,bw313,2025,2025-05-29,2,breeder,149
Motacilla cinerea,Gebirgsstelze,bw313,2025,2025-06-12,0,breeder,163
Motacilla cinerea,Gebirgsstelze,bw330,2022,2022-06-10,1,breeder,161
Motacilla cinerea,Gebirgsstelze,bw330,2022,2022-04-16,0,breeder,106
Motacilla cinerea,Gebirgsstelze,bw330,2022,2022-05-12,0,breeder,132
Motacilla cinerea,Gebirgsstelze,bw330,2022,2022-03-12,0,breeder,71
Motacilla cinerea,Gebirgsstelze,bw330,2023,2023-03-21,1,breeder,80
Motacilla cinerea,Gebirgsstelze,bw330,2023,2023-05-27,0,breeder,147
Motacilla cinerea,Gebirgsstelze,bw330,2023,2023-05-13,0,breeder,133
Motacilla cinerea,Gebirgsstelze,bw330,2023,2023-04-11,0,breeder,101
Motacilla cinerea,Gebirgsstelze,bw330,2025,2025-04-15,2,breeder,105
Motacilla cinerea,Gebirgsstelze,bw330,2025,2025-05-13,0,breeder,133
Motacilla cinerea,Gebirgsstelze,bw330,2025,2025-06-03,2,breeder,154
Motacilla cinerea,Gebirgsstelze,bw330,2025,2025-03-25,0,breeder,84
Motacilla cinerea,Gebirgsstelze,bw372,2022,2022-05-20,0,breeder,140
Motacilla cinerea,Gebirgsstelze,bw372,2022,2022-06-01,0,breeder,152
