NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Parus major,Kohlmeise,bw110,2022,2022-04-14,9,non_breeder,104
Parus major,Kohlmeise,bw110,2022,2022-06-04,0,non_breeder,155
Parus major,Kohlmeise,bw110,2022,2022-03-29,6,non_breeder,88
Parus major,Kohlmeise,bw110,2022,2022-05-10,1,non_breeder,130
Parus major,Kohlmeise,bw110,2023,2023-04-09,9,non_breeder,99
Parus major,Kohlmeise,bw110,2023,2023-05-03,10,non_breeder,123
Parus major,Kohlmeise,bw110,2023,2023-05-19,2,non_breeder,139
Parus major,Kohlmeise,bw110,2023,2023-06-19,1,non_breeder,170
Parus major,Kohlmeise,bw110,2024,2024-03-31,9,non_breeder,91
Parus major,Kohlmeise,bw110,2024,2024-05-15,7,non_breeder,136
Parus major,Kohlmeise,bw110,2024,2024-04-27,2,non_breeder,118
Parus major,Kohlmeise,bw110,2024,2024-06-26,3,non_breeder,178
Parus major,Kohlmeise,bw114,2022,2022-06-18,5,non_breeder,169
Parus major,Kohlmeise,bw114,2022,2022-04-12,8,non_breeder,102
Parus major,Kohlmeise,bw114,2022,2022-03-24,12,non_breeder,83
Parus major,Kohlmeise,bw114,2022,2022-05-18,6,non_breeder,138
Parus major,Kohlmeise,bw114,2023,2023-04-26,10,non_breeder,116
Parus major,Kohlmeise,bw114,2023,2023-05-19,8,non_breeder,139
Parus major,Kohlmeise,bw114,2023,2023-06-20,10,non_breeder,171
Parus major,Kohlmeise,bw114,2023,2023-03-28,12,non_breeder,87
Parus major,Kohlmeise,bw114,2024,2024-03-28,20,non_breeder,88
Parus major,Kohlmeise,bw114,2024,2024-04-28,27,non_breeder,119
Parus major,Kohlmeise,bw114,2024,2024-05-18,27,non_breeder,139
Parus major,Kohlmeise,bw114,2024,2024-06-14,39,non_breeder,166
Parus major,Kohlmeise,bw114,2025,2025-04-04,53,non_breeder,94
Parus major,Kohlmeise,bw114,2025,2025-03-09,40,non_breeder,68
Parus major,Kohlmeise,bw114,2025,2025-05-10,30,non_breeder,130
Parus major,Kohlmeise,bw114,2025,2025-06-12,49,non_breeder,163
Parus major,Kohlmeise,bw131,2022,2022-03-27,4,non_breeder,86
Parus major,Kohlmeise,bw131,2022,2022-05-07,7,non_breeder,127
