NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Passer montanus,Feldsperling,bw101,2022,2022-03-27,0,non_breeder,86
Passer montanus,Feldsperling,bw101,2022,2022-04-17,1,non_breeder,107
Passer montanus,Feldsperling,bw101,2022,2022-05-20,0,non_breeder,140
Passer montanus,Feldsperling,bw101,2022,2022-06-20,0,non_breeder,171
Passer montanus,Feldsperling,bw102,2024,2024-04-27,0,non_breeder,118
Passer montanus,Feldsperling,bw102,2024,2024-03-25,2,non_breeder,85
Passer montanus,Feldsperling,bw102,2024,2024-05-18,0,non_breeder,139
Passer montanus,Feldsperling,bw102,2024,2024-06-17,0,non_breeder,169
Passer montanus,Feldsperling,bw108,2023,2023-05-05,0,non_breeder,125
Passer montanus,Feldsperling,bw108,2023,2023-06-02,1,non_breeder,153
Passer montanus,Feldsperling,bw108,2023,2023-03-22,0,non_breeder,81
Passer montanus,Feldsperling,bw108,2023,2023-04-22,0,non_breeder,112
Passer montanus,Feldsperling,bw110,2022,2022-04-14,0,non_breeder,104
Passer montanus,Feldsperling,bw110,2022,2022-06-04,2,non_breeder,155
Passer montanus,Feldsperling,bw110,2022,2022-03-29,0,non_breeder,88
Passer montanus,Feldsperling,bw110,2022,2022-05-10,0,non_breeder,130
Passer montanus,Feldsperling,bw110,2023,2023-04-09,0,non_breeder,99
Passer montanus,Feldsperling,bw110,2023,2023-05-03,0,non_breeder,123
Passer montanus,Feldsperling,bw110,2023,2023-05-19,2,non_breeder,139
Passer montanus,Feldsperling,bw110,2023,2023-06-19,0,non_breeder,170
Passer montanus,Feldsperling,bw115,2021,2021-03-21,1,non_breeder,80
Passer montanus,Feldsperling,bw115,2021,2021-04-18,2,non_breeder,108
Passer montanus,Feldsperling,bw115,2021,2021-05-09,0,non_breeder,129
Passer montanus,Feldsperling,bw115,2021,2021-05-30,1,non_breeder,150
Passer montanus,Feldsperling,bw115,2023,2023-03-11,1,non_breeder,70
Passer montanus,Feldsperling,bw115,2023,2023-04-15,0,non_breeder,105
Passer montanus,Feldsperling,bw115,2023,2023-05-01,0,non_breeder,121
Passer montanus,Feldsperling,bw115,2023,2023-06-11,0,non_breeder,162
Passer montanus,Feldsperling,bw127,2024,2024-05-25,1,non_breeder,146
Passer montanus,Feldsperling,bw127,2024,2024-04-27,1,non_breeder,118
Passer montanus,Feldsperling,bw127,2024,2024-03-26,1,non_breeder,86
Passer montanus,Feldsperling,bw129,2023,2023-05-13,2,non_breeder,133
Passer montanus,Feldsperling,bw129,2023,2023-05-30,0,non_breeder,150
Passer montanus,Feldsperling,bw129,2023,2023-04-18,0,non_breeder,108
Passer montanus,Feldsperling,bw129,2023,2023-03-25,0,non_breeder,84
Passer montanus,Feldsperling,bw129,2024,2024-04-16,0,non_breeder,107
Passer montanus,Feldsperling,bw129,2024,2024-03-22,0,non_breeder,82
Passer montanus,Feldsperling,bw129,2024,2024-05-13,1,non_breeder,134
Passer montanus,Feldsperling,bw129,2024,2024-06-04,0,non_breeder,156
Passer montanus,Feldsperling,bw132,2024,2024-04-05,0,non_breeder,96
Passer montanus,Feldsperling,bw132,2024,2024-05-01,0,non_breeder,122
Passer montanus,Feldsperling,bw132,2024,2024-03-18,1,non_breeder,78
Passer montanus,Feldsperling,bw132,2024,2024-06-20,0,non_breeder,172
Passer montanus,Feldsperling,bw136,2022,2022-03-27,2,non_breeder,86
Passer montanus,Feldsperling,bw136,2022,2022-05-15,0,non_breeder,135
Passer montanus,Feldsperling,bw136,2022,2022-04-27,0,non_breeder,117
Passer montanus,Feldsperling,bw136,2022,2022-06-12,0,non_breeder,163
Passer montanus,Feldsperling,bw138,2022,2022-06-11,0,non_breeder,162
Passer montanus,Feldsperling,bw138,2022,2022-03-19,1,non_breeder,78
Passer montanus,Feldsperling,bw138,2022,2022-04-15,0,non_breeder,105
Passer montanus,Feldsperling,bw138,2022,2022-05-10,0,non_breeder,130
Passer montanus,Feldsperling,bw138,2023,2023-06-10,3,non_breeder,161
Passer montanus,Feldsperling,bw138,2023,2023-03-29,0,non_breeder,88
Passer montanus,Feldsperling,bw138,2023,2023-04-04,0,non_breeder,94
Passer montanus,Feldsperling,bw138,2023,2023-05-17,2,non_breeder,137
Passer montanus,Feldsperling,bw140,2022,2022-05-03,1,non_breeder,123
Passer montanus,Feldsperling,bw140,2022,2022-03-17,2,non_breeder,76
Passer montanus,Feldsperling,bw140,2022,2022-05-29,0,non_breeder,149
Passer montanus,Feldsperling,bw140,2022,2022-04-13,1,non_breeder,103
Passer montanus,Feldsperling,bw140,2023,2023-05-26,0,non_breeder,146
Passer montanus,Feldsperling,bw140,2023,2023-05-12,0,non_breeder,132
Passer montanus,Feldsperling,bw140,2023,2023-03-17,0,non_breeder,76
Passer montanus,Feldsperling,bw140,2023,2023-04-10,2,non_breeder,100
Passer montanus,Feldsperling,bw141,2024,2024-06-16,1,non_breeder,168
Passer montanus,Feldsperling,bw141,2024,2024-04-29,0,non_breeder,120
Passer montanus,Feldsperling,bw141,2024,2024-05-20,0,non_breeder,141
Passer montanus,Feldsperling,bw141,2024,2024-03-28,1,non_breeder,88
Passer montanus,Feldsperling,bw143,2023,2023-03-18,0,non_breeder,77
Passer montanus,Feldsperling,bw143,2023,2023-04-09,0,non_breeder,99
Passer montanus,Feldsperling,bw143,2023,2023-04-30,2,non_breeder,120
Passer montanus,Feldsperling,bw143,2023,2023-06-17,0,non_breeder,168
Passer montanus,Feldsperling,bw143,2024,2024-03-10,0,non_breeder,70
Passer montanus,Feldsperling,bw143,2024,2024-04-07,0,non_breeder,98
Passer montanus,Feldsperling,bw143,2024,2024-05-12,6,non_breeder,133
Passer montanus,Feldsperling,bw143,2024,2024-06-08,1,non_breeder,160
Passer montanus,Feldsperling,bw143,2024,2024-04-06,0,non_breeder,97
Passer montanus,Feldsperling,bw143,2025,2025-04-19,1,non_breeder,109
Passer montanus,Feldsperling,bw143,2025,2025-03-22,1,non_breeder,81
Passer montanus,Feldsperling,bw143,2025,2025-05-10,0,non_breeder,130
Passer montanus,Feldsperling,bw143,2025,2025-06-08,0,non_breeder,159
Passer montanus,Feldsperling,bw15,2024,2024-03-26,0,non_breeder,86
Passer montanus,Feldsperling,bw15,2024,2024-04-10,2,non_breeder,101
Passer montanus,Feldsperling,bw15,2024,2024-05-12,0,non_breeder,133
Passer montanus,Feldsperling,bw15,2024,2024-06-05,0,non_breeder,157
Passer montanus,Feldsperling,bw15,2025,2025-03-28,2,non_breeder,87
Passer montanus,Feldsperling,bw15,2025,2025-04-09,4,non_breeder,99
Passer montanus,Feldsperling,bw15,2025,2025-05-10,0,non_breeder,130
Passer montanus,Feldsperling,bw15,2025,2025-06-01,1,non_breeder,152
Passer montanus,Feldsperling,bw164,2025,2025-04-15,0,non_breeder,105
Passer montanus,Feldsperling,bw164,2025,2025-06-16,4,non_breeder,167
Passer montanus,Feldsperling,bw164,2025,2025-05-15,0,non_breeder,135
Passer montanus,Feldsperling,bw164,2025,2025-03-17,0,non_breeder,76
Passer montanus,Feldsperling,bw168,2024,2024-05-15,2,non_breeder,136
Passer montanus,Feldsperling,bw168,2024,2024-06-11,2,non_breeder,163
Passer montanus,Feldsperling,bw168,2024,2024-03-26,6,non_breeder,86
Passer montanus,Feldsperling,bw168,2024,2024-04-16,1,non_breeder,107
Passer montanus,Feldsperling,bw168,2025,2025-06-11,2,non_breeder,162
Passer montanus,Feldsperling,bw168,2025,2025-03-27,3,non_breeder,86
Passer montanus,Feldsperling,bw168,2025,2025-04-16,4,non_breeder,106
Passer montanus,Feldsperling,bw168,2025,2025-05-07,3,non_breeder,127
Passer montanus,Feldsperling,bw170,2025,2025-06-04,1,non_breeder,155
Passer montanus,Feldsperling,bw170,2025,2025-04-02,0,non_breeder,92
Passer montanus,Feldsperling,bw170,2025,2025-05-02,0,non_breeder,122
