NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Podiceps cristatus,Haubentaucher,bw368,2022,2022-06-11,2,breeder,162
Podiceps cristatus,Haubentaucher,bw368,2022,2022-04-23,0,breeder,113
Podiceps cristatus,Haubentaucher,bw368,2022,2022-05-08,2,breeder,128
Podiceps cristatus,Haubentaucher,bw368,2022,2022-03-20,0,breeder,79
Podiceps cristatus,Haubentaucher,bw368,2023,2023-05-20,1,breeder,140
Podiceps cristatus,Haubentaucher,bw368,2023,2023-06-10,0,breeder,161
Podiceps cristatus,Haubentaucher,bw368,2023,2023-04-29,0,breeder,119
Podiceps cristatus,Haubentaucher,bw368,2023,2023-03-26,2,breeder,85
Podiceps cristatus,Haubentaucher,bw368,2024,2024-05-12,3,breeder,133
Podiceps cristatus,Haubentaucher,bw368,2024,2024-06-08,2,breeder,160
Podiceps cristatus,Haubentaucher,bw368,2024,2024-03-17,4,breeder,77
Podiceps cristatus,Haubentaucher,bw368,2024,2024-04-14,2,breeder,105
Podiceps cristatus,Haubentaucher,bw368,2025,2025-05-17,3,breeder,137
Podiceps cristatus,Haubentaucher,bw368,2025,2025-06-08,4,breeder,159
Podiceps cristatus,Haubentaucher,bw368,2025,2025-04-20,0,breeder,110
Podiceps cristatus,Haubentaucher,bw368,2025,2025-03-22,0,breeder,81
