NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Poecile montanus,Weidenmeise,bw13,2020,2020-03-28,0,breeder,88
Poecile montanus,Weidenmeise,bw13,2020,2020-05-10,0,breeder,131
Poecile montanus,Weidenmeise,bw13,2020,2020-06-05,0,breeder,157
Poecile montanus,Weidenmeise,bw13,2020,2020-04-19,1,breeder,110
Poecile montanus,Weidenmeise,bw13,2020,2020-04-18,0,breeder,109
Poecile montanus,Weidenmeise,bw13,2021,2021-04-18,1,breeder,108
Poecile montanus,Weidenmeise,bw13,2021,2021-05-10,0,breeder,130
Poecile montanus,Weidenmeise,bw13,2021,2021-03-28,1,breeder,87
Poecile montanus,Weidenmeise,bw13,2021,2021-06-05,0,breeder,156
Poecile montanus,Weidenmeise,bw13,2021,2021-06-04,0,breeder,155
Poecile montanus,Weidenmeise,bw13,2022,2022-03-27,0,breeder,86
Poecile montanus,Weidenmeise,bw13,2022,2022-04-15,0,breeder,105
Poecile montanus,Weidenmeise,bw13,2022,2022-05-09,1,breeder,129
Poecile montanus,Weidenmeise,bw13,2022,2022-06-04,0,breeder,155
Poecile montanus,Weidenmeise,bw13,2023,2023-04-15,0,breeder,105
Poecile montanus,Weidenmeise,bw13,2023,2023-03-29,0,breeder,88
Poecile montanus,Weidenmeise,bw13,2023,2023-05-11,0,breeder,131
Poecile montanus,Weidenmeise,bw13,2023,2023-06-08,1,breeder,159
Poecile montanus,Weidenmeise,bw13,2024,2024-04-15,1,breeder,106
Poecile montanus,Weidenmeise,bw13,2024,2024-06-05,0,breeder,157
Poecile montanus,Weidenmeise,bw13,2024,2024-03-30,0,breeder,90
Poecile montanus,Weidenmeise,bw13,2024,2024-05-06,2,breeder,127
Poecile montanus,Weidenmeise,bw137,2024,2024-06-20,2,breeder,172
Poecile montanus,Weidenmeise,bw137,2024,2024-03-29,2,breeder,89
Poecile montanus,Weidenmeise,bw137,2024,2024-04-27,0,breeder,118
Poecile montanus,Weidenmeise,bw137,2024,2024-05-16,0,breeder,137
Poecile montanus,Weidenmeise,bw137,2024,2024-05-15,0,breeder,136
Poecile montanus,Weidenmeise,bw209,2021,2021-05-09,1,breeder,129
Poecile montanus,Weidenmeise,bw209,2021,2021-03-28,2,breeder,87
Poecile montanus,Weidenmeise,bw209,2021,2021-04-24,2,breeder,114
Poecile montanus,Weidenmeise,bw209,2021,2021-05-29,2,breeder,149
Poecile montanus,Weidenmeise,bw209,2022,2022-05-29,5,breeder,149
Poecile montanus,Weidenmeise,bw209,2022,2022-03-12,2,breeder,71
Poecile montanus,Weidenmeise,bw209,2022,2022-04-16,0,breeder,106
Poecile montanus,Weidenmeise,bw209,2022,2022-05-08,3,breeder,128
Poecile montanus,Weidenmeise,bw209,2023,2023-04-22,6,breeder,112
Poecile montanus,Weidenmeise,bw209,2023,2023-05-27,5,breeder,147
Poecile montanus,Weidenmeise,bw209,2023,2023-05-06,1,breeder,126
Poecile montanus,Weidenmeise,bw209,2023,2023-03-18,0,breeder,77
Poecile montanus,Weidenmeise,bw238,2024,2024-03-26,1,breeder,86
Poecile montanus,Weidenmeise,bw238,2024,2024-04-08,0,breeder,99
Poecile montanus,Weidenmeise,bw238,2024,2024-05-14,1,breeder,135
Poecile montanus,Weidenmeise,bw238,2024,2024-06-07,0,breeder,159
Poecile montanus,Weidenmeise,bw238,2025,2025-03-22,0,breeder,81
Poecile montanus,Weidenmeise,bw238,2025,2025-04-22,1,breeder,112
Poecile montanus,Weidenmeise,bw238,2025,2025-05-13,0,breeder,133
Poecile montanus,Weidenmeise,bw238,2025,2025-06-05,0,breeder,156
Poecile montanus,Weidenmeise,bw301,2022,2022-04-17,3,breeder,107
Poecile montanus,Weidenmeise,bw301,2022,2022-03-25,1,breeder,84
Poecile montanus,Weidenmeise,bw301,2022,2022-05-06,2,breeder,126
Poecile montanus,Weidenmeise,bw301,2022,2022-06-07,1,breeder,158
Poecile montanus,Weidenmeise,bw301,2023,2023-04-14,4,breeder,104
Poecile montanus,Weidenmeise,bw301,2023,2023-03-23,1,breeder,82
Poecile montanus,Weidenmeise,bw301,2023,2023-05-09,2,breeder,129
Poecile montanus,Weidenmeise,bw301,2023,2023-06-07,2,breeder,158
Poecile montanus,Weidenmeise,bw301,2024,2024-03-27,0,breeder,87
Poecile montanus,Weidenmeise,bw301,2024,2024-06-07,1,breeder,159
Poecile montanus,Weidenmeise,bw301,2024,2024-05-05,0,breeder,126
Poecile montanus,Weidenmeise,bw301,2024,2024-04-19,3,breeder,110
Poecile montanus,Weidenmeise,bw301,2025,2025-06-06,1,breeder,157
Poecile montanus,Weidenmeise,bw301,2025,2025-03-25,2,breeder,84
Poecile montanus,Weidenmeise,bw301,2025,2025-04-16,0,breeder,106
Poecile montanus,Weidenmeise,bw301,2025,2025-05-09,0,breeder,129
Poecile montanus,Weidenmeise,bw309,2022,2022-04-18,1,breeder,108
Poecile montanus,Weidenmeise,bw309,2022,2022-06-04,0,breeder,155
Poecile montanus,Weidenmeise,bw309,2022,2022-03-24,0,breeder,83
Poecile montanus,Weidenmeise,bw309,2022,2022-05-08,1,breeder,128
Poecile montanus,Weidenmeise,bw309,2023,2023-05-29,2,breeder,149
Poecile montanus,Weidenmeise,bw309,2023,2023-03-25,1,breeder,84
Poecile montanus,Weidenmeise,bw309,2023,2023-05-13,0,breeder,133
Poecile montanus,Weidenmeise,bw309,2023,2023-04-08,2,breeder,98
Poecile montanus,Weidenmeise,bw309,2024,2024-06-08,1,breeder,160
Poecile montanus,Weidenmeise,bw309,2024,2024-03-26,0,breeder,86
Poecile montanus,Weidenmeise,bw309,2024,2024-04-14,1,breeder,105
Poecile montanus,Weidenmeise,bw309,2024,2024-05-11,2,breeder,132
Poecile montanus,Weidenmeise,bw309,2025,2025-06-09,3,breeder,160
Poecile montanus,Weidenmeise,bw309,2025,2025-03-28,0,breeder,87
Poecile montanus,Weidenmeise,bw309,2025,2025-05-09,3,breeder,129
Poecile montanus,Weidenmeise,bw309,2025,2025-04-21,2,breeder,111
Poecile montanus,Weidenmeise,bw321,2022,2022-03-25,1,breeder,84
Poecile montanus,Weidenmeise,bw321,2022,2022-06-19,1,breeder,170
Poecile montanus,Weidenmeise,bw321,2022,2022-04-16,1,breeder,106
Poecile montanus,Weidenmeise,bw321,2022,2022-05-14,0,breeder,134
Poecile montanus,Weidenmeise,bw321,2023,2023-06-09,0,breeder,160
