NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Prunella modularis,Heckenbraunelle,bw10,2022,2022-06-09,0,non_breeder,160
Prunella modularis,Heckenbraunelle,bw10,2022,2022-05-14,0,non_breeder,134
Prunella modularis,Heckenbraunelle,bw10,2022,2022-03-20,2,non_breeder,79
Prunella modularis,Heckenbraunelle,bw10,2022,2022-04-22,2,non_breeder,112
Prunella modularis,Heckenbraunelle,bw10,2023,2023-04-30,0,non_breeder,120
Prunella modularis,Heckenbraunelle,bw10,2023,2023-05-14,0,non_breeder,134
Prunella modularis,Heckenbraunelle,bw10,2023,2023-05-27,0,non_breeder,147
Prunella modularis,Heckenbraunelle,bw10,2023,2023-03-18,2,non_breeder,77
Prunella modularis,Heckenbraunelle,bw10,2024,2024-06-08,1,non_breeder,160
Prunella modularis,Heckenbraunelle,bw10,2024,2024-03-11,0,non_breeder,71
Prunella modularis,Heckenbraunelle,bw10,2024,2024-04-05,0,non_breeder,96
Prunella modularis,Heckenbraunelle,bw10,2024,2024-05-04,1,non_breeder,125
Prunella modularis,Heckenbraunelle,bw10,2024,2024-04-04,0,non_breeder,95
Prunella modularis,Heckenbraunelle,bw100,2025,2025-04-13,2,non_breeder,103
Prunella modularis,Heckenbraunelle,bw100,2025,2025-05-18,0,non_breeder,138
Prunella modularis,Heckenbraunelle,bw100,2025,2025-06-19,0,non_breeder,170
Prunella modularis,Heckenbraunelle,bw100,2025,2025-03-16,1,non_breeder,75
Prunella modularis,Heckenbraunelle,bw102,2024,2024-04-27,1,non_breeder,118
Prunella modularis,Heckenbraunelle,bw102,2024,2024-03-25,2,non_breeder,85
Prunella modularis,Heckenbraunelle,bw102,2024,2024-05-18,0,non_breeder,139
Prunella modularis,Heckenbraunelle,bw102,2024,2024-06-17,0,non_breeder,169
Prunella modularis,Heckenbraunelle,bw102,2025,2025-03-25,0,non_breeder,84
Prunella modularis,Heckenbraunelle,bw102,2025,2025-04-10,2,non_breeder,100
Prunella modularis,Heckenbraunelle,bw102,2025,2025-06-09,0,non_breeder,160
Prunella modularis,Heckenbraunelle,bw102,2025,2025-05-12,0,non_breeder,132
Prunella modularis,Heckenbraunelle,bw103,2024,2024-05-20,1,non_breeder,141
Prunella modularis,Heckenbraunelle,bw103,2024,2024-06-03,2,non_breeder,155
Prunella modularis,Heckenbraunelle,bw103,2024,2024-03-25,1,non_breeder,85
Prunella modularis,Heckenbraunelle,bw103,2024,2024-04-22,0,non_breeder,113
Prunella modularis,Heckenbraunelle,bw103,2025,2025-06-11,0,non_breeder,162
Prunella modularis,Heckenbraunelle,bw103,2025,2025-03-28,3,non_breeder,87
Prunella modularis,Heckenbraunelle,bw103,2025,2025-04-23,1,non_breeder,113
Prunella modularis,Heckenbraunelle,bw103,2025,2025-05-17,0,non_breeder,137
Prunella modularis,Heckenbraunelle,bw103,2025,2025-05-19,0,non_breeder,139
Prunella modularis,Heckenbraunelle,bw104,2022,2022-05-30,1,non_breeder,150
Prunella modularis,Heckenbraunelle,bw104,2022,2022-05-11,1,non_breeder,131
Prunella modularis,Heckenbraunelle,bw104,2022,2022-03-21,1,non_breeder,80
Prunella modularis,Heckenbraunelle,bw104,2022,2022-04-13,1,non_breeder,103
Prunella modularis,Heckenbraunelle,bw104,2023,2023-06-09,1,non_breeder,160
Prunella modularis,Heckenbraunelle,bw104,2023,2023-04-27,1,non_breeder,117
Prunella modularis,Heckenbraunelle,bw104,2023,2023-05-18,1,non_breeder,138
