NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Rallus aquaticus,Wasserralle,bw315,2021,2021-04-25,0,breeder,115
Rallus aquaticus,Wasserralle,bw315,2021,2021-05-16,0,breeder,136
Rallus aquaticus,Wasserralle,bw315,2021,2021-06-13,1,breeder,164
Rallus aquaticus,Wasserralle,bw315,2021,2021-03-28,1,breeder,87
Rallus aquaticus,Wasserralle,bw315,2024,2024-05-12,0,breeder,133
Rallus aquaticus,Wasserralle,bw315,2024,2024-06-09,1,breeder,161
Rallus aquaticus,Wasserralle,bw315,2024,2024-03-17,1,breeder,77
Rallus aquaticus,Wasserralle,bw315,2024,2024-04-14,0,breeder,105
Rallus aquaticus,Wasserralle,bw315,2025,2025-05-11,0,breeder,131
Rallus aquaticus,Wasserralle,bw315,2025,2025-06-15,1,breeder,166
Rallus aquaticus,Wasserralle,bw315,2025,2025-03-23,1,breeder,82
Rallus aquaticus,Wasserralle,bw315,2025,2025-04-13,0,breeder,103
Rallus aquaticus,Wasserralle,bw384,2024,2024-05-20,2,breeder,141
Rallus aquaticus,Wasserralle,bw384,2024,2024-06-16,10,breeder,168
Rallus aquaticus,Wasserralle,bw384,2024,2024-04-29,2,breeder,120
Rallus aquaticus,Wasserralle,bw384,2025,2025-05-29,13,breeder,149
Rallus aquaticus,Wasserralle,bw384,2025,2025-05-10,7,breeder,130
Rallus aquaticus,Wasserralle,bw384,2025,2025-03-23,13,breeder,82
Rallus aquaticus,Wasserralle,bw384,2025,2025-04-08,10,breeder,98
