NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Regulus regulus,Wintergoldhähnchen,bw10,2024,2024-06-08,0,non_breeder,160
Regulus regulus,Wintergoldhähnchen,bw10,2024,2024-03-11,0,non_breeder,71
Regulus regulus,Wintergoldhähnchen,bw10,2024,2024-04-05,1,non_breeder,96
Regulus regulus,Wintergoldhähnchen,bw10,2024,2024-05-04,1,non_breeder,125
Regulus regulus,Wintergoldhähnchen,bw10,2024,2024-04-04,0,non_breeder,95
Regulus regulus,Wintergoldhähnchen,bw106,2021,2021-05-19,0,non_breeder,139
Regulus regulus,Wintergoldhähnchen,bw106,2021,2021-06-14,1,non_breeder,165
Regulus regulus,Wintergoldhähnchen,bw106,2021,2021-03-28,0,non_breeder,87
Regulus regulus,Wintergoldhähnchen,bw106,2021,2021-04-26,0,non_breeder,116
Regulus regulus,Wintergoldhähnchen,bw106,2024,2024-03-21,3,non_breeder,81
Regulus regulus,Wintergoldhähnchen,bw106,2024,2024-04-07,0,non_breeder,98
Regulus regulus,Wintergoldhähnchen,bw106,2024,2024-05-19,0,non_breeder,140
Regulus regulus,Wintergoldhähnchen,bw106,2024,2024-06-20,0,non_breeder,172
Regulus regulus,Wintergoldhähnchen,bw111,2022,2022-03-20,1,non_breeder,79
Regulus regulus,Wintergoldhähnchen,bw111,2022,2022-04-15,0,non_breeder,105
Regulus regulus,Wintergoldhähnchen,bw111,2022,2022-05-08,0,non_breeder,128
Regulus regulus,Wintergoldhähnchen,bw111,2022,2022-06-08,0,non_breeder,159
Regulus regulus,Wintergoldhähnchen,bw115,2021,2021-03-21,2,non_breeder,80
Regulus regulus,Wintergoldhähnchen,bw115,2021,2021-04-18,0,non_breeder,108
Regulus regulus,Wintergoldhähnchen,bw115,2021,2021-05-09,0,non_breeder,129
Regulus regulus,Wintergoldhähnchen,bw115,2021,2021-05-30,0,non_breeder,150
Regulus regulus,Wintergoldhähnchen,bw115,2022,2022-03-13,1,non_breeder,72
Regulus regulus,Wintergoldhähnchen,bw115,2022,2022-04-10,0,non_breeder,100
Regulus regulus,Wintergoldhähnchen,bw115,2022,2022-06-06,0,non_breeder,157
Regulus regulus,Wintergoldhähnchen,bw115,2022,2022-05-01,0,non_breeder,121
Regulus regulus,Wintergoldhähnchen,bw115,2023,2023-03-11,1,non_breeder,70
Regulus regulus,Wintergoldhähnchen,bw115,2023,2023-04-15,0,non_breeder,105
Regulus regulus,Wintergoldhähnchen,bw115,2023,2023-05-01,0,non_breeder,121
Regulus regulus,Wintergoldhähnchen,bw115,2023,2023-06-11,0,non_breeder,162
Regulus regulus,Wintergoldhähnchen,bw115,2024,2024-03-10,0,non_breeder,70
Regulus regulus,Wintergoldhähnchen,bw115,2024,2024-05-26,1,non_breeder,147
Regulus regulus,Wintergoldhähnchen,bw115,2024,2024-04-07,0,non_breeder,98
Regulus regulus,Wintergoldhähnchen,bw115,2024,2024-05-01,1,non_breeder,122
Regulus regulus,Wintergoldhähnchen,bw115,2025,2025-03-16,1,non_breeder,75
Regulus regulus,Wintergoldhähnchen,bw115,2025,2025-04-13,0,non_breeder,103
Regulus regulus,Wintergoldhähnchen,bw115,2025,2025-06-01,0,non_breeder,152
Regulus regulus,Wintergoldhähnchen,bw115,2025,2025-05-01,0,non_breeder,121
Regulus regulus,Wintergoldhähnchen,bw116,2023,2023-03-17,2,non_breeder,76
Regulus regulus,Wintergoldhähnchen,bw116,2023,2023-05-06,0,non_breeder,126
Regulus regulus,Wintergoldhähnchen,bw116,2023,2023-05-27,0,non_breeder,147
Regulus regulus,Wintergoldhähnchen,bw116,2023,2023-04-18,0,non_breeder,108
Regulus regulus,Wintergoldhähnchen,bw120,2023,2023-03-25,0,non_breeder,84
Regulus regulus,Wintergoldhähnchen,bw120,2023,2023-04-23,2,non_breeder,113
Regulus regulus,Wintergoldhähnchen,bw120,2023,2023-05-14,1,non_breeder,134
Regulus regulus,Wintergoldhähnchen,bw120,2023,2023-06-03,0,non_breeder,154
Regulus regulus,Wintergoldhähnchen,bw120,2024,2024-03-17,0,non_breeder,77
Regulus regulus,Wintergoldhähnchen,bw120,2024,2024-04-27,2,non_breeder,118
Regulus regulus,Wintergoldhähnchen,bw120,2024,2024-05-12,0,non_breeder,133
Regulus regulus,Wintergoldhähnchen,bw120,2024,2024-06-08,0,non_breeder,160
Regulus regulus,Wintergoldhähnchen,bw120,2025,2025-03-16,0,non_breeder,75
Regulus regulus,Wintergoldhähnchen,bw120,2025,2025-04-12,0,non_breeder,102
Regulus regulus,Wintergoldhähnchen,bw120,2025,2025-05-11,0,non_breeder,131
Regulus regulus,Wintergoldhähnchen,bw120,2025,2025-06-01,1,non_breeder,152
Regulus regulus,Wintergoldhähnchen,bw121,2022,2022-05-17,6,non_breeder,137
Regulus regulus,Wintergoldhähnchen,bw121,2022,2022-03-29,3,non_breeder,88
Regulus regulus,Wintergoldhähnchen,bw121,2022,2022-04-26,8,non_breeder,116
Regulus regulus,Wintergoldhähnchen,bw121,2022,2022-06-12,4,non_breeder,163
Regulus regulus,Wintergoldhähnchen,bw121,2023,2023-04-23,8,non_breeder,113
Regulus regulus,Wintergoldhähnchen,bw121,2023,2023-05-18,8,non_breeder,138
Regulus regulus,Wintergoldhähnchen,bw121,2023,2023-03-19,7,non_breeder,78
Regulus regulus,Wintergoldhähnchen,bw121,2023,2023-06-12,5,non_breeder,163
Regulus regulus,Wintergoldhähnchen,bw121,2024,2024-06-12,5,non_breeder,164
