NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Sitta europaea,Kleiber,bw10,2022,2022-06-09,2,breeder,160
Sitta europaea,Kleiber,bw10,2022,2022-05-14,2,breeder,134
Sitta europaea,Kleiber,bw10,2022,2022-03-20,3,breeder,79
Sitta europaea,Kleiber,bw10,2022,2022-04-22,4,breeder,112
Sitta europaea,Kleiber,bw10,2023,2023-04-30,2,breeder,120
Sitta europaea,Kleiber,bw10,2023,2023-05-14,0,breeder,134
Sitta europaea,Kleiber,bw10,2023,2023-05-27,4,breeder,147
Sitta europaea,Kleiber,bw10,2023,2023-03-18,2,breeder,77
Sitta europaea,Kleiber,bw10,2024,2024-06-08,2,breeder,160
Sitta europaea,Kleiber,bw10,2024,2024-03-11,1,breeder,71
Sitta europaea,Kleiber,bw10,2024,2024-04-05,2,breeder,96
Sitta europaea,Kleiber,bw10,2024,2024-05-04,2,breeder,125
Sitta europaea,Kleiber,bw10,2024,2024-04-04,0,breeder,95
Sitta europaea,Kleiber,bw10,2025,2025-04-16,2,breeder,106
Sitta europaea,Kleiber,bw10,2025,2025-05-31,0,breeder,151
Sitta europaea,Kleiber,bw10,2025,2025-03-23,2,breeder,82
Sitta europaea,Kleiber,bw10,2025,2025-05-11,1,breeder,131
Sitta europaea,Kleiber,bw106,2020,2020-04-19,3,breeder,110
Sitta europaea,Kleiber,bw106,2020,2020-05-17,2,breeder,138
Sitta europaea,Kleiber,bw106,2020,2020-03-27,10,breeder,87
Sitta europaea,Kleiber,bw106,2020,2020-06-19,6,breeder,171
Sitta europaea,Kleiber,bw106,2021,2021-05-19,2,breeder,139
Sitta europaea,Kleiber,bw106,2021,2021-06-14,7,breeder,165
Sitta europaea,Kleiber,bw106,2021,2021-03-28,7,breeder,87
Sitta europaea,Kleiber,bw106,2021,2021-04-26,0,breeder,116
Sitta europaea,Kleiber,bw106,2022,2022-05-30,10,breeder,150
Sitta europaea,Kleiber,bw106,2022,2022-04-29,1,breeder,119
Sitta europaea,Kleiber,bw106,2022,2022-05-07,4,breeder,127
Sitta europaea,Kleiber,bw106,2022,2022-03-19,9,breeder,78
Sitta europaea,Kleiber,bw106,2023,2023-03-22,3,breeder,81
Sitta europaea,Kleiber,bw106,2023,2023-05-15,0,breeder,135
Sitta europaea,Kleiber,bw106,2023,2023-06-08,8,breeder,159
Sitta europaea,Kleiber,bw106,2023,2023-04-21,4,breeder,111
Sitta europaea,Kleiber,bw106,2024,2024-03-21,2,breeder,81
Sitta europaea,Kleiber,bw106,2024,2024-04-07,5,breeder,98
Sitta europaea,Kleiber,bw106,2024,2024-05-19,2,breeder,140
Sitta europaea,Kleiber,bw106,2024,2024-06-20,1,breeder,172
Sitta europaea,Kleiber,bw106,2025,2025-03-22,2,breeder,81
Sitta europaea,Kleiber,bw106,2025,2025-04-30,0,breeder,120
Sitta europaea,Kleiber,bw106,2025,2025-05-19,1,breeder,139
Sitta europaea,Kleiber,bw106,2025,2025-06-14,3,breeder,165
Sitta europaea,Kleiber,bw107,2022,2022-04-18,6,breeder,108
Sitta europaea,Kleiber,bw107,2022,2022-03-20,3,breeder,79
Sitta europaea,Kleiber,bw107,2022,2022-06-06,1,breeder,157
Sitta europaea,Kleiber,bw107,2022,2022-05-15,4,breeder,135
Sitta europaea,Kleiber,bw107,2023,2023-05-07,4,breeder,127
Sitta europaea,Kleiber,bw107,2023,2023-03-19,12,breeder,78
Sitta europaea,Kleiber,bw107,2023,2023-04-10,13,breeder,100
Sitta europaea,Kleiber,bw107,2023,2023-05-28,19,breeder,148
Sitta europaea,Kleiber,bw107,2024,2024-05-12,21,breeder,133
Sitta europaea,Kleiber,bw107,2024,2024-06-09,12,breeder,161
Sitta europaea,Kleiber,bw107,2024,2024-03-30,17,breeder,90
Sitta europaea,Kleiber,bw107,2024,2024-05-01,8,breeder,122
Sitta europaea,Kleiber,bw107,2025,2025-03-16,17,breeder,75
Sitta europaea,Kleiber,bw107,2025,2025-04-06,19,breeder,96
Sitta europaea,Kleiber,bw107,2025,2025-06-01,24,breeder,152
Sitta europaea,Kleiber,bw107,2025,2025-05-01,3,breeder,121
Sitta europaea,Kleiber,bw115,2021,2021-03-21,9,breeder,80
Sitta europaea,Kleiber,bw115,2021,2021-04-18,17,breeder,108
Sitta europaea,Kleiber,bw115,2021,2021-05-09,5,breeder,129
Sitta europaea,Kleiber,bw115,2021,2021-05-30,13,breeder,150
Sitta europaea,Kleiber,bw115,2022,2022-03-13,11,breeder,72
Sitta europaea,Kleiber,bw115,2022,2022-04-10,14,breeder,100
Sitta europaea,Kleiber,bw115,2022,2022-06-06,19,breeder,157
Sitta europaea,Kleiber,bw115,2022,2022-05-01,5,breeder,121
Sitta europaea,Kleiber,bw115,2023,2023-03-11,13,breeder,70
Sitta europaea,Kleiber,bw115,2023,2023-04-15,12,breeder,105
Sitta europaea,Kleiber,bw115,2023,2023-05-01,2,breeder,121
Sitta europaea,Kleiber,bw115,2023,2023-06-11,23,breeder,162
Sitta europaea,Kleiber,bw115,2024,2024-03-10,9,breeder,70
Sitta europaea,Kleiber,bw115,2024,2024-05-26,15,breeder,147
Sitta europaea,Kleiber,bw115,2024,2024-04-07,9,breeder,98
Sitta europaea,Kleiber,bw115,2024,2024-05-01,1,breeder,122
Sitta europaea,Kleiber,bw115,2025,2025-03-16,13,breeder,75
Sitta europaea,Kleiber,bw115,2025,2025-04-13,10,breeder,103
Sitta europaea,Kleiber,bw115,2025,2025-06-01,15,breeder,152
Sitta europaea,Kleiber,bw115,2025,2025-05-01,1,breeder,121
Sitta europaea,Kleiber,bw116,2022,2022-04-10,3,breeder,100
Sitta europaea,Kleiber,bw116,2022,2022-05-10,0,breeder,130
Sitta europaea,Kleiber,bw116,2022,2022-03-13,8,breeder,72
Sitta europaea,Kleiber,bw116,2022,2022-06-03,0,breeder,154
Sitta europaea,Kleiber,bw116,2023,2023-03-17,3,breeder,76
Sitta europaea,Kleiber,bw116,2023,2023-05-06,0,breeder,126
Sitta europaea,Kleiber,bw116,2023,2023-05-27,0,breeder,147
Sitta europaea,Kleiber,bw116,2023,2023-04-18,0,breeder,108
Sitta europaea,Kleiber,bw116,2024,2024-04-23,0,breeder,114
Sitta europaea,Kleiber,bw116,2024,2024-06-07,0,breeder,159
Sitta europaea,Kleiber,bw116,2024,2024-05-11,0,breeder,132
