NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Troglodytes troglodytes,Zaunkönig,bw100,2025,2025-04-13,5,non_breeder,103
Troglodytes troglodytes,Zaunkönig,bw100,2025,2025-05-18,6,non_breeder,138
Troglodytes troglodytes,Zaunkönig,bw100,2025,2025-06-19,4,non_breeder,170
Troglodytes troglodytes,Zaunkönig,bw100,2025,2025-03-16,0,non_breeder,75
Troglodytes troglodytes,Zaunkönig,bw101,2022,2022-03-27,2,non_breeder,86
Troglodytes troglodytes,Zaunkönig,bw101,2022,2022-04-17,0,non_breeder,107
Troglodytes troglodytes,Zaunkönig,bw101,2022,2022-05-20,2,non_breeder,140
Troglodytes troglodytes,Zaunkönig,bw101,2022,2022-06-20,0,non_breeder,171
Troglodytes troglodytes,Zaunkönig,bw101,2023,2023-03-31,1,non_breeder,90
Troglodytes troglodytes,Zaunkönig,bw101,2023,2023-04-30,0,non_breeder,120
Troglodytes troglodytes,Zaunkönig,bw101,2023,2023-05-14,0,non_breeder,134
Troglodytes troglodytes,Zaunkönig,bw101,2023,2023-06-06,0,non_breeder,157
Troglodytes troglodytes,Zaunkönig,bw102,2024,2024-04-27,5,non_breeder,118
Troglodytes troglodytes,Zaunkönig,bw102,2024,2024-03-25,4,non_breeder,85
Troglodytes troglodytes,Zaunkönig,bw102,2024,2024-05-18,0,non_breeder,139
Troglodytes troglodytes,Zaunkönig,bw102,2024,2024-06-17,3,non_breeder,169
Troglodytes troglodytes,Zaunkönig,bw102,2025,2025-03-25,1,non_breeder,84
Troglodytes troglodytes,Zaunkönig,bw102,2025,2025-04-10,4,non_breeder,100
Troglodytes troglodytes,Zaunkönig,bw102,2025,2025-06-09,3,non_breeder,160
Troglodytes troglodytes,Zaunkönig,bw102,2025,2025-05-12,2,non_breeder,132
Troglodytes troglodytes,Zaunkönig,bw103,2022,2022-03-27,4,non_breeder,86
Troglodytes troglodytes,Zaunkönig,bw103,2022,2022-04-22,0,non_breeder,112
Troglodytes troglodytes,Zaunkönig,bw103,2022,2022-05-13,0,non_breeder,133
Troglodytes troglodytes,Zaunkönig,bw103,2022,2022-06-19,0,non_breeder,170
Troglodytes troglodytes,Zaunkönig,bw103,2023,2023-04-23,0,non_breeder,113
Troglodytes troglodytes,Zaunkönig,bw103,2023,2023-05-18,0,non_breeder,138
Troglodytes troglodytes,Zaunkönig,bw103,2023,2023-06-09,0,non_breeder,160
Troglodytes troglodytes,Zaunkönig,bw103,2023,2023-03-27,1,non_breeder,86
Troglodytes troglodytes,Zaunkönig,bw103,2024,2024-05-20,0,non_breeder,141
Troglodytes troglodytes,Zaunkönig,bw103,2024,2024-06-03,1,non_breeder,155
Troglodytes troglodytes,Zaunkönig,bw103,2024,2024-03-25,1,non_breeder,85
Troglodytes troglodytes,Zaunkönig,bw103,2024,2024-04-22,1,non_breeder,113
Troglodytes troglodytes,Zaunkönig,bw103,2025,2025-06-11,0,non_breeder,162
Troglodytes troglodytes,Zaunkönig,bw103,2025,2025-03-28,2,non_breeder,87
Troglodytes troglodytes,Zaunkönig,bw103,2025,2025-04-23,2,non_breeder,113
Troglodytes troglodytes,Zaunkönig,bw103,2025,2025-05-17,1,non_breeder,137
Troglodytes troglodytes,Zaunkönig,bw103,2025,2025-05-19,0,non_breeder,139
Troglodytes troglodytes,Zaunkönig,bw104,2022,2022-05-30,1,non_breeder,150
Troglodytes troglodytes,Zaunkönig,bw104,2022,2022-05-11,0,non_breeder,131
Troglodytes troglodytes,Zaunkönig,bw104,2022,2022-03-21,1,non_breeder,80
Troglodytes troglodytes,Zaunkönig,bw104,2022,2022-04-13,1,non_breeder,103
Troglodytes troglodytes,Zaunkönig,bw104,2023,2023-06-09,0,non_breeder,160
Troglodytes troglodytes,Zaunkönig,bw104,2023,2023-04-27,0,non_breeder,117
Troglodytes troglodytes,Zaunkönig,bw104,2023,2023-05-18,0,non_breeder,138
Troglodytes troglodytes,Zaunkönig,bw104,2023,2023-03-21,1,non_breeder,80
Troglodytes troglodytes,Zaunkönig,bw104,2023,2023-06-08,0,non_breeder,159
Troglodytes troglodytes,Zaunkönig,bw104,2024,2024-06-12,1,non_breeder,164
Troglodytes troglodytes,Zaunkönig,bw104,2024,2024-05-14,0,non_breeder,135
Troglodytes troglodytes,Zaunkönig,bw104,2024,2024-03-19,1,non_breeder,79
Troglodytes troglodytes,Zaunkönig,bw104,2024,2024-04-13,2,non_breeder,104
Troglodytes troglodytes,Zaunkönig,bw104,2025,2025-05-13,1,non_breeder,133
Troglodytes troglodytes,Zaunkönig,bw104,2025,2025-06-17,1,non_breeder,168
Troglodytes troglodytes,Zaunkönig,bw104,2025,2025-04-11,0,non_breeder,101
Troglodytes troglodytes,Zaunkönig,bw104,2025,2025-03-21,1,non_breeder,80
Troglodytes troglodytes,Zaunkönig,bw104,2025,2025-04-10,0,non_breeder,100
Troglodytes troglodytes,Zaunkönig,bw104,2025,2025-05-12,0,non_breeder,132
Troglodytes troglodytes,Zaunkönig,bw105,2024,2024-04-13,2,non_breeder,104
Troglodytes troglodytes,Zaunkönig,bw105,2024,2024-03-27,2,non_breeder,87
Troglodytes troglodytes,Zaunkönig,bw105,2024,2024-05-12,7,non_breeder,133
Troglodytes troglodytes,Zaunkönig,bw105,2024,2024-06-12,2,non_breeder,164
Troglodytes troglodytes,Zaunkönig,bw105,2025,2025-03-27,1,non_breeder,86
Troglodytes troglodytes,Zaunkönig,bw105,2025,2025-04-29,0,non_breeder,119
Troglodytes troglodytes,Zaunkönig,bw105,2025,2025-06-17,1,non_breeder,168
Troglodytes troglodytes,Zaunkönig,bw105,2025,2025-05-14,1,non_breeder,134
Troglodytes troglodytes,Zaunkönig,bw109,2024,2024-03-27,0,non_breeder,87
Troglodytes troglodytes,Zaunkönig,bw109,2024,2024-04-26,0,non_breeder,117
Troglodytes troglodytes,Zaunkönig,bw109,2024,2024-05-20,1,non_breeder,141
Troglodytes troglodytes,Zaunkönig,bw109,2024,2024-06-14,2,non_breeder,166
Troglodytes troglodytes,Zaunkönig,bw109,2024,2024-03-28,0,non_breeder,88
Troglodytes troglodytes,Zaunkönig,bw110,2024,2024-03-31,1,non_breeder,91
Troglodytes troglodytes,Zaunkönig,bw110,2024,2024-05-15,0,non_breeder,136
Troglodytes troglodytes,Zaunkönig,bw110,2024,2024-04-27,0,non_breeder,118
Troglodytes troglodytes,Zaunkönig,bw110,2024,2024-06-26,0,non_breeder,178
Troglodytes troglodytes,Zaunkönig,bw114,2022,2022-06-18,0,non_breeder,169
Troglodytes troglodytes,Zaunkönig,bw114,2022,2022-04-12,2,non_breeder,102
Troglodytes troglodytes,Zaunkönig,bw114,2022,2022-03-24,1,non_breeder,83
Troglodytes troglodytes,Zaunkönig,bw114,2022,2022-05-18,4,non_breeder,138
Troglodytes troglodytes,Zaunkönig,bw114,2023,2023-04-26,1,non_breeder,116
Troglodytes troglodytes,Zaunkönig,bw114,2023,2023-05-19,0,non_breeder,139
Troglodytes troglodytes,Zaunkönig,bw114,2023,2023-06-20,1,non_breeder,171
Troglodytes troglodytes,Zaunkönig,bw114,2023,2023-03-28,1,non_breeder,87
Troglodytes troglodytes,Zaunkönig,bw114,2024,2024-03-28,2,non_breeder,88
Troglodytes troglodytes,Zaunkönig,bw114,2024,2024-04-28,0,non_breeder,119
Troglodytes troglodytes,Zaunkönig,bw114,2024,2024-05-18,2,non_breeder,139
Troglodytes troglodytes,Zaunkönig,bw114,2024,2024-06-14,0,non_breeder,166
