NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Turdus philomelos,Singdrossel,bw10,2022,2022-06-09,0,non_breeder,160
Turdus philomelos,Singdrossel,bw10,2022,2022-05-14,2,non_breeder,134
Turdus philomelos,Singdrossel,bw10,2022,2022-03-20,16,non_breeder,79
Turdus philomelos,Singdrossel,bw10,2022,2022-04-22,7,non_breeder,112
Turdus philomelos,Singdrossel,bw10,2023,2023-04-30,0,non_breeder,120
Turdus philomelos,Singdrossel,bw10,2023,2023-05-14,1,non_breeder,134
Turdus philomelos,Singdrossel,bw10,2023,2023-05-27,1,non_breeder,147
Turdus philomelos,Singdrossel,bw10,2023,2023-03-18,6,non_breeder,77
Turdus philomelos,Singdrossel,bw10,2024,2024-06-08,0,non_breeder,160
Turdus philomelos,Singdrossel,bw10,2024,2024-03-11,7,non_breeder,71
Turdus philomelos,Singdrossel,bw10,2024,2024-04-05,1,non_breeder,96
Turdus philomelos,Singdrossel,bw10,2024,2024-05-04,2,non_breeder,125
Turdus philomelos,Singdrossel,bw10,2024,2024-04-04,0,non_breeder,95
Turdus philomelos,Singdrossel,bw10,2025,2025-04-16,3,non_breeder,106
Turdus philomelos,Singdrossel,bw10,2025,2025-05-31,1,non_breeder,151
Turdus philomelos,Singdrossel,bw10,2025,2025-03-23,4,non_breeder,82
Turdus philomelos,Singdrossel,bw10,2025,2025-05-11,0,non_breeder,131
Turdus philomelos,Singdrossel,bw101,2022,2022-03-27,2,non_breeder,86
Turdus philomelos,Singdrossel,bw101,2022,2022-04-17,0,non_breeder,107
Turdus philomelos,Singdrossel,bw101,2022,2022-05-20,0,non_breeder,140
Turdus philomelos,Singdrossel,bw101,2022,2022-06-20,0,non_breeder,171
Turdus philomelos,Singdrossel,bw101,2023,2023-03-31,1,non_breeder,90
Turdus philomelos,Singdrossel,bw101,2023,2023-04-30,0,non_breeder,120
Turdus philomelos,Singdrossel,bw101,2023,2023-05-14,0,non_breeder,134
Turdus philomelos,Singdrossel,bw101,2023,2023-06-06,0,non_breeder,157
Turdus philomelos,Singdrossel,bw102,2024,2024-04-27,1,non_breeder,118
Turdus philomelos,Singdrossel,bw102,2024,2024-03-25,0,non_breeder,85
Turdus philomelos,Singdrossel,bw102,2024,2024-05-18,0,non_breeder,139
Turdus philomelos,Singdrossel,bw102,2024,2024-06-17,0,non_breeder,169
Turdus philomelos,Singdrossel,bw102,2025,2025-03-25,1,non_breeder,84
Turdus philomelos,Singdrossel,bw102,2025,2025-04-10,0,non_breeder,100
Turdus philomelos,Singdrossel,bw102,2025,2025-06-09,2,non_breeder,160
Turdus philomelos,Singdrossel,bw102,2025,2025-05-12,1,non_breeder,132
Turdus philomelos,Singdrossel,bw103,2022,2022-03-27,4,non_breeder,86
Turdus philomelos,Singdrossel,bw103,2022,2022-04-22,0,non_breeder,112
Turdus philomelos,Singdrossel,bw103,2022,2022-05-13,0,non_breeder,133
Turdus philomelos,Singdrossel,bw103,2022,2022-06-19,0,non_breeder,170
Turdus philomelos,Singdrossel,bw104,2022,2022-05-30,1,non_breeder,150
Turdus philomelos,Singdrossel,bw104,2022,2022-05-11,1,non_breeder,131
Turdus philomelos,Singdrossel,bw104,2022,2022-03-21,2,non_breeder,80
