NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2022,2022-06-09,0,non_breeder,160
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2022,2022-05-14,1,non_breeder,134
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2022,2022-03-20,0,non_breeder,79
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2022,2022-04-22,0,non_breeder,112
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2023,2023-04-30,0,non_breeder,120
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2023,2023-05-14,1,non_breeder,134
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2023,2023-05-27,1,non_breeder,147
Acrocephalus scirpaceus,Teichrohrsänger,bw10,2023,2023-03-18,0,non_breeder,77
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2022,2022-05-30,4,non_breeder,150
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2022,2022-05-11,2,non_breeder,131
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2022,2022-03-21,0,non_breeder,80
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2022,2022-04-13,0,non_breeder,103
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2023,2023-06-09,3,non_breeder,160
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2023,2023-04-27,1,non_breeder,117
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2023,2023-05-18,3,non_breeder,138
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2023,2023-03-21,0,non_breeder,80
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2023,2023-06-08,0,non_breeder,159
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2024,2024-06-12,5,non_breeder,164
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2024,2024-05-14,3,non_breeder,135
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2024,2024-03-19,0,non_breeder,79
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2024,2024-04-13,0,non_breeder,104
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2025,2025-05-13,1,non_breeder,133
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2025,2025-06-17,2,non_breeder,168
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2025,2025-04-11,0,non_breeder,101
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2025,2025-03-21,0,non_breeder,80
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2025,2025-04-10,0,non_breeder,100
Acrocephalus scirpaceus,Teichrohrsänger,bw104,2025,2025-05-12,0,non_breeder,132
Acrocephalus scirpaceus,Teichrohrsänger,bw108,2023,2023-05-05,1,non_breeder,125
Acrocephalus scirpaceus,Teichrohrsänger,bw108,2023,2023-06-02,0,non_breeder,153
Acrocephalus scirpaceus,Teichrohrsänger,bw108,2023,2023-03-22,0,non_breeder,81
Acrocephalus scirpaceus,Teichrohrsänger,bw108,2023,2023-04-22,0,non_breeder,112
Acrocephalus scirpaceus,Teichrohrsänger,bw13,2024,2024-04-15,0,non_breeder,106
Acrocephalus scirpaceus,Teichrohrsänger,bw13,2024,2024-06-05,1,non_breeder,157
Acrocephalus scirpaceus,Teichrohrsänger,bw13,2024,2024-03-30,0,non_breeder,90
Acrocephalus scirpaceus,Teichrohrsänger,bw13,2024,2024-05-06,0,non_breeder,127
Acrocephalus scirpaceus,Teichrohrsänger,bw132,2025,2025-05-19,4,non_breeder,139
Acrocephalus scirpaceus,Teichrohrsänger,bw132,2025,2025-06-11,1,non_breeder,162
Acrocephalus scirpaceus,Teichrohrsänger,bw132,2025,2025-03-22,0,non_breeder,81
Acrocephalus scirpaceus,Teichrohrsänger,bw132,2025,2025-04-19,0,non_breeder,109
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2023,2023-05-20,2,non_breeder,140
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2023,2023-06-11,2,non_breeder,162
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2023,2023-03-29,0,non_breeder,88
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2023,2023-04-22,0,non_breeder,112
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2024,2024-06-16,1,non_breeder,168
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2024,2024-04-29,0,non_breeder,120
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2024,2024-05-20,0,non_breeder,141
Acrocephalus scirpaceus,Teichrohrsänger,bw141,2024,2024-03-28,0,non_breeder,88
Acrocephalus scirpaceus,Teichrohrsänger,bw148,2025,2025-05-17,1,non_breeder,137
Acrocephalus scirpaceus,Teichrohrsänger,bw148,2025,2025-06-09,1,non_breeder,160
Acrocephalus scirpaceus,Teichrohrsänger,bw148,2025,2025-03-29,0,non_breeder,88
Acrocephalus scirpaceus,Teichrohrsänger,bw148,2025,2025-04-26,0,non_breeder,116
Acrocephalus scirpaceus,Teichrohrsänger,bw161,2024,2024-05-26,1,non_breeder,147
Acrocephalus scirpaceus,Teichrohrsänger,bw161,2024,2024-03-17,0,non_breeder,77
Acrocephalus scirpaceus,Teichrohrsänger,bw161,2024,2024-05-09,0,non_breeder,130
Acrocephalus scirpaceus,Teichrohrsänger,bw161,2024,2024-04-07,0,non_breeder,98
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2024,2024-04-23,0,non_breeder,114
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2024,2024-05-21,8,non_breeder,142
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2024,2024-06-19,7,non_breeder,171
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2024,2024-03-19,0,non_breeder,79
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2025,2025-04-15,0,non_breeder,105
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2025,2025-06-16,7,non_breeder,167
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2025,2025-05-15,8,non_breeder,135
Acrocephalus scirpaceus,Teichrohrsänger,bw164,2025,2025-03-17,0,non_breeder,76
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2024,2024-05-07,2,non_breeder,128
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2024,2024-05-28,2,non_breeder,149
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2024,2024-03-18,0,non_breeder,78
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2024,2024-04-08,0,non_breeder,99
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2025,2025-05-27,1,non_breeder,147
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2025,2025-03-18,0,non_breeder,77
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2025,2025-05-06,0,non_breeder,126
Acrocephalus scirpaceus,Teichrohrsänger,bw165,2025,2025-04-07,0,non_breeder,97
Acrocephalus scirpaceus,Teichrohrsänger,bw169,2025,2025-06-03,2,non_breeder,154
Acrocephalus scirpaceus,Teichrohrsänger,bw169,2025,2025-05-06,1,non_breeder,126
Acrocephalus scirpaceus,Teichrohrsänger,bw169,2025,2025-03-19,0,non_breeder,78
Acrocephalus scirpaceus,Teichrohrsänger,bw169,2025,2025-04-08,0,non_breeder,98
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2024,2024-06-05,1,non_breeder,157
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2024,2024-03-21,0,non_breeder,81
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2024,2024-05-02,0,non_breeder,123
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2024,2024-04-10,0,non_breeder,101
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2025,2025-06-04,1,non_breeder,155
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2025,2025-04-02,0,non_breeder,92
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2025,2025-05-02,0,non_breeder,122
Acrocephalus scirpaceus,Teichrohrsänger,bw170,2025,2025-03-18,0,non_breeder,77
Acrocephalus scirpaceus,Teichrohrsänger,bw175,2024,2024-05-14,1,non_breeder,135
Acrocephalus scirpaceus,Teichrohrsänger,bw175,2024,2024-06-10,1,non_breeder,162
Acrocephalus scirpaceus,Teichrohrsänger,bw175,2024,2024-04-10,0,non_breeder,101
Acrocephalus scirpaceus,Teichrohrsänger,bw175,2024,2024-04-24,0,non_breeder,115
Acrocephalus scirpaceus,Teichrohrsänger,bw184,2022,2022-05-20,1,non_breeder,140
Acrocephalus scirpaceus,Teichrohrsänger,bw184,2022,2022-06-12,1,non_breeder,163
Acrocephalus scirpaceus,Teichrohrsänger,bw184,2022,2022-03-27,0,non_breeder,86
Acrocephalus scirpaceus,Teichrohrsänger,bw184,2022,2022-04-22,0,non_breeder,112
Acrocephalus scirpaceus,Teichrohrsänger,bw189,2025,2025-06-05,1,non_breeder,156
Acrocephalus scirpaceus,Teichrohrsänger,bw189,2025,2025-05-13,1,non_breeder,133
Acrocephalus scirpaceus,Teichrohrsänger,bw189,2025,2025-04-08,0,non_breeder,98
Acrocephalus scirpaceus,Teichrohrsänger,bw189,2025,2025-03-24,0,non_breeder,83
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2023,2023-05-05,1,non_breeder,125
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2023,2023-06-02,1,non_breeder,153
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2023,2023-03-20,0,non_breeder,79
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2023,2023-04-14,0,non_breeder,104
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2024,2024-06-05,1,non_breeder,157
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2024,2024-03-22,0,non_breeder,82
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2024,2024-04-08,0,non_breeder,99
Acrocephalus scirpaceus,Teichrohrsänger,bw202,2024,2024-05-08,0,non_breeder,129
Acrocephalus scirpaceus,Teichrohrsänger,bw220,2025,2025-05-25,1,non_breeder,145
Acrocephalus scirpaceus,Teichrohrsänger,bw220,2025,2025-03-23,0,non_breeder,82
Acrocephalus scirpaceus,Teichrohrsänger,bw220,2025,2025-04-27,0,non_breeder,117
Acrocephalus scirpaceus,Teichrohrsänger,bw220,2025,2025-06-15,0,non_breeder,166
Acrocephalus scirpaceus,Teichrohrsänger,bw252,2022,2022-04-30,1,non_breeder,120
Acrocephalus scirpaceus,Teichrohrsänger,bw252,2022,2022-05-21,1,non_breeder,141
Acrocephalus scirpaceus,Teichrohrsänger,bw252,2022,2022-06-20,2,non_breeder,171
Acrocephalus scirpaceus,Teichrohrsänger,bw252,2022,2022-04-05,0,non_breeder,95
Acrocephalus scirpaceus,Teichrohrsänger,bw252,2024,2024-05-12,2,non_breeder,133
Acrocephalus scirpaceus,Teichrohrsänger,bw252,2024,2024-06-18,1,non_breeder,170
