NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Delichon urbicum,Mehlschwalbe,bw10,2022,2022-06-09,29,breeder,160
Delichon urbicum,Mehlschwalbe,bw10,2022,2022-05-14,15,breeder,134
Delichon urbicum,Mehlschwalbe,bw10,2022,2022-03-20,0,breeder,79
Delichon urbicum,Mehlschwalbe,bw10,2022,2022-04-22,0,breeder,112
Delichon urbicum,Mehlschwalbe,bw10,2023,2023-04-30,13,breeder,120
Delichon urbicum,Mehlschwalbe,bw10,2023,2023-05-14,9,breeder,134
Delichon urbicum,Mehlschwalbe,bw10,2023,2023-05-27,25,breeder,147
Delichon urbicum,Mehlschwalbe,bw10,2023,2023-03-18,0,breeder,77
Delichon urbicum,Mehlschwalbe,bw10,2024,2024-06-08,40,breeder,160
Delichon urbicum,Mehlschwalbe,bw10,2024,2024-03-11,0,breeder,71
Delichon urbicum,Mehlschwalbe,bw10,2024,2024-04-05,0,breeder,96
Delichon urbicum,Mehlschwalbe,bw10,2024,2024-05-04,12,breeder,125
Delichon urbicum,Mehlschwalbe,bw10,2024,2024-04-04,0,breeder,95
Delichon urbicum,Mehlschwalbe,bw10,2025,2025-04-16,1,breeder,106
Delichon urbicum,Mehlschwalbe,bw10,2025,2025-05-31,13,breeder,151
Delichon urbicum,Mehlschwalbe,bw10,2025,2025-03-23,0,breeder,82
Delichon urbicum,Mehlschwalbe,bw10,2025,2025-05-11,15,breeder,131
Delichon urbicum,Mehlschwalbe,bw102,2024,2024-04-27,0,breeder,118
Delichon urbicum,Mehlschwalbe,bw102,2024,2024-03-25,0,breeder,85
Delichon urbicum,Mehlschwalbe,bw102,2024,2024-05-18,0,breeder,139
Delichon urbicum,Mehlschwalbe,bw102,2024,2024-06-17,10,breeder,169
Delichon urbicum,Mehlschwalbe,bw102,2025,2025-03-25,0,breeder,84
Delichon urbicum,Mehlschwalbe,bw102,2025,2025-04-10,0,breeder,100
Delichon urbicum,Mehlschwalbe,bw102,2025,2025-06-09,8,breeder,160
Delichon urbicum,Mehlschwalbe,bw102,2025,2025-05-12,9,breeder,132
Delichon urbicum,Mehlschwalbe,bw104,2022,2022-05-30,10,breeder,150
Delichon urbicum,Mehlschwalbe,bw104,2022,2022-05-11,2,breeder,131
Delichon urbicum,Mehlschwalbe,bw104,2022,2022-03-21,0,breeder,80
Delichon urbicum,Mehlschwalbe,bw104,2022,2022-04-13,0,breeder,103
Delichon urbicum,Mehlschwalbe,bw104,2023,2023-06-09,10,breeder,160
Delichon urbicum,Mehlschwalbe,bw104,2023,2023-04-27,6,breeder,117
Delichon urbicum,Mehlschwalbe,bw104,2023,2023-05-18,0,breeder,138
Delichon urbicum,Mehlschwalbe,bw104,2023,2023-03-21,0,breeder,80
Delichon urbicum,Mehlschwalbe,bw104,2023,2023-06-08,0,breeder,159
Delichon urbicum,Mehlschwalbe,bw104,2024,2024-06-12,8,breeder,164
Delichon urbicum,Mehlschwalbe,bw104,2024,2024-05-14,6,breeder,135
Delichon urbicum,Mehlschwalbe,bw104,2024,2024-03-19,0,breeder,79
Delichon urbicum,Mehlschwalbe,bw104,2024,2024-04-13,0,breeder,104
Delichon urbicum,Mehlschwalbe,bw104,2025,2025-05-13,8,breeder,133
Delichon urbicum,Mehlschwalbe,bw104,2025,2025-06-17,10,breeder,168
Delichon urbicum,Mehlschwalbe,bw104,2025,2025-04-11,1,breeder,101
Delichon urbicum,Mehlschwalbe,bw104,2025,2025-03-21,0,breeder,80
Delichon urbicum,Mehlschwalbe,bw104,2025,2025-04-10,0,breeder,100
Delichon urbicum,Mehlschwalbe,bw104,2025,2025-05-12,0,breeder,132
Delichon urbicum,Mehlschwalbe,bw109,2024,2024-03-27,0,breeder,87
Delichon urbicum,Mehlschwalbe,bw109,2024,2024-04-26,1,breeder,117
Delichon urbicum,Mehlschwalbe,bw109,2024,2024-05-20,49,breeder,141
Delichon urbicum,Mehlschwalbe,bw109,2024,2024-06-14,6,breeder,166
Delichon urbicum,Mehlschwalbe,bw109,2024,2024-03-28,0,breeder,88
Delichon urbicum,Mehlschwalbe,bw109,2025,2025-03-26,0,breeder,85
Delichon urbicum,Mehlschwalbe,bw109,2025,2025-04-11,0,breeder,101
Delichon urbicum,Mehlschwalbe,bw109,2025,2025-05-13,10,breeder,133
Delichon urbicum,Mehlschwalbe,bw109,2025,2025-06-11,11,breeder,162
Delichon urbicum,Mehlschwalbe,bw129,2025,2025-03-25,0,breeder,84
Delichon urbicum,Mehlschwalbe,bw129,2025,2025-06-12,0,breeder,163
Delichon urbicum,Mehlschwalbe,bw129,2025,2025-05-09,12,breeder,129
Delichon urbicum,Mehlschwalbe,bw129,2025,2025-04-16,0,breeder,106
Delichon urbicum,Mehlschwalbe,bw148,2025,2025-05-17,0,breeder,137
Delichon urbicum,Mehlschwalbe,bw148,2025,2025-06-09,0,breeder,160
Delichon urbicum,Mehlschwalbe,bw148,2025,2025-03-29,0,breeder,88
Delichon urbicum,Mehlschwalbe,bw148,2025,2025-04-26,1,breeder,116
Delichon urbicum,Mehlschwalbe,bw151,2022,2022-03-27,0,breeder,86
Delichon urbicum,Mehlschwalbe,bw151,2022,2022-04-16,0,breeder,106
Delichon urbicum,Mehlschwalbe,bw151,2022,2022-05-08,0,breeder,128
Delichon urbicum,Mehlschwalbe,bw151,2022,2022-05-29,1,breeder,149
Delichon urbicum,Mehlschwalbe,bw151,2023,2023-03-26,0,breeder,85
Delichon urbicum,Mehlschwalbe,bw151,2023,2023-04-30,0,breeder,120
Delichon urbicum,Mehlschwalbe,bw151,2023,2023-05-14,3,breeder,134
Delichon urbicum,Mehlschwalbe,bw151,2023,2023-05-28,9,breeder,148
Delichon urbicum,Mehlschwalbe,bw151,2024,2024-03-29,0,breeder,89
Delichon urbicum,Mehlschwalbe,bw151,2024,2024-04-28,1,breeder,119
Delichon urbicum,Mehlschwalbe,bw151,2024,2024-05-11,4,breeder,132
Delichon urbicum,Mehlschwalbe,bw151,2024,2024-06-08,10,breeder,160
Delichon urbicum,Mehlschwalbe,bw151,2025,2025-03-30,0,breeder,89
Delichon urbicum,Mehlschwalbe,bw151,2025,2025-04-19,0,breeder,109
Delichon urbicum,Mehlschwalbe,bw151,2025,2025-05-12,5,breeder,132
Delichon urbicum,Mehlschwalbe,bw151,2025,2025-05-23,6,breeder,143
Delichon urbicum,Mehlschwalbe,bw162,2025,2025-03-21,0,breeder,80
Delichon urbicum,Mehlschwalbe,bw162,2025,2025-04-10,0,breeder,100
Delichon urbicum,Mehlschwalbe,bw162,2025,2025-05-17,21,breeder,137
Delichon urbicum,Mehlschwalbe,bw162,2025,2025-06-16,18,breeder,167
Delichon urbicum,Mehlschwalbe,bw174,2022,2022-06-14,29,breeder,165
Delichon urbicum,Mehlschwalbe,bw174,2022,2022-05-15,34,breeder,135
Delichon urbicum,Mehlschwalbe,bw174,2022,2022-03-24,0,breeder,83
Delichon urbicum,Mehlschwalbe,bw174,2022,2022-04-28,0,breeder,118
Delichon urbicum,Mehlschwalbe,bw174,2023,2023-06-08,16,breeder,159
Delichon urbicum,Mehlschwalbe,bw174,2023,2023-04-09,4,breeder,99
Delichon urbicum,Mehlschwalbe,bw174,2023,2023-05-14,46,breeder,134
Delichon urbicum,Mehlschwalbe,bw174,2023,2023-03-27,0,breeder,86
Delichon urbicum,Mehlschwalbe,bw174,2024,2024-03-31,0,breeder,91
Delichon urbicum,Mehlschwalbe,bw174,2024,2024-05-19,47,breeder,140
Delichon urbicum,Mehlschwalbe,bw174,2024,2024-06-01,21,breeder,153
Delichon urbicum,Mehlschwalbe,bw174,2024,2024-04-30,0,breeder,121
Delichon urbicum,Mehlschwalbe,bw174,2025,2025-04-13,3,breeder,103
Delichon urbicum,Mehlschwalbe,bw174,2025,2025-05-17,30,breeder,137
Delichon urbicum,Mehlschwalbe,bw174,2025,2025-06-09,22,breeder,160
Delichon urbicum,Mehlschwalbe,bw184,2022,2022-05-20,20,breeder,140
Delichon urbicum,Mehlschwalbe,bw184,2022,2022-06-12,2,breeder,163
Delichon urbicum,Mehlschwalbe,bw184,2022,2022-03-27,0,breeder,86
Delichon urbicum,Mehlschwalbe,bw184,2022,2022-04-22,0,breeder,112
Delichon urbicum,Mehlschwalbe,bw184,2023,2023-06-20,27,breeder,171
Delichon urbicum,Mehlschwalbe,bw184,2023,2023-03-17,0,breeder,76
Delichon urbicum,Mehlschwalbe,bw184,2023,2023-04-09,0,breeder,99
Delichon urbicum,Mehlschwalbe,bw184,2023,2023-05-18,1,breeder,138
Delichon urbicum,Mehlschwalbe,bw184,2024,2024-05-09,1,breeder,130
Delichon urbicum,Mehlschwalbe,bw184,2024,2024-06-04,20,breeder,156
Delichon urbicum,Mehlschwalbe,bw184,2024,2024-04-14,0,breeder,105
Delichon urbicum,Mehlschwalbe,bw184,2024,2024-03-22,0,breeder,82
Delichon urbicum,Mehlschwalbe,bw184,2024,2024-04-13,0,breeder,104
Delichon urbicum,Mehlschwalbe,bw184,2025,2025-05-16,5,breeder,136
Delichon urbicum,Mehlschwalbe,bw184,2025,2025-06-17,14,breeder,168
Delichon urbicum,Mehlschwalbe,bw184,2025,2025-04-15,1,breeder,105
Delichon urbicum,Mehlschwalbe,bw184,2025,2025-03-20,0,breeder,79
Delichon urbicum,Mehlschwalbe,bw184,2025,2025-04-14,0,breeder,104
Delichon urbicum,Mehlschwalbe,bw186,2024,2024-05-14,0,breeder,135
Delichon urbicum,Mehlschwalbe,bw186,2024,2024-06-11,0,breeder,163
Delichon urbicum,Mehlschwalbe,bw186,2024,2024-03-26,0,breeder,86
Delichon urbicum,Mehlschwalbe,bw186,2024,2024-04-30,2,breeder,121
Delichon urbicum,Mehlschwalbe,bw186,2025,2025-03-25,0,breeder,84
Delichon urbicum,Mehlschwalbe,bw186,2025,2025-05-20,0,breeder,140
Delichon urbicum,Mehlschwalbe,bw186,2025,2025-06-10,1,breeder,161
Delichon urbicum,Mehlschwalbe,bw186,2025,2025-04-23,4,breeder,113
Delichon urbicum,Mehlschwalbe,bw189,2024,2024-06-04,5,breeder,156
Delichon urbicum,Mehlschwalbe,bw189,2024,2024-03-25,0,breeder,85
Delichon urbicum,Mehlschwalbe,bw189,2024,2024-04-16,0,breeder,107
Delichon urbicum,Mehlschwalbe,bw189,2024,2024-05-13,2,breeder,134
Delichon urbicum,Mehlschwalbe,bw189,2025,2025-06-05,6,breeder,156
Delichon urbicum,Mehlschwalbe,bw189,2025,2025-05-13,7,breeder,133
Delichon urbicum,Mehlschwalbe,bw189,2025,2025-04-08,0,breeder,98
Delichon urbicum,Mehlschwalbe,bw189,2025,2025-03-24,0,breeder,83
Delichon urbicum,Mehlschwalbe,bw194,2022,2022-04-18,0,breeder,108
Delichon urbicum,Mehlschwalbe,bw194,2022,2022-05-08,23,breeder,128
Delichon urbicum,Mehlschwalbe,bw194,2022,2022-06-12,44,breeder,163
Delichon urbicum,Mehlschwalbe,bw194,2022,2022-04-08,0,breeder,98
Delichon urbicum,Mehlschwalbe,bw194,2024,2024-04-24,0,breeder,115
Delichon urbicum,Mehlschwalbe,bw194,2024,2024-03-24,0,breeder,84
Delichon urbicum,Mehlschwalbe,bw194,2024,2024-05-18,14,breeder,139
Delichon urbicum,Mehlschwalbe,bw194,2024,2024-06-18,42,breeder,170
Delichon urbicum,Mehlschwalbe,bw194,2025,2025-03-23,0,breeder,82
Delichon urbicum,Mehlschwalbe,bw194,2025,2025-05-24,47,breeder,144
Delichon urbicum,Mehlschwalbe,bw194,2025,2025-04-27,20,breeder,117
Delichon urbicum,Mehlschwalbe,bw194,2025,2025-06-19,40,breeder,170
Delichon urbicum,Mehlschwalbe,bw196,2022,2022-05-28,10,breeder,148
Delichon urbicum,Mehlschwalbe,bw196,2022,2022-03-26,0,breeder,85
Delichon urbicum,Mehlschwalbe,bw196,2022,2022-04-16,4,breeder,106
Delichon urbicum,Mehlschwalbe,bw196,2022,2022-05-07,0,breeder,127
Delichon urbicum,Mehlschwalbe,bw196,2023,2023-06-03,3,breeder,154
Delichon urbicum,Mehlschwalbe,bw196,2023,2023-03-18,0,breeder,77
Delichon urbicum,Mehlschwalbe,bw196,2023,2023-04-09,0,breeder,99
Delichon urbicum,Mehlschwalbe,bw196,2023,2023-05-14,2,breeder,134
Delichon urbicum,Mehlschwalbe,bw196,2024,2024-06-17,5,breeder,169
Delichon urbicum,Mehlschwalbe,bw196,2024,2024-03-29,0,breeder,89
Delichon urbicum,Mehlschwalbe,bw196,2024,2024-04-13,0,breeder,104
Delichon urbicum,Mehlschwalbe,bw196,2024,2024-05-11,2,breeder,132
Delichon urbicum,Mehlschwalbe,bw196,2025,2025-05-10,4,breeder,130
Delichon urbicum,Mehlschwalbe,bw196,2025,2025-05-31,11,breeder,151
Delichon urbicum,Mehlschwalbe,bw196,2025,2025-03-23,0,breeder,82
Delichon urbicum,Mehlschwalbe,bw196,2025,2025-04-12,0,breeder,102
Delichon urbicum,Mehlschwalbe,bw204,2023,2023-03-18,0,breeder,77
Delichon urbicum,Mehlschwalbe,bw204,2023,2023-06-18,29,breeder,169
Delichon urbicum,Mehlschwalbe,bw204,2023,2023-05-06,16,breeder,126
Delichon urbicum,Mehlschwalbe,bw204,2023,2023-04-14,0,breeder,104
Delichon urbicum,Mehlschwalbe,bw204,2024,2024-03-10,0,breeder,70
Delichon urbicum,Mehlschwalbe,bw204,2024,2024-05-05,1,breeder,126
Delichon urbicum,Mehlschwalbe,bw204,2024,2024-04-07,1,breeder,98
Delichon urbicum,Mehlschwalbe,bw204,2024,2024-05-26,23,breeder,147
Delichon urbicum,Mehlschwalbe,bw204,2025,2025-03-16,0,breeder,75
Delichon urbicum,Mehlschwalbe,bw204,2025,2025-04-06,0,breeder,96
Delichon urbicum,Mehlschwalbe,bw204,2025,2025-05-29,20,breeder,149
Delichon urbicum,Mehlschwalbe,bw204,2025,2025-05-03,14,breeder,123
Delichon urbicum,Mehlschwalbe,bw21,2024,2024-03-30,0,breeder,90
Delichon urbicum,Mehlschwalbe,bw21,2024,2024-04-13,1,breeder,104
Delichon urbicum,Mehlschwalbe,bw21,2024,2024-05-20,0,breeder,141
Delichon urbicum,Mehlschwalbe,bw21,2024,2024-06-07,0,breeder,159
Delichon urbicum,Mehlschwalbe,bw21,2025,2025-03-27,0,breeder,86
Delichon urbicum,Mehlschwalbe,bw21,2025,2025-04-29,0,breeder,119
Delichon urbicum,Mehlschwalbe,bw21,2025,2025-05-20,1,breeder,140
Delichon urbicum,Mehlschwalbe,bw21,2025,2025-06-17,1,breeder,168
Delichon urbicum,Mehlschwalbe,bw218,2022,2022-04-17,0,breeder,107
Delichon urbicum,Mehlschwalbe,bw218,2022,2022-05-07,0,breeder,127
Delichon urbicum,Mehlschwalbe,bw218,2022,2022-03-12,0,breeder,71
Delichon urbicum,Mehlschwalbe,bw218,2022,2022-05-22,2,breeder,142
Delichon urbicum,Mehlschwalbe,bw218,2023,2023-03-22,0,breeder,81
Delichon urbicum,Mehlschwalbe,bw218,2023,2023-04-10,1,breeder,100
Delichon urbicum,Mehlschwalbe,bw218,2023,2023-05-07,1,breeder,127
Delichon urbicum,Mehlschwalbe,bw218,2023,2023-05-27,8,breeder,147
Delichon urbicum,Mehlschwalbe,bw218,2024,2024-03-17,0,breeder,77
Delichon urbicum,Mehlschwalbe,bw218,2024,2024-04-07,0,breeder,98
Delichon urbicum,Mehlschwalbe,bw218,2024,2024-05-09,0,breeder,130
Delichon urbicum,Mehlschwalbe,bw218,2024,2024-05-28,6,breeder,149
Delichon urbicum,Mehlschwalbe,bw218,2025,2025-04-19,0,breeder,109
Delichon urbicum,Mehlschwalbe,bw218,2025,2025-03-22,0,breeder,81
Delichon urbicum,Mehlschwalbe,bw218,2025,2025-05-11,1,breeder,131
Delichon urbicum,Mehlschwalbe,bw218,2025,2025-05-31,6,breeder,151
Delichon urbicum,Mehlschwalbe,bw219,2022,2022-03-27,0,breeder,86
Delichon urbicum,Mehlschwalbe,bw219,2022,2022-04-16,0,breeder,106
Delichon urbicum,Mehlschwalbe,bw219,2022,2022-05-14,0,breeder,134
Delichon urbicum,Mehlschwalbe,bw219,2022,2022-06-12,3,breeder,163
Delichon urbicum,Mehlschwalbe,bw219,2023,2023-06-03,3,breeder,154
Delichon urbicum,Mehlschwalbe,bw219,2023,2023-03-31,0,breeder,90
Delichon urbicum,Mehlschwalbe,bw219,2023,2023-04-24,0,breeder,114
Delichon urbicum,Mehlschwalbe,bw219,2023,2023-05-12,0,breeder,132
Delichon urbicum,Mehlschwalbe,bw219,2023,2023-04-23,0,breeder,113
Delichon urbicum,Mehlschwalbe,bw219,2024,2024-06-08,0,breeder,160
Delichon urbicum,Mehlschwalbe,bw219,2024,2024-03-30,0,breeder,90
Delichon urbicum,Mehlschwalbe,bw219,2024,2024-04-28,0,breeder,119
Delichon urbicum,Mehlschwalbe,bw219,2024,2024-05-13,2,breeder,134
Delichon urbicum,Mehlschwalbe,bw220,2021,2021-05-20,0,breeder,140
Delichon urbicum,Mehlschwalbe,bw220,2021,2021-06-20,8,breeder,171
