NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Ficedula hypoleuca,Trauerschnäpper,bw10,2023,2023-04-30,1,non_breeder,120
Ficedula hypoleuca,Trauerschnäpper,bw10,2023,2023-05-14,0,non_breeder,134
Ficedula hypoleuca,Trauerschnäpper,bw10,2023,2023-05-27,0,non_breeder,147
Ficedula hypoleuca,Trauerschnäpper,bw10,2023,2023-03-18,0,non_breeder,77
Ficedula hypoleuca,Trauerschnäpper,bw115,2021,2021-03-21,0,non_breeder,80
Ficedula hypoleuca,Trauerschnäpper,bw115,2021,2021-04-18,1,non_breeder,108
Ficedula hypoleuca,Trauerschnäpper,bw115,2021,2021-05-09,0,non_breeder,129
Ficedula hypoleuca,Trauerschnäpper,bw115,2021,2021-05-30,0,non_breeder,150
Ficedula hypoleuca,Trauerschnäpper,bw118,2023,2023-04-07,0,non_breeder,97
Ficedula hypoleuca,Trauerschnäpper,bw118,2023,2023-05-05,1,non_breeder,125
Ficedula hypoleuca,Trauerschnäpper,bw118,2023,2023-05-26,0,non_breeder,146
Ficedula hypoleuca,Trauerschnäpper,bw118,2023,2023-03-13,0,non_breeder,72
Ficedula hypoleuca,Trauerschnäpper,bw118,2023,2023-05-25,0,non_breeder,145
Ficedula hypoleuca,Trauerschnäpper,bw120,2023,2023-03-25,0,non_breeder,84
Ficedula hypoleuca,Trauerschnäpper,bw120,2023,2023-04-23,0,non_breeder,113
Ficedula hypoleuca,Trauerschnäpper,bw120,2023,2023-05-14,0,non_breeder,134
Ficedula hypoleuca,Trauerschnäpper,bw120,2023,2023-06-03,1,non_breeder,154
Ficedula hypoleuca,Trauerschnäpper,bw121,2024,2024-06-12,0,non_breeder,164
Ficedula hypoleuca,Trauerschnäpper,bw121,2024,2024-04-13,0,non_breeder,104
Ficedula hypoleuca,Trauerschnäpper,bw121,2024,2024-03-28,0,non_breeder,88
Ficedula hypoleuca,Trauerschnäpper,bw121,2024,2024-05-03,1,non_breeder,124
Ficedula hypoleuca,Trauerschnäpper,bw121,2024,2024-05-02,0,non_breeder,123
Ficedula hypoleuca,Trauerschnäpper,bw13,2023,2023-04-15,0,non_breeder,105
Ficedula hypoleuca,Trauerschnäpper,bw13,2023,2023-03-29,0,non_breeder,88
Ficedula hypoleuca,Trauerschnäpper,bw13,2023,2023-05-11,1,non_breeder,131
