NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Hirundo rustica,Rauchschwalbe,bw101,2022,2022-03-27,0,non_breeder,86
Hirundo rustica,Rauchschwalbe,bw101,2022,2022-04-17,7,non_breeder,107
Hirundo rustica,Rauchschwalbe,bw101,2022,2022-05-20,33,non_breeder,140
Hirundo rustica,Rauchschwalbe,bw101,2022,2022-06-20,26,non_breeder,171
Hirundo rustica,Rauchschwalbe,bw101,2023,2023-03-31,0,non_breeder,90
Hirundo rustica,Rauchschwalbe,bw101,2023,2023-04-30,11,non_breeder,120
Hirundo rustica,Rauchschwalbe,bw101,2023,2023-05-14,8,non_breeder,134
Hirundo rustica,Rauchschwalbe,bw101,2023,2023-06-06,14,non_breeder,157
Hirundo rustica,Rauchschwalbe,bw103,2022,2022-03-27,0,non_breeder,86
Hirundo rustica,Rauchschwalbe,bw103,2022,2022-04-22,3,non_breeder,112
Hirundo rustica,Rauchschwalbe,bw103,2022,2022-05-13,5,non_breeder,133
Hirundo rustica,Rauchschwalbe,bw103,2022,2022-06-19,2,non_breeder,170
Hirundo rustica,Rauchschwalbe,bw103,2023,2023-04-23,2,non_breeder,113
Hirundo rustica,Rauchschwalbe,bw103,2023,2023-05-18,0,non_breeder,138
Hirundo rustica,Rauchschwalbe,bw103,2023,2023-06-09,7,non_breeder,160
Hirundo rustica,Rauchschwalbe,bw103,2023,2023-03-27,0,non_breeder,86
Hirundo rustica,Rauchschwalbe,bw103,2024,2024-05-20,4,non_breeder,141
Hirundo rustica,Rauchschwalbe,bw103,2024,2024-06-03,0,non_breeder,155
Hirundo rustica,Rauchschwalbe,bw103,2024,2024-03-25,0,non_breeder,85
Hirundo rustica,Rauchschwalbe,bw103,2024,2024-04-22,0,non_breeder,113
Hirundo rustica,Rauchschwalbe,bw103,2025,2025-06-11,2,non_breeder,162
Hirundo rustica,Rauchschwalbe,bw103,2025,2025-03-28,0,non_breeder,87
Hirundo rustica,Rauchschwalbe,bw103,2025,2025-04-23,0,non_breeder,113
Hirundo rustica,Rauchschwalbe,bw103,2025,2025-05-17,0,non_breeder,137
Hirundo rustica,Rauchschwalbe,bw103,2025,2025-05-19,0,non_breeder,139
Hirundo rustica,Rauchschwalbe,bw104,2022,2022-05-30,6,non_breeder,150
Hirundo rustica,Rauchschwalbe,bw104,2022,2022-05-11,10,non_breeder,131
Hirundo rustica,Rauchschwalbe,bw104,2022,2022-03-21,0,non_breeder,80
Hirundo rustica,Rauchschwalbe,bw104,2022,2022-04-13,2,non_breeder,103
Hirundo rustica,Rauchschwalbe,bw104,2023,2023-06-09,8,non_breeder,160
Hirundo rustica,Rauchschwalbe,bw104,2023,2023-04-27,7,non_breeder,117
