NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Jynx torquilla,Wendehals,bw20,2023,2023-03-23,0,breeder,82
Jynx torquilla,Wendehals,bw20,2023,2023-04-19,3,breeder,109
Jynx torquilla,Wendehals,bw20,2023,2023-05-17,0,breeder,137
Jynx torquilla,Wendehals,bw20,2023,2023-06-17,0,breeder,168
Jynx torquilla,Wendehals,bw20,2024,2024-03-21,0,breeder,81
Jynx torquilla,Wendehals,bw20,2024,2024-04-14,1,breeder,105
Jynx torquilla,Wendehals,bw20,2024,2024-05-27,0,breeder,148
Jynx torquilla,Wendehals,bw20,2024,2024-06-27,0,breeder,179
Jynx torquilla,Wendehals,bw235,2021,2021-04-15,2,breeder,105
Jynx torquilla,Wendehals,bw235,2021,2021-05-13,3,breeder,133
Jynx torquilla,Wendehals,bw235,2021,2021-03-31,0,breeder,90
Jynx torquilla,Wendehals,bw235,2021,2021-05-30,0,breeder,150
Jynx torquilla,Wendehals,bw235,2022,2022-05-14,3,breeder,134
Jynx torquilla,Wendehals,bw235,2022,2022-03-25,0,breeder,84
Jynx torquilla,Wendehals,bw235,2022,2022-04-12,4,breeder,102
Jynx torquilla,Wendehals,bw235,2022,2022-06-01,3,breeder,152
Jynx torquilla,Wendehals,bw235,2023,2023-03-29,0,breeder,88
Jynx torquilla,Wendehals,bw235,2023,2023-04-26,5,breeder,116
Jynx torquilla,Wendehals,bw235,2023,2023-05-26,3,breeder,146
Jynx torquilla,Wendehals,bw235,2023,2023-06-13,0,breeder,164
Jynx torquilla,Wendehals,bw235,2024,2024-04-24,7,breeder,115
Jynx torquilla,Wendehals,bw235,2024,2024-05-15,3,breeder,136
Jynx torquilla,Wendehals,bw235,2024,2024-03-26,0,breeder,86
Jynx torquilla,Wendehals,bw235,2024,2024-06-04,1,breeder,156
Jynx torquilla,Wendehals,bw235,2025,2025-06-03,0,breeder,154
Jynx torquilla,Wendehals,bw235,2025,2025-03-21,0,breeder,80
Jynx torquilla,Wendehals,bw235,2025,2025-04-19,0,breeder,109
Jynx torquilla,Wendehals,bw235,2025,2025-05-14,1,breeder,134
Jynx torquilla,Wendehals,bw256,2024,2024-03-22,0,breeder,82
Jynx torquilla,Wendehals,bw256,2024,2024-04-11,2,breeder,102
Jynx torquilla,Wendehals,bw256,2024,2024-05-15,1,breeder,136
Jynx torquilla,Wendehals,bw256,2024,2024-06-19,0,breeder,171
Jynx torquilla,Wendehals,bw256,2025,2025-03-21,0,breeder,80
Jynx torquilla,Wendehals,bw256,2025,2025-04-10,3,breeder,100
Jynx torquilla,Wendehals,bw256,2025,2025-05-06,0,breeder,126
Jynx torquilla,Wendehals,bw256,2025,2025-06-05,0,breeder,156
Jynx torquilla,Wendehals,bw257,2022,2022-03-27,0,breeder,86
Jynx torquilla,Wendehals,bw257,2022,2022-04-16,8,breeder,106
Jynx torquilla,Wendehals,bw257,2022,2022-05-09,0,breeder,129
Jynx torquilla,Wendehals,bw257,2022,2022-06-06,5,breeder,157
Jynx torquilla,Wendehals,bw257,2023,2023-03-19,0,breeder,78
Jynx torquilla,Wendehals,bw257,2023,2023-04-10,9,breeder,100
Jynx torquilla,Wendehals,bw257,2023,2023-05-02,2,breeder,122
Jynx torquilla,Wendehals,bw257,2023,2023-05-21,0,breeder,141
Jynx torquilla,Wendehals,bw257,2024,2024-03-22,0,breeder,82
Jynx torquilla,Wendehals,bw257,2024,2024-05-07,4,breeder,128
Jynx torquilla,Wendehals,bw257,2024,2024-05-26,1,breeder,147
Jynx torquilla,Wendehals,bw257,2024,2024-04-12,2,breeder,103
Jynx torquilla,Wendehals,bw257,2025,2025-05-30,1,breeder,150
Jynx torquilla,Wendehals,bw257,2025,2025-03-24,0,breeder,83
Jynx torquilla,Wendehals,bw257,2025,2025-04-15,6,breeder,105
Jynx torquilla,Wendehals,bw257,2025,2025-05-07,0,breeder,127
Jynx torquilla,Wendehals,bw261,2021,2021-04-23,3,breeder,113
Jynx torquilla,Wendehals,bw261,2021,2021-03-26,0,breeder,85
Jynx torquilla,Wendehals,bw261,2021,2021-05-13,4,breeder,133
Jynx torquilla,Wendehals,bw261,2021,2021-06-13,1,breeder,164
Jynx torquilla,Wendehals,bw261,2022,2022-06-05,1,breeder,156
Jynx torquilla,Wendehals,bw261,2022,2022-05-11,4,breeder,131
Jynx torquilla,Wendehals,bw261,2022,2022-04-15,6,breeder,105
Jynx torquilla,Wendehals,bw261,2022,2022-03-20,0,breeder,79
Jynx torquilla,Wendehals,bw261,2023,2023-03-26,0,breeder,85
Jynx torquilla,Wendehals,bw261,2023,2023-05-11,2,breeder,131
Jynx torquilla,Wendehals,bw261,2023,2023-04-10,11,breeder,100
Jynx torquilla,Wendehals,bw261,2023,2023-06-04,0,breeder,155
Jynx torquilla,Wendehals,bw261,2024,2024-05-13,4,breeder,134
Jynx torquilla,Wendehals,bw261,2024,2024-06-08,1,breeder,160
Jynx torquilla,Wendehals,bw261,2024,2024-04-13,6,breeder,104
Jynx torquilla,Wendehals,bw261,2024,2024-03-29,0,breeder,89
Jynx torquilla,Wendehals,bw261,2025,2025-03-29,0,breeder,88
