NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Lanius collurio,Neuntöter,bw10,2022,2022-06-09,0,breeder,160
Lanius collurio,Neuntöter,bw10,2022,2022-05-14,1,breeder,134
Lanius collurio,Neuntöter,bw10,2022,2022-03-20,0,breeder,79
Lanius collurio,Neuntöter,bw10,2022,2022-04-22,0,breeder,112
Lanius collurio,Neuntöter,bw10,2023,2023-04-30,0,breeder,120
Lanius collurio,Neuntöter,bw10,2023,2023-05-14,1,breeder,134
Lanius collurio,Neuntöter,bw10,2023,2023-05-27,0,breeder,147
Lanius collurio,Neuntöter,bw10,2023,2023-03-18,0,breeder,77
Lanius collurio,Neuntöter,bw10,2024,2024-06-08,1,breeder,160
Lanius collurio,Neuntöter,bw10,2024,2024-03-11,0,breeder,71
Lanius collurio,Neuntöter,bw10,2024,2024-04-05,0,breeder,96
Lanius collurio,Neuntöter,bw10,2024,2024-05-04,0,breeder,125
Lanius collurio,Neuntöter,bw10,2024,2024-04-04,0,breeder,95
Lanius collurio,Neuntöter,bw10,2025,2025-04-16,0,breeder,106
Lanius collurio,Neuntöter,bw10,2025,2025-05-31,2,breeder,151
Lanius collurio,Neuntöter,bw10,2025,2025-03-23,0,breeder,82
Lanius collurio,Neuntöter,bw10,2025,2025-05-11,4,breeder,131
Lanius collurio,Neuntöter,bw123,2022,2022-03-24,0,breeder,83
Lanius collurio,Neuntöter,bw123,2022,2022-04-20,0,breeder,110
Lanius collurio,Neuntöter,bw123,2022,2022-05-08,0,breeder,128
Lanius collurio,Neuntöter,bw123,2022,2022-06-10,3,breeder,161
Lanius collurio,Neuntöter,bw123,2023,2023-03-21,0,breeder,80
Lanius collurio,Neuntöter,bw123,2023,2023-04-22,0,breeder,112
Lanius collurio,Neuntöter,bw123,2023,2023-05-07,1,breeder,127
Lanius collurio,Neuntöter,bw123,2023,2023-06-08,1,breeder,159
Lanius collurio,Neuntöter,bw123,2024,2024-03-22,0,breeder,82
Lanius collurio,Neuntöter,bw123,2024,2024-04-23,0,breeder,114
Lanius collurio,Neuntöter,bw123,2024,2024-05-11,1,breeder,132
Lanius collurio,Neuntöter,bw123,2024,2024-06-05,2,breeder,157
Lanius collurio,Neuntöter,bw123,2025,2025-03-24,0,breeder,83
Lanius collurio,Neuntöter,bw123,2025,2025-04-16,0,breeder,106
Lanius collurio,Neuntöter,bw123,2025,2025-05-11,2,breeder,131
Lanius collurio,Neuntöter,bw123,2025,2025-06-12,3,breeder,163
Lanius collurio,Neuntöter,bw128,2020,2020-04-18,0,breeder,109
Lanius collurio,Neuntöter,bw128,2020,2020-06-20,1,breeder,172
Lanius collurio,Neuntöter,bw128,2020,2020-03-28,0,breeder,88
Lanius collurio,Neuntöter,bw128,2020,2020-05-19,0,breeder,140
Lanius collurio,Neuntöter,bw128,2021,2021-03-29,0,breeder,88
Lanius collurio,Neuntöter,bw128,2021,2021-04-24,0,breeder,114
Lanius collurio,Neuntöter,bw128,2021,2021-06-15,1,breeder,166
Lanius collurio,Neuntöter,bw128,2021,2021-05-15,0,breeder,135
Lanius collurio,Neuntöter,bw128,2022,2022-04-22,0,breeder,112
Lanius collurio,Neuntöter,bw128,2022,2022-05-08,0,breeder,128
Lanius collurio,Neuntöter,bw128,2022,2022-03-25,0,breeder,84
Lanius collurio,Neuntöter,bw128,2022,2022-06-03,1,breeder,154
Lanius collurio,Neuntöter,bw128,2023,2023-04-14,0,breeder,104
Lanius collurio,Neuntöter,bw128,2023,2023-05-13,0,breeder,133
Lanius collurio,Neuntöter,bw128,2023,2023-03-28,0,breeder,87
Lanius collurio,Neuntöter,bw128,2023,2023-06-02,1,breeder,153
Lanius collurio,Neuntöter,bw132,2024,2024-04-05,0,breeder,96
Lanius collurio,Neuntöter,bw132,2024,2024-05-01,5,breeder,122
Lanius collurio,Neuntöter,bw132,2024,2024-03-18,0,breeder,78
Lanius collurio,Neuntöter,bw132,2024,2024-06-20,6,breeder,172
Lanius collurio,Neuntöter,bw132,2025,2025-05-19,2,breeder,139
Lanius collurio,Neuntöter,bw132,2025,2025-06-11,2,breeder,162
Lanius collurio,Neuntöter,bw132,2025,2025-03-22,0,breeder,81
