NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Lanius collurio,Neuntöter,bw101,2023,2023-03-31,0,non_breeder,90
Lanius collurio,Neuntöter,bw101,2023,2023-04-30,0,non_breeder,120
Lanius collurio,Neuntöter,bw101,2023,2023-05-14,0,non_breeder,134
Lanius collurio,Neuntöter,bw101,2023,2023-06-06,1,non_breeder,157
Lanius collurio,Neuntöter,bw103,2024,2024-05-20,2,non_breeder,141
Lanius collurio,Neuntöter,bw103,2024,2024-06-03,0,non_breeder,155
Lanius collurio,Neuntöter,bw103,2024,2024-03-25,0,non_breeder,85
Lanius collurio,Neuntöter,bw103,2024,2024-04-22,0,non_breeder,113
Lanius collurio,Neuntöter,bw105,2024,2024-04-13,0,non_breeder,104
Lanius collurio,Neuntöter,bw105,2024,2024-03-27,0,non_breeder,87
Lanius collurio,Neuntöter,bw105,2024,2024-05-12,1,non_breeder,133
Lanius collurio,Neuntöter,bw105,2024,2024-06-12,0,non_breeder,164
Lanius collurio,Neuntöter,bw105,2025,2025-03-27,0,non_breeder,86
Lanius collurio,Neuntöter,bw105,2025,2025-04-29,0,non_breeder,119
Lanius collurio,Neuntöter,bw105,2025,2025-06-17,2,non_breeder,168
Lanius collurio,Neuntöter,bw105,2025,2025-05-14,3,non_breeder,134
Lanius collurio,Neuntöter,bw107,2025,2025-03-16,0,non_breeder,75
Lanius collurio,Neuntöter,bw107,2025,2025-04-06,0,non_breeder,96
Lanius collurio,Neuntöter,bw107,2025,2025-06-01,1,non_breeder,152
Lanius collurio,Neuntöter,bw107,2025,2025-05-01,0,non_breeder,121
Lanius collurio,Neuntöter,bw108,2025,2025-03-25,0,non_breeder,84
Lanius collurio,Neuntöter,bw108,2025,2025-04-20,0,non_breeder,110
Lanius collurio,Neuntöter,bw108,2025,2025-05-10,0,non_breeder,130
Lanius collurio,Neuntöter,bw108,2025,2025-06-08,1,non_breeder,159
Lanius collurio,Neuntöter,bw115,2021,2021-03-21,0,non_breeder,80
Lanius collurio,Neuntöter,bw115,2021,2021-04-18,0,non_breeder,108
Lanius collurio,Neuntöter,bw115,2021,2021-05-09,0,non_breeder,129
Lanius collurio,Neuntöter,bw115,2021,2021-05-30,2,non_breeder,150
Lanius collurio,Neuntöter,bw115,2022,2022-03-13,0,non_breeder,72
Lanius collurio,Neuntöter,bw115,2022,2022-04-10,0,non_breeder,100
Lanius collurio,Neuntöter,bw115,2022,2022-06-06,1,non_breeder,157
Lanius collurio,Neuntöter,bw115,2022,2022-05-01,0,non_breeder,121
Lanius collurio,Neuntöter,bw115,2023,2023-03-11,0,non_breeder,70
Lanius collurio,Neuntöter,bw115,2023,2023-04-15,0,non_breeder,105
Lanius collurio,Neuntöter,bw115,2023,2023-05-01,0,non_breeder,121
Lanius collurio,Neuntöter,bw115,2023,2023-06-11,1,non_breeder,162
Lanius collurio,Neuntöter,bw117,2025,2025-03-27,0,non_breeder,86
Lanius collurio,Neuntöter,bw117,2025,2025-04-23,0,non_breeder,113
Lanius collurio,Neuntöter,bw117,2025,2025-05-16,0,non_breeder,136
Lanius collurio,Neuntöter,bw117,2025,2025-06-13,1,non_breeder,164
Lanius collurio,Neuntöter,bw118,2024,2024-03-22,0,non_breeder,82
Lanius collurio,Neuntöter,bw118,2024,2024-04-05,0,non_breeder,96
Lanius collurio,Neuntöter,bw118,2024,2024-05-25,2,non_breeder,146
Lanius collurio,Neuntöter,bw118,2024,2024-05-04,2,non_breeder,125
Lanius collurio,Neuntöter,bw118,2024,2024-05-03,0,non_breeder,124
Lanius collurio,Neuntöter,bw118,2025,2025-05-02,0,non_breeder,122
Lanius collurio,Neuntöter,bw118,2025,2025-06-01,1,non_breeder,152
Lanius collurio,Neuntöter,bw118,2025,2025-04-04,0,non_breeder,94
