NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Luscinia megarhynchos,Nachtigall,bw101,2022,2022-03-27,0,non_breeder,86
Luscinia megarhynchos,Nachtigall,bw101,2022,2022-04-17,2,non_breeder,107
Luscinia megarhynchos,Nachtigall,bw101,2022,2022-05-20,3,non_breeder,140
Luscinia megarhynchos,Nachtigall,bw101,2022,2022-06-20,0,non_breeder,171
Luscinia megarhynchos,Nachtigall,bw101,2023,2023-03-31,0,non_breeder,90
Luscinia megarhynchos,Nachtigall,bw101,2023,2023-04-30,1,non_breeder,120
Luscinia megarhynchos,Nachtigall,bw101,2023,2023-05-14,2,non_breeder,134
Luscinia megarhynchos,Nachtigall,bw101,2023,2023-06-06,2,non_breeder,157
Luscinia megarhynchos,Nachtigall,bw102,2024,2024-04-27,4,non_breeder,118
Luscinia megarhynchos,Nachtigall,bw102,2024,2024-03-25,0,non_breeder,85
Luscinia megarhynchos,Nachtigall,bw102,2024,2024-05-18,0,non_breeder,139
Luscinia megarhynchos,Nachtigall,bw102,2024,2024-06-17,0,non_breeder,169
Luscinia megarhynchos,Nachtigall,bw102,2025,2025-03-25,0,non_breeder,84
Luscinia megarhynchos,Nachtigall,bw102,2025,2025-04-10,0,non_breeder,100
Luscinia megarhynchos,Nachtigall,bw102,2025,2025-06-09,1,non_breeder,160
Luscinia megarhynchos,Nachtigall,bw102,2025,2025-05-12,1,non_breeder,132
Luscinia megarhynchos,Nachtigall,bw103,2022,2022-03-27,0,non_breeder,86
Luscinia megarhynchos,Nachtigall,bw103,2022,2022-04-22,3,non_breeder,112
Luscinia megarhynchos,Nachtigall,bw103,2022,2022-05-13,5,non_breeder,133
Luscinia megarhynchos,Nachtigall,bw103,2022,2022-06-19,0,non_breeder,170
Luscinia megarhynchos,Nachtigall,bw103,2023,2023-04-23,1,non_breeder,113
Luscinia megarhynchos,Nachtigall,bw103,2023,2023-05-18,0,non_breeder,138
Luscinia megarhynchos,Nachtigall,bw103,2023,2023-06-09,0,non_breeder,160
Luscinia megarhynchos,Nachtigall,bw103,2023,2023-03-27,0,non_breeder,86
Luscinia megarhynchos,Nachtigall,bw103,2024,2024-05-20,1,non_breeder,141
Luscinia megarhynchos,Nachtigall,bw103,2024,2024-06-03,0,non_breeder,155
Luscinia megarhynchos,Nachtigall,bw103,2024,2024-03-25,0,non_breeder,85
Luscinia megarhynchos,Nachtigall,bw103,2024,2024-04-22,1,non_breeder,113
Luscinia megarhynchos,Nachtigall,bw103,2025,2025-06-11,0,non_breeder,162
Luscinia megarhynchos,Nachtigall,bw103,2025,2025-03-28,0,non_breeder,87
Luscinia megarhynchos,Nachtigall,bw103,2025,2025-04-23,2,non_breeder,113
Luscinia megarhynchos,Nachtigall,bw103,2025,2025-05-17,0,non_breeder,137
Luscinia megarhynchos,Nachtigall,bw103,2025,2025-05-19,0,non_breeder,139
Luscinia megarhynchos,Nachtigall,bw104,2022,2022-05-30,3,non_breeder,150
Luscinia megarhynchos,Nachtigall,bw104,2022,2022-05-11,3,non_breeder,131
Luscinia megarhynchos,Nachtigall,bw104,2022,2022-03-21,0,non_breeder,80
Luscinia megarhynchos,Nachtigall,bw104,2022,2022-04-13,2,non_breeder,103
Luscinia megarhynchos,Nachtigall,bw104,2023,2023-06-09,1,non_breeder,160
Luscinia megarhynchos,Nachtigall,bw104,2023,2023-04-27,4,non_breeder,117
Luscinia megarhynchos,Nachtigall,bw104,2023,2023-05-18,3,non_breeder,138
Luscinia megarhynchos,Nachtigall,bw104,2023,2023-03-21,0,non_breeder,80
Luscinia megarhynchos,Nachtigall,bw104,2023,2023-06-08,0,non_breeder,159
Luscinia megarhynchos,Nachtigall,bw104,2024,2024-06-12,0,non_breeder,164
Luscinia megarhynchos,Nachtigall,bw104,2024,2024-05-14,4,non_breeder,135
Luscinia megarhynchos,Nachtigall,bw104,2024,2024-03-19,0,non_breeder,79
Luscinia megarhynchos,Nachtigall,bw104,2024,2024-04-13,3,non_breeder,104
Luscinia megarhynchos,Nachtigall,bw104,2025,2025-05-13,3,non_breeder,133
Luscinia megarhynchos,Nachtigall,bw104,2025,2025-06-17,2,non_breeder,168
Luscinia megarhynchos,Nachtigall,bw104,2025,2025-04-11,0,non_breeder,101
Luscinia megarhynchos,Nachtigall,bw104,2025,2025-03-21,0,non_breeder,80
Luscinia megarhynchos,Nachtigall,bw104,2025,2025-04-10,0,non_breeder,100
Luscinia megarhynchos,Nachtigall,bw104,2025,2025-05-12,0,non_breeder,132
Luscinia megarhynchos,Nachtigall,bw105,2024,2024-04-13,2,non_breeder,104
Luscinia megarhynchos,Nachtigall,bw105,2024,2024-03-27,0,non_breeder,87
Luscinia megarhynchos,Nachtigall,bw105,2024,2024-05-12,2,non_breeder,133
Luscinia megarhynchos,Nachtigall,bw105,2024,2024-06-12,0,non_breeder,164
Luscinia megarhynchos,Nachtigall,bw105,2025,2025-03-27,0,non_breeder,86
Luscinia megarhynchos,Nachtigall,bw105,2025,2025-04-29,1,non_breeder,119
Luscinia megarhynchos,Nachtigall,bw105,2025,2025-06-17,0,non_breeder,168
Luscinia megarhynchos,Nachtigall,bw105,2025,2025-05-14,1,non_breeder,134
Luscinia megarhynchos,Nachtigall,bw106,2025,2025-03-22,0,non_breeder,81
Luscinia megarhynchos,Nachtigall,bw106,2025,2025-04-30,0,non_breeder,120
Luscinia megarhynchos,Nachtigall,bw106,2025,2025-05-19,1,non_breeder,139
Luscinia megarhynchos,Nachtigall,bw106,2025,2025-06-14,0,non_breeder,165
Luscinia megarhynchos,Nachtigall,bw108,2023,2023-05-05,3,non_breeder,125
Luscinia megarhynchos,Nachtigall,bw108,2023,2023-06-02,1,non_breeder,153
Luscinia megarhynchos,Nachtigall,bw108,2023,2023-03-22,0,non_breeder,81
Luscinia megarhynchos,Nachtigall,bw108,2023,2023-04-22,2,non_breeder,112
Luscinia megarhynchos,Nachtigall,bw108,2024,2024-04-06,0,non_breeder,97
Luscinia megarhynchos,Nachtigall,bw108,2024,2024-06-16,2,non_breeder,168
Luscinia megarhynchos,Nachtigall,bw108,2024,2024-03-22,0,non_breeder,82
Luscinia megarhynchos,Nachtigall,bw108,2024,2024-05-04,3,non_breeder,125
Luscinia megarhynchos,Nachtigall,bw108,2025,2025-03-25,0,non_breeder,84
Luscinia megarhynchos,Nachtigall,bw108,2025,2025-04-20,4,non_breeder,110
Luscinia megarhynchos,Nachtigall,bw108,2025,2025-05-10,4,non_breeder,130
Luscinia megarhynchos,Nachtigall,bw108,2025,2025-06-08,3,non_breeder,159
Luscinia megarhynchos,Nachtigall,bw109,2024,2024-03-27,0,non_breeder,87
Luscinia megarhynchos,Nachtigall,bw109,2024,2024-04-26,1,non_breeder,117
Luscinia megarhynchos,Nachtigall,bw109,2024,2024-05-20,1,non_breeder,141
Luscinia megarhynchos,Nachtigall,bw109,2024,2024-06-14,0,non_breeder,166
Luscinia megarhynchos,Nachtigall,bw109,2024,2024-03-28,0,non_breeder,88
Luscinia megarhynchos,Nachtigall,bw109,2025,2025-03-26,0,non_breeder,85
