NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Motacilla flava,"Schafstelze, unbestimmt",bw100,2025,2025-04-13,0,non_breeder,103
Motacilla flava,"Schafstelze, unbestimmt",bw100,2025,2025-05-18,1,non_breeder,138
Motacilla flava,"Schafstelze, unbestimmt",bw100,2025,2025-06-19,0,non_breeder,170
Motacilla flava,"Schafstelze, unbestimmt",bw100,2025,2025-03-16,0,non_breeder,75
Motacilla flava,"Schafstelze, unbestimmt",bw13,2024,2024-04-15,1,non_breeder,106
Motacilla flava,"Schafstelze, unbestimmt",bw13,2024,2024-06-05,0,non_breeder,157
Motacilla flava,"Schafstelze, unbestimmt",bw13,2024,2024-03-30,0,non_breeder,90
Motacilla flava,"Schafstelze, unbestimmt",bw13,2024,2024-05-06,0,non_breeder,127
Motacilla flava,"Schafstelze, unbestimmt",bw13,2025,2025-03-28,0,non_breeder,87
Motacilla flava,"Schafstelze, unbestimmt",bw13,2025,2025-04-15,0,non_breeder,105
Motacilla flava,"Schafstelze, unbestimmt",bw13,2025,2025-05-10,1,non_breeder,130
Motacilla flava,"Schafstelze, unbestimmt",bw13,2025,2025-06-08,0,non_breeder,159
Motacilla flava,"Schafstelze, unbestimmt",bw15,2025,2025-03-28,0,non_breeder,87
Motacilla flava,"Schafstelze, unbestimmt",bw15,2025,2025-04-09,0,non_breeder,99
Motacilla flava,"Schafstelze, unbestimmt",bw15,2025,2025-05-10,1,non_breeder,130
Motacilla flava,"Schafstelze, unbestimmt",bw15,2025,2025-06-01,0,non_breeder,152
Motacilla flava,"Schafstelze, unbestimmt",bw21,2025,2025-03-27,0,non_breeder,86
Motacilla flava,"Schafstelze, unbestimmt",bw21,2025,2025-04-29,1,non_breeder,119
Motacilla flava,"Schafstelze, unbestimmt",bw21,2025,2025-05-20,0,non_breeder,140
Motacilla flava,"Schafstelze, unbestimmt",bw21,2025,2025-06-17,0,non_breeder,168
Motacilla flava,"Schafstelze, unbestimmt",bw238,2024,2024-03-26,0,non_breeder,86
Motacilla flava,"Schafstelze, unbestimmt",bw238,2024,2024-04-08,1,non_breeder,99
Motacilla flava,"Schafstelze, unbestimmt",bw238,2024,2024-05-14,0,non_breeder,135
Motacilla flava,"Schafstelze, unbestimmt",bw238,2024,2024-06-07,0,non_breeder,159
Motacilla flava,"Schafstelze, unbestimmt",bw251,2025,2025-05-19,0,non_breeder,139
Motacilla flava,"Schafstelze, unbestimmt",bw251,2025,2025-06-05,0,non_breeder,156
