NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Pernis apivorus,Wespenbussard,bw139,2023,2023-03-27,0,non_breeder,86
Pernis apivorus,Wespenbussard,bw139,2023,2023-06-20,0,non_breeder,171
Pernis apivorus,Wespenbussard,bw139,2023,2023-04-29,0,non_breeder,119
Pernis apivorus,Wespenbussard,bw139,2023,2023-05-19,1,non_breeder,139
Pernis apivorus,Wespenbussard,bw163,2022,2022-03-15,0,non_breeder,74
Pernis apivorus,Wespenbussard,bw163,2022,2022-04-29,0,non_breeder,119
Pernis apivorus,Wespenbussard,bw163,2022,2022-05-19,1,non_breeder,139
Pernis apivorus,Wespenbussard,bw163,2022,2022-06-13,0,non_breeder,164
Pernis apivorus,Wespenbussard,bw18,2022,2022-04-22,0,non_breeder,112
Pernis apivorus,Wespenbussard,bw18,2022,2022-05-12,1,non_breeder,132
Pernis apivorus,Wespenbussard,bw18,2022,2022-03-15,0,non_breeder,74
Pernis apivorus,Wespenbussard,bw18,2022,2022-06-21,0,non_breeder,172
Pernis apivorus,Wespenbussard,bw25,2024,2024-05-12,1,non_breeder,133
Pernis apivorus,Wespenbussard,bw25,2024,2024-05-26,0,non_breeder,147
Pernis apivorus,Wespenbussard,bw25,2024,2024-03-20,0,non_breeder,80
Pernis apivorus,Wespenbussard,bw25,2024,2024-04-07,0,non_breeder,98
Pernis apivorus,Wespenbussard,bw263,2023,2023-06-01,1,non_breeder,152
Pernis apivorus,Wespenbussard,bw263,2023,2023-04-22,0,non_breeder,112
Pernis apivorus,Wespenbussard,bw263,2023,2023-04-04,0,non_breeder,94
Pernis apivorus,Wespenbussard,bw263,2023,2023-05-13,0,non_breeder,133
Pernis apivorus,Wespenbussard,bw28,2024,2024-03-12,0,non_breeder,72
Pernis apivorus,Wespenbussard,bw28,2024,2024-04-06,0,non_breeder,97
Pernis apivorus,Wespenbussard,bw28,2024,2024-05-01,2,non_breeder,122
Pernis apivorus,Wespenbussard,bw28,2024,2024-05-23,0,non_breeder,144
Pernis apivorus,Wespenbussard,bw293,2025,2025-03-10,0,non_breeder,69
Pernis apivorus,Wespenbussard,bw293,2025,2025-04-12,0,non_breeder,102
Pernis apivorus,Wespenbussard,bw293,2025,2025-05-11,0,non_breeder,131
Pernis apivorus,Wespenbussard,bw293,2025,2025-06-10,1,non_breeder,161
Pernis apivorus,Wespenbussard,bw337,2025,2025-06-09,1,non_breeder,160
Pernis apivorus,Wespenbussard,bw337,2025,2025-04-19,0,non_breeder,109
Pernis apivorus,Wespenbussard,bw337,2025,2025-05-10,0,non_breeder,130
Pernis apivorus,Wespenbussard,bw337,2025,2025-03-19,0,non_breeder,78
Pernis apivorus,Wespenbussard,bw398,2024,2024-05-28,0,non_breeder,149
Pernis apivorus,Wespenbussard,bw398,2024,2024-03-12,0,non_breeder,72
Pernis apivorus,Wespenbussard,bw398,2024,2024-04-13,0,non_breeder,104
Pernis apivorus,Wespenbussard,bw398,2024,2024-05-12,1,non_breeder,133
Pernis apivorus,Wespenbussard,bw47,2022,2022-04-25,0,non_breeder,115
Pernis apivorus,Wespenbussard,bw47,2022,2022-06-20,2,non_breeder,171
Pernis apivorus,Wespenbussard,bw47,2022,2022-05-13,0,non_breeder,133
Pernis apivorus,Wespenbussard,bw47,2022,2022-03-24,0,non_breeder,83
Pernis apivorus,Wespenbussard,bw47,2023,2023-03-24,0,non_breeder,83
Pernis apivorus,Wespenbussard,bw47,2023,2023-04-27,0,non_breeder,117
Pernis apivorus,Wespenbussard,bw47,2023,2023-05-16,0,non_breeder,136
Pernis apivorus,Wespenbussard,bw47,2023,2023-06-13,1,non_breeder,164
Pernis apivorus,Wespenbussard,bw47,2024,2024-05-17,1,non_breeder,138
Pernis apivorus,Wespenbussard,bw47,2024,2024-03-22,0,non_breeder,82
Pernis apivorus,Wespenbussard,bw47,2024,2024-06-13,0,non_breeder,165
Pernis apivorus,Wespenbussard,bw47,2024,2024-04-29,0,non_breeder,120
Pernis apivorus,Wespenbussard,bw64,2025,2025-06-07,1,non_breeder,158
Pernis apivorus,Wespenbussard,bw64,2025,2025-03-20,0,non_breeder,79
Pernis apivorus,Wespenbussard,bw64,2025,2025-04-11,0,non_breeder,101
Pernis apivorus,Wespenbussard,bw64,2025,2025-05-10,0,non_breeder,130
Pernis apivorus,Wespenbussard,bw70,2025,2025-05-19,0,non_breeder,139
Pernis apivorus,Wespenbussard,bw70,2025,2025-03-21,0,non_breeder,80
Pernis apivorus,Wespenbussard,bw70,2025,2025-04-22,0,non_breeder,112
Pernis apivorus,Wespenbussard,bw70,2025,2025-06-18,1,non_breeder,169
