NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2022,2022-03-27,0,breeder,86
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2022,2022-04-22,10,breeder,112
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2022,2022-05-13,11,breeder,133
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2022,2022-06-19,12,breeder,170
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2023,2023-04-23,12,breeder,113
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2023,2023-05-18,13,breeder,138
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2023,2023-06-09,10,breeder,160
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2023,2023-03-27,0,breeder,86
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2024,2024-05-20,8,breeder,141
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2024,2024-06-03,10,breeder,155
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2024,2024-03-25,0,breeder,85
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2024,2024-04-22,9,breeder,113
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2025,2025-06-11,14,breeder,162
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2025,2025-03-28,1,breeder,87
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2025,2025-04-23,6,breeder,113
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2025,2025-05-17,8,breeder,137
Phoenicurus phoenicurus,Gartenrotschwanz,bw103,2025,2025-05-19,0,breeder,139
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2022,2022-05-30,3,breeder,150
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2022,2022-05-11,4,breeder,131
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2022,2022-03-21,0,breeder,80
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2022,2022-04-13,1,breeder,103
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2023,2023-06-09,2,breeder,160
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2023,2023-04-27,4,breeder,117
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2023,2023-05-18,3,breeder,138
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2023,2023-03-21,0,breeder,80
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2023,2023-06-08,0,breeder,159
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2024,2024-06-12,2,breeder,164
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2024,2024-05-14,6,breeder,135
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2024,2024-03-19,0,breeder,79
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2024,2024-04-13,2,breeder,104
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2025,2025-05-13,5,breeder,133
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2025,2025-06-17,0,breeder,168
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2025,2025-04-11,7,breeder,101
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2025,2025-03-21,0,breeder,80
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2025,2025-04-10,0,breeder,100
Phoenicurus phoenicurus,Gartenrotschwanz,bw104,2025,2025-05-12,0,breeder,132
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2024,2024-03-27,0,breeder,87
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2024,2024-04-26,4,breeder,117
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2024,2024-05-20,4,breeder,141
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2024,2024-06-14,2,breeder,166
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2024,2024-03-28,0,breeder,88
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2025,2025-03-26,0,breeder,85
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2025,2025-04-11,1,breeder,101
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2025,2025-05-13,4,breeder,133
Phoenicurus phoenicurus,Gartenrotschwanz,bw109,2025,2025-06-11,3,breeder,162
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2021,2021-03-21,0,breeder,80
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2021,2021-04-18,2,breeder,108
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2021,2021-05-09,2,breeder,129
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2021,2021-05-30,7,breeder,150
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2022,2022-03-13,0,breeder,72
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2022,2022-04-10,0,breeder,100
Phoenicurus phoenicurus,Gartenrotschwanz,bw115,2022,2022-06-06,3,breeder,157
