NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Phylloscopus trochilus,Fitis,bw107,2023,2023-05-07,0,breeder,127
Phylloscopus trochilus,Fitis,bw107,2023,2023-03-19,0,breeder,78
Phylloscopus trochilus,Fitis,bw107,2023,2023-04-10,1,breeder,100
Phylloscopus trochilus,Fitis,bw107,2023,2023-05-28,0,breeder,148
Phylloscopus trochilus,Fitis,bw107,2024,2024-05-12,1,breeder,133
Phylloscopus trochilus,Fitis,bw107,2024,2024-06-09,0,breeder,161
Phylloscopus trochilus,Fitis,bw107,2024,2024-03-30,0,breeder,90
Phylloscopus trochilus,Fitis,bw107,2024,2024-05-01,0,breeder,122
Phylloscopus trochilus,Fitis,bw107,2025,2025-03-16,0,breeder,75
Phylloscopus trochilus,Fitis,bw107,2025,2025-04-06,0,breeder,96
Phylloscopus trochilus,Fitis,bw107,2025,2025-06-01,4,breeder,152
Phylloscopus trochilus,Fitis,bw107,2025,2025-05-01,0,breeder,121
Phylloscopus trochilus,Fitis,bw143,2025,2025-04-19,3,breeder,109
Phylloscopus trochilus,Fitis,bw143,2025,2025-03-22,0,breeder,81
Phylloscopus trochilus,Fitis,bw143,2025,2025-05-10,0,breeder,130
Phylloscopus trochilus,Fitis,bw143,2025,2025-06-08,3,breeder,159
Phylloscopus trochilus,Fitis,bw361,2022,2022-03-23,0,breeder,82
Phylloscopus trochilus,Fitis,bw361,2022,2022-05-01,4,breeder,121
Phylloscopus trochilus,Fitis,bw361,2022,2022-05-11,1,breeder,131
Phylloscopus trochilus,Fitis,bw361,2022,2022-05-26,0,breeder,146
Phylloscopus trochilus,Fitis,bw361,2023,2023-04-22,0,breeder,112
Phylloscopus trochilus,Fitis,bw361,2023,2023-06-10,2,breeder,161
Phylloscopus trochilus,Fitis,bw361,2023,2023-03-18,0,breeder,77
Phylloscopus trochilus,Fitis,bw361,2023,2023-05-13,1,breeder,133
Phylloscopus trochilus,Fitis,bw361,2023,2023-04-21,0,breeder,111
Phylloscopus trochilus,Fitis,bw361,2024,2024-04-13,2,breeder,104
Phylloscopus trochilus,Fitis,bw361,2024,2024-03-23,0,breeder,83
Phylloscopus trochilus,Fitis,bw361,2024,2024-05-29,0,breeder,150
Phylloscopus trochilus,Fitis,bw361,2024,2024-05-12,3,breeder,133
Phylloscopus trochilus,Fitis,bw361,2024,2024-05-28,0,breeder,149
Phylloscopus trochilus,Fitis,bw361,2024,2024-04-12,0,breeder,103
Phylloscopus trochilus,Fitis,bw361,2025,2025-03-22,0,breeder,81
Phylloscopus trochilus,Fitis,bw361,2025,2025-04-05,0,breeder,95
Phylloscopus trochilus,Fitis,bw361,2025,2025-05-18,2,breeder,138
Phylloscopus trochilus,Fitis,bw361,2025,2025-05-29,2,breeder,149
