NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Phylloscopus trochilus,Fitis,bw10,2023,2023-04-30,1,non_breeder,120
Phylloscopus trochilus,Fitis,bw10,2023,2023-05-14,0,non_breeder,134
Phylloscopus trochilus,Fitis,bw10,2023,2023-05-27,0,non_breeder,147
Phylloscopus trochilus,Fitis,bw10,2023,2023-03-18,0,non_breeder,77
Phylloscopus trochilus,Fitis,bw102,2024,2024-04-27,1,non_breeder,118
Phylloscopus trochilus,Fitis,bw102,2024,2024-03-25,1,non_breeder,85
Phylloscopus trochilus,Fitis,bw102,2024,2024-05-18,0,non_breeder,139
Phylloscopus trochilus,Fitis,bw102,2024,2024-06-17,0,non_breeder,169
Phylloscopus trochilus,Fitis,bw102,2025,2025-03-25,0,non_breeder,84
Phylloscopus trochilus,Fitis,bw102,2025,2025-04-10,2,non_breeder,100
Phylloscopus trochilus,Fitis,bw102,2025,2025-06-09,0,non_breeder,160
Phylloscopus trochilus,Fitis,bw102,2025,2025-05-12,0,non_breeder,132
Phylloscopus trochilus,Fitis,bw103,2022,2022-03-27,0,non_breeder,86
Phylloscopus trochilus,Fitis,bw103,2022,2022-04-22,1,non_breeder,112
Phylloscopus trochilus,Fitis,bw103,2022,2022-05-13,0,non_breeder,133
Phylloscopus trochilus,Fitis,bw103,2022,2022-06-19,0,non_breeder,170
Phylloscopus trochilus,Fitis,bw103,2025,2025-06-11,0,non_breeder,162
Phylloscopus trochilus,Fitis,bw103,2025,2025-03-28,1,non_breeder,87
Phylloscopus trochilus,Fitis,bw103,2025,2025-04-23,0,non_breeder,113
Phylloscopus trochilus,Fitis,bw103,2025,2025-05-17,0,non_breeder,137
Phylloscopus trochilus,Fitis,bw103,2025,2025-05-19,0,non_breeder,139
Phylloscopus trochilus,Fitis,bw105,2024,2024-04-13,1,non_breeder,104
Phylloscopus trochilus,Fitis,bw105,2024,2024-03-27,0,non_breeder,87
Phylloscopus trochilus,Fitis,bw105,2024,2024-05-12,0,non_breeder,133
Phylloscopus trochilus,Fitis,bw105,2024,2024-06-12,0,non_breeder,164
Phylloscopus trochilus,Fitis,bw106,2021,2021-05-19,0,non_breeder,139
Phylloscopus trochilus,Fitis,bw106,2021,2021-06-14,0,non_breeder,165
Phylloscopus trochilus,Fitis,bw106,2021,2021-03-28,0,non_breeder,87
Phylloscopus trochilus,Fitis,bw106,2021,2021-04-26,1,non_breeder,116
Phylloscopus trochilus,Fitis,bw108,2023,2023-05-05,1,non_breeder,125
Phylloscopus trochilus,Fitis,bw108,2023,2023-06-02,0,non_breeder,153
Phylloscopus trochilus,Fitis,bw108,2023,2023-03-22,0,non_breeder,81
Phylloscopus trochilus,Fitis,bw108,2023,2023-04-22,1,non_breeder,112
Phylloscopus trochilus,Fitis,bw109,2025,2025-03-26,0,non_breeder,85
Phylloscopus trochilus,Fitis,bw109,2025,2025-04-11,2,non_breeder,101
Phylloscopus trochilus,Fitis,bw109,2025,2025-05-13,0,non_breeder,133
Phylloscopus trochilus,Fitis,bw109,2025,2025-06-11,0,non_breeder,162
Phylloscopus trochilus,Fitis,bw114,2022,2022-06-18,0,non_breeder,169
Phylloscopus trochilus,Fitis,bw114,2022,2022-04-12,3,non_breeder,102
Phylloscopus trochilus,Fitis,bw114,2022,2022-03-24,0,non_breeder,83
Phylloscopus trochilus,Fitis,bw114,2022,2022-05-18,0,non_breeder,138
Phylloscopus trochilus,Fitis,bw114,2023,2023-04-26,1,non_breeder,116
Phylloscopus trochilus,Fitis,bw114,2023,2023-05-19,0,non_breeder,139
Phylloscopus trochilus,Fitis,bw114,2023,2023-06-20,0,non_breeder,171
Phylloscopus trochilus,Fitis,bw114,2023,2023-03-28,0,non_breeder,87
Phylloscopus trochilus,Fitis,bw114,2025,2025-04-04,2,non_breeder,94
Phylloscopus trochilus,Fitis,bw114,2025,2025-03-09,0,non_breeder,68
Phylloscopus trochilus,Fitis,bw114,2025,2025-05-10,0,non_breeder,130
Phylloscopus trochilus,Fitis,bw114,2025,2025-06-12,1,non_breeder,163
Phylloscopus trochilus,Fitis,bw115,2021,2021-03-21,0,non_breeder,80
Phylloscopus trochilus,Fitis,bw115,2021,2021-04-18,1,non_breeder,108
Phylloscopus trochilus,Fitis,bw115,2021,2021-05-09,1,non_breeder,129
Phylloscopus trochilus,Fitis,bw115,2021,2021-05-30,0,non_breeder,150
Phylloscopus trochilus,Fitis,bw115,2022,2022-03-13,0,non_breeder,72
Phylloscopus trochilus,Fitis,bw115,2022,2022-04-10,0,non_breeder,100
Phylloscopus trochilus,Fitis,bw115,2022,2022-06-06,0,non_breeder,157
