NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Aegithalos caudatus,Schwanzmeise,bw10,2022,2022-06-09,0,non_breeder,160
Aegithalos caudatus,Schwanzmeise,bw10,2022,2022-05-14,1,non_breeder,134
Aegithalos caudatus,Schwanzmeise,bw10,2022,2022-03-20,4,non_breeder,79
Aegithalos caudatus,Schwanzmeise,bw10,2022,2022-04-22,0,non_breeder,112
Aegithalos caudatus,Schwanzmeise,bw10,2023,2023-04-30,0,non_breeder,120
Aegithalos caudatus,Schwanzmeise,bw10,2023,2023-05-14,0,non_breeder,134
Aegithalos caudatus,Schwanzmeise,bw10,2023,2023-05-27,0,non_breeder,147
Aegithalos caudatus,Schwanzmeise,bw10,2023,2023-03-18,1,non_breeder,77
Aegithalos caudatus,Schwanzmeise,bw106,2021,2021-05-19,2,non_breeder,139
Aegithalos caudatus,Schwanzmeise,bw106,2021,2021-06-14,0,non_breeder,165
Aegithalos caudatus,Schwanzmeise,bw106,2021,2021-03-28,0,non_breeder,87
Aegithalos caudatus,Schwanzmeise,bw106,2021,2021-04-26,0,non_breeder,116
Aegithalos caudatus,Schwanzmeise,bw106,2023,2023-03-22,0,non_breeder,81
Aegithalos caudatus,Schwanzmeise,bw106,2023,2023-05-15,1,non_breeder,135
Aegithalos caudatus,Schwanzmeise,bw106,2023,2023-06-08,0,non_breeder,159
Aegithalos caudatus,Schwanzmeise,bw106,2023,2023-04-21,0,non_breeder,111
Aegithalos caudatus,Schwanzmeise,bw106,2024,2024-03-21,2,non_breeder,81
Aegithalos caudatus,Schwanzmeise,bw106,2024,2024-04-07,2,non_breeder,98
Aegithalos caudatus,Schwanzmeise,bw106,2024,2024-05-19,2,non_breeder,140
Aegithalos caudatus,Schwanzmeise,bw106,2024,2024-06-20,0,non_breeder,172
Aegithalos caudatus,Schwanzmeise,bw106,2025,2025-03-22,1,non_breeder,81
Aegithalos caudatus,Schwanzmeise,bw106,2025,2025-04-30,2,non_breeder,120
Aegithalos caudatus,Schwanzmeise,bw106,2025,2025-05-19,1,non_breeder,139
Aegithalos caudatus,Schwanzmeise,bw106,2025,2025-06-14,0,non_breeder,165
Aegithalos caudatus,Schwanzmeise,bw114,2022,2022-06-18,1,non_breeder,169
Aegithalos caudatus,Schwanzmeise,bw114,2022,2022-04-12,0,non_breeder,102
Aegithalos caudatus,Schwanzmeise,bw114,2022,2022-03-24,0,non_breeder,83
Aegithalos caudatus,Schwanzmeise,bw114,2022,2022-05-18,0,non_breeder,138
Aegithalos caudatus,Schwanzmeise,bw116,2023,2023-03-17,1,non_breeder,76
Aegithalos caudatus,Schwanzmeise,bw116,2023,2023-05-06,0,non_breeder,126
Aegithalos caudatus,Schwanzmeise,bw116,2023,2023-05-27,0,non_breeder,147
Aegithalos caudatus,Schwanzmeise,bw116,2023,2023-04-18,0,non_breeder,108
Aegithalos caudatus,Schwanzmeise,bw116,2024,2024-04-23,1,non_breeder,114
Aegithalos caudatus,Schwanzmeise,bw116,2024,2024-06-07,0,non_breeder,159
Aegithalos caudatus,Schwanzmeise,bw116,2024,2024-05-11,0,non_breeder,132
Aegithalos caudatus,Schwanzmeise,bw116,2024,2024-03-15,0,non_breeder,75
Aegithalos caudatus,Schwanzmeise,bw120,2022,2022-04-16,1,non_breeder,106
Aegithalos caudatus,Schwanzmeise,bw120,2022,2022-05-14,0,non_breeder,134
Aegithalos caudatus,Schwanzmeise,bw120,2022,2022-06-11,0,non_breeder,162
Aegithalos caudatus,Schwanzmeise,bw120,2025,2025-03-16,2,non_breeder,75
Aegithalos caudatus,Schwanzmeise,bw120,2025,2025-04-12,1,non_breeder,102
Aegithalos caudatus,Schwanzmeise,bw120,2025,2025-05-11,0,non_breeder,131
Aegithalos caudatus,Schwanzmeise,bw120,2025,2025-06-01,0,non_breeder,152
Aegithalos caudatus,Schwanzmeise,bw121,2022,2022-05-17,15,non_breeder,137
Aegithalos caudatus,Schwanzmeise,bw121,2022,2022-03-29,0,non_breeder,88
Aegithalos caudatus,Schwanzmeise,bw121,2022,2022-04-26,0,non_breeder,116
Aegithalos caudatus,Schwanzmeise,bw121,2022,2022-06-12,0,non_breeder,163
Aegithalos caudatus,Schwanzmeise,bw121,2023,2023-04-23,2,non_breeder,113
Aegithalos caudatus,Schwanzmeise,bw121,2023,2023-05-18,3,non_breeder,138
Aegithalos caudatus,Schwanzmeise,bw121,2023,2023-03-19,0,non_breeder,78
Aegithalos caudatus,Schwanzmeise,bw121,2023,2023-06-12,0,non_breeder,163
Aegithalos caudatus,Schwanzmeise,bw121,2024,2024-06-12,2,non_breeder,164
Aegithalos caudatus,Schwanzmeise,bw121,2024,2024-04-13,0,non_breeder,104
Aegithalos caudatus,Schwanzmeise,bw121,2024,2024-03-28,0,non_breeder,88
Aegithalos caudatus,Schwanzmeise,bw121,2024,2024-05-03,0,non_breeder,124
Aegithalos caudatus,Schwanzmeise,bw121,2024,2024-05-02,0,non_breeder,123
Aegithalos caudatus,Schwanzmeise,bw121,2025,2025-03-23,1,non_breeder,82
Aegithalos caudatus,Schwanzmeise,bw121,2025,2025-05-18,1,non_breeder,138
Aegithalos caudatus,Schwanzmeise,bw121,2025,2025-06-07,1,non_breeder,158
Aegithalos caudatus,Schwanzmeise,bw121,2025,2025-04-12,0,non_breeder,102
Aegithalos caudatus,Schwanzmeise,bw122,2021,2021-04-18,1,non_breeder,108
Aegithalos caudatus,Schwanzmeise,bw122,2021,2021-05-13,0,non_breeder,133
Aegithalos caudatus,Schwanzmeise,bw122,2021,2021-05-30,0,non_breeder,150
Aegithalos caudatus,Schwanzmeise,bw122,2021,2021-03-21,0,non_breeder,80
