NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Coccothraustes coccothraustes,Kernbeißer,bw100,2025,2025-04-13,1,non_breeder,103
Coccothraustes coccothraustes,Kernbeißer,bw100,2025,2025-05-18,0,non_breeder,138
Coccothraustes coccothraustes,Kernbeißer,bw100,2025,2025-06-19,0,non_breeder,170
Coccothraustes coccothraustes,Kernbeißer,bw100,2025,2025-03-16,0,non_breeder,75
Coccothraustes coccothraustes,Kernbeißer,bw103,2022,2022-03-27,0,non_breeder,86
Coccothraustes coccothraustes,Kernbeißer,bw103,2022,2022-04-22,0,non_breeder,112
Coccothraustes coccothraustes,Kernbeißer,bw103,2022,2022-05-13,1,non_breeder,133
Coccothraustes coccothraustes,Kernbeißer,bw103,2022,2022-06-19,0,non_breeder,170
Coccothraustes coccothraustes,Kernbeißer,bw103,2023,2023-04-23,1,non_breeder,113
Coccothraustes coccothraustes,Kernbeißer,bw103,2023,2023-05-18,1,non_breeder,138
Coccothraustes coccothraustes,Kernbeißer,bw103,2023,2023-06-09,3,non_breeder,160
Coccothraustes coccothraustes,Kernbeißer,bw103,2023,2023-03-27,6,non_breeder,86
Coccothraustes coccothraustes,Kernbeißer,bw103,2024,2024-05-20,0,non_breeder,141
Coccothraustes coccothraustes,Kernbeißer,bw103,2024,2024-06-03,2,non_breeder,155
Coccothraustes coccothraustes,Kernbeißer,bw103,2024,2024-03-25,0,non_breeder,85
Coccothraustes coccothraustes,Kernbeißer,bw103,2024,2024-04-22,0,non_breeder,113
Coccothraustes coccothraustes,Kernbeißer,bw103,2025,2025-06-11,0,non_breeder,162
Coccothraustes coccothraustes,Kernbeißer,bw103,2025,2025-03-28,1,non_breeder,87
Coccothraustes coccothraustes,Kernbeißer,bw103,2025,2025-04-23,0,non_breeder,113
Coccothraustes coccothraustes,Kernbeißer,bw103,2025,2025-05-17,0,non_breeder,137
Coccothraustes coccothraustes,Kernbeißer,bw103,2025,2025-05-19,0,non_breeder,139
Coccothraustes coccothraustes,Kernbeißer,bw104,2022,2022-05-30,1,non_breeder,150
Coccothraustes coccothraustes,Kernbeißer,bw104,2022,2022-05-11,0,non_breeder,131
Coccothraustes coccothraustes,Kernbeißer,bw104,2022,2022-03-21,0,non_breeder,80
Coccothraustes coccothraustes,Kernbeißer,bw104,2022,2022-04-13,0,non_breeder,103
Coccothraustes coccothraustes,Kernbeißer,bw104,2025,2025-05-13,0,non_breeder,133
Coccothraustes coccothraustes,Kernbeißer,bw104,2025,2025-06-17,2,non_breeder,168
Coccothraustes coccothraustes,Kernbeißer,bw104,2025,2025-04-11,0,non_breeder,101
Coccothraustes coccothraustes,Kernbeißer,bw104,2025,2025-03-21,1,non_breeder,80
Coccothraustes coccothraustes,Kernbeißer,bw104,2025,2025-04-10,0,non_breeder,100
Coccothraustes coccothraustes,Kernbeißer,bw104,2025,2025-05-12,0,non_breeder,132
Coccothraustes coccothraustes,Kernbeißer,bw105,2025,2025-03-27,1,non_breeder,86
Coccothraustes coccothraustes,Kernbeißer,bw105,2025,2025-04-29,0,non_breeder,119
Coccothraustes coccothraustes,Kernbeißer,bw105,2025,2025-06-17,0,non_breeder,168
Coccothraustes coccothraustes,Kernbeißer,bw105,2025,2025-05-14,0,non_breeder,134
Coccothraustes coccothraustes,Kernbeißer,bw106,2020,2020-04-19,1,non_breeder,110
Coccothraustes coccothraustes,Kernbeißer,bw106,2020,2020-05-17,0,non_breeder,138
Coccothraustes coccothraustes,Kernbeißer,bw106,2020,2020-03-27,0,non_breeder,87
Coccothraustes coccothraustes,Kernbeißer,bw106,2020,2020-06-19,1,non_breeder,171
Coccothraustes coccothraustes,Kernbeißer,bw106,2022,2022-05-30,0,non_breeder,150
Coccothraustes coccothraustes,Kernbeißer,bw106,2022,2022-04-29,0,non_breeder,119
Coccothraustes coccothraustes,Kernbeißer,bw106,2022,2022-05-07,1,non_breeder,127
Coccothraustes coccothraustes,Kernbeißer,bw106,2022,2022-03-19,1,non_breeder,78
Coccothraustes coccothraustes,Kernbeißer,bw106,2023,2023-03-22,6,non_breeder,81
Coccothraustes coccothraustes,Kernbeißer,bw106,2023,2023-05-15,0,non_breeder,135
Coccothraustes coccothraustes,Kernbeißer,bw106,2023,2023-06-08,0,non_breeder,159
Coccothraustes coccothraustes,Kernbeißer,bw106,2023,2023-04-21,0,non_breeder,111
Coccothraustes coccothraustes,Kernbeißer,bw106,2024,2024-03-21,1,non_breeder,81
Coccothraustes coccothraustes,Kernbeißer,bw106,2024,2024-04-07,1,non_breeder,98
Coccothraustes coccothraustes,Kernbeißer,bw106,2024,2024-05-19,0,non_breeder,140
Coccothraustes coccothraustes,Kernbeißer,bw106,2024,2024-06-20,1,non_breeder,172
Coccothraustes coccothraustes,Kernbeißer,bw106,2025,2025-03-22,0,non_breeder,81
Coccothraustes coccothraustes,Kernbeißer,bw106,2025,2025-04-30,0,non_breeder,120
Coccothraustes coccothraustes,Kernbeißer,bw106,2025,2025-05-19,5,non_breeder,139
