NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Columba oenas,Hohltaube,bw107,2022,2022-04-18,5,breeder,108
Columba oenas,Hohltaube,bw107,2022,2022-03-20,3,breeder,79
Columba oenas,Hohltaube,bw107,2022,2022-06-06,2,breeder,157
Columba oenas,Hohltaube,bw107,2022,2022-05-15,0,breeder,135
Columba oenas,Hohltaube,bw107,2023,2023-05-07,2,breeder,127
Columba oenas,Hohltaube,bw107,2023,2023-03-19,4,breeder,78
Columba oenas,Hohltaube,bw107,2023,2023-04-10,2,breeder,100
Columba oenas,Hohltaube,bw107,2023,2023-05-28,3,breeder,148
Columba oenas,Hohltaube,bw107,2024,2024-05-12,6,breeder,133
Columba oenas,Hohltaube,bw107,2024,2024-06-09,3,breeder,161
Columba oenas,Hohltaube,bw107,2024,2024-03-30,0,breeder,90
Columba oenas,Hohltaube,bw107,2024,2024-05-01,2,breeder,122
Columba oenas,Hohltaube,bw107,2025,2025-03-16,2,breeder,75
Columba oenas,Hohltaube,bw107,2025,2025-04-06,4,breeder,96
Columba oenas,Hohltaube,bw107,2025,2025-06-01,3,breeder,152
Columba oenas,Hohltaube,bw107,2025,2025-05-01,2,breeder,121
Columba oenas,Hohltaube,bw128,2020,2020-04-18,2,breeder,109
Columba oenas,Hohltaube,bw128,2020,2020-06-20,0,breeder,172
Columba oenas,Hohltaube,bw128,2020,2020-03-28,3,breeder,88
Columba oenas,Hohltaube,bw128,2020,2020-05-19,2,breeder,140
Columba oenas,Hohltaube,bw128,2021,2021-03-29,1,breeder,88
Columba oenas,Hohltaube,bw128,2021,2021-04-24,4,breeder,114
Columba oenas,Hohltaube,bw128,2021,2021-06-15,0,breeder,166
Columba oenas,Hohltaube,bw128,2021,2021-05-15,3,breeder,135
Columba oenas,Hohltaube,bw128,2022,2022-04-22,2,breeder,112
Columba oenas,Hohltaube,bw128,2022,2022-05-08,2,breeder,128
Columba oenas,Hohltaube,bw128,2022,2022-03-25,4,breeder,84
Columba oenas,Hohltaube,bw128,2022,2022-06-03,1,breeder,154
Columba oenas,Hohltaube,bw128,2023,2023-04-14,4,breeder,104
Columba oenas,Hohltaube,bw128,2023,2023-05-13,3,breeder,133
Columba oenas,Hohltaube,bw128,2023,2023-03-28,4,breeder,87
Columba oenas,Hohltaube,bw128,2023,2023-06-02,2,breeder,153
Columba oenas,Hohltaube,bw141,2023,2023-05-20,0,breeder,140
Columba oenas,Hohltaube,bw141,2023,2023-06-11,1,breeder,162
Columba oenas,Hohltaube,bw141,2023,2023-03-29,2,breeder,88
Columba oenas,Hohltaube,bw141,2023,2023-04-22,1,breeder,112
Columba oenas,Hohltaube,bw141,2024,2024-06-16,2,breeder,168
Columba oenas,Hohltaube,bw141,2024,2024-04-29,1,breeder,120
Columba oenas,Hohltaube,bw141,2024,2024-05-20,1,breeder,141
Columba oenas,Hohltaube,bw141,2024,2024-03-28,0,breeder,88
Columba oenas,Hohltaube,bw163,2022,2022-03-15,2,breeder,74
Columba oenas,Hohltaube,bw163,2022,2022-04-29,0,breeder,119
Columba oenas,Hohltaube,bw163,2022,2022-05-19,2,breeder,139
Columba oenas,Hohltaube,bw163,2022,2022-06-13,0,breeder,164
Columba oenas,Hohltaube,bw163,2025,2025-03-16,2,breeder,75
Columba oenas,Hohltaube,bw163,2025,2025-04-04,0,breeder,94
Columba oenas,Hohltaube,bw163,2025,2025-05-01,0,breeder,121
Columba oenas,Hohltaube,bw163,2025,2025-06-16,0,breeder,167
Columba oenas,Hohltaube,bw18,2021,2021-04-16,1,breeder,106
Columba oenas,Hohltaube,bw18,2021,2021-06-14,1,breeder,165
Columba oenas,Hohltaube,bw18,2021,2021-05-14,1,breeder,134
Columba oenas,Hohltaube,bw18,2022,2022-04-22,4,breeder,112
Columba oenas,Hohltaube,bw18,2022,2022-05-12,2,breeder,132
Columba oenas,Hohltaube,bw18,2022,2022-03-15,1,breeder,74
Columba oenas,Hohltaube,bw18,2022,2022-06-21,2,breeder,172
Columba oenas,Hohltaube,bw193,2024,2024-03-31,2,breeder,91
Columba oenas,Hohltaube,bw193,2024,2024-05-20,1,breeder,141
Columba oenas,Hohltaube,bw193,2024,2024-06-24,0,breeder,176
Columba oenas,Hohltaube,bw193,2024,2024-04-26,1,breeder,117
Columba oenas,Hohltaube,bw193,2025,2025-04-20,3,breeder,110
Columba oenas,Hohltaube,bw193,2025,2025-05-20,2,breeder,140
Columba oenas,Hohltaube,bw193,2025,2025-03-27,2,breeder,86
Columba oenas,Hohltaube,bw193,2025,2025-06-17,0,breeder,168
Columba oenas,Hohltaube,bw20,2023,2023-03-23,0,breeder,82
Columba oenas,Hohltaube,bw20,2023,2023-04-19,1,breeder,109
Columba oenas,Hohltaube,bw20,2023,2023-05-17,1,breeder,137
Columba oenas,Hohltaube,bw20,2023,2023-06-17,0,breeder,168
Columba oenas,Hohltaube,bw20,2024,2024-03-21,0,breeder,81
Columba oenas,Hohltaube,bw20,2024,2024-04-14,1,breeder,105
Columba oenas,Hohltaube,bw20,2024,2024-05-27,1,breeder,148
Columba oenas,Hohltaube,bw20,2024,2024-06-27,3,breeder,179
Columba oenas,Hohltaube,bw20,2025,2025-04-21,1,breeder,111
Columba oenas,Hohltaube,bw20,2025,2025-03-25,0,breeder,84
Columba oenas,Hohltaube,bw20,2025,2025-05-12,2,breeder,132
Columba oenas,Hohltaube,bw20,2025,2025-06-16,1,breeder,167
Columba oenas,Hohltaube,bw200,2024,2024-06-16,0,breeder,168
Columba oenas,Hohltaube,bw200,2024,2024-03-17,2,breeder,77
Columba oenas,Hohltaube,bw200,2024,2024-04-07,0,breeder,98
Columba oenas,Hohltaube,bw200,2024,2024-05-12,0,breeder,133
Columba oenas,Hohltaube,bw213,2021,2021-05-16,1,breeder,136
Columba oenas,Hohltaube,bw213,2021,2021-03-29,0,breeder,88
Columba oenas,Hohltaube,bw213,2021,2021-06-19,0,breeder,170
Columba oenas,Hohltaube,bw213,2022,2022-06-04,4,breeder,155
Columba oenas,Hohltaube,bw213,2022,2022-03-13,1,breeder,72
Columba oenas,Hohltaube,bw213,2022,2022-04-22,0,breeder,112
Columba oenas,Hohltaube,bw213,2022,2022-05-15,1,breeder,135
Columba oenas,Hohltaube,bw227,2021,2021-05-08,0,breeder,128
Columba oenas,Hohltaube,bw227,2021,2021-03-20,0,breeder,79
Columba oenas,Hohltaube,bw227,2021,2021-04-24,2,breeder,114
Columba oenas,Hohltaube,bw227,2021,2021-05-22,0,breeder,142
Columba oenas,Hohltaube,bw227,2023,2023-03-21,0,breeder,80
Columba oenas,Hohltaube,bw227,2023,2023-06-20,0,breeder,171
Columba oenas,Hohltaube,bw227,2023,2023-04-20,1,breeder,110
Columba oenas,Hohltaube,bw227,2023,2023-05-15,0,breeder,135
Columba oenas,Hohltaube,bw227,2024,2024-03-27,2,breeder,87
Columba oenas,Hohltaube,bw227,2024,2024-05-13,0,breeder,134
Columba oenas,Hohltaube,bw227,2024,2024-06-08,0,breeder,160
Columba oenas,Hohltaube,bw227,2024,2024-04-28,1,breeder,119
Columba oenas,Hohltaube,bw227,2025,2025-03-30,1,breeder,89
