NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Corvus corone,Rabenkrähe,bw101,2022,2022-03-27,13,non_breeder,86
Corvus corone,Rabenkrähe,bw101,2022,2022-04-17,6,non_breeder,107
Corvus corone,Rabenkrähe,bw101,2022,2022-05-20,7,non_breeder,140
Corvus corone,Rabenkrähe,bw101,2022,2022-06-20,8,non_breeder,171
Corvus corone,Rabenkrähe,bw101,2023,2023-03-31,0,non_breeder,90
Corvus corone,Rabenkrähe,bw101,2023,2023-04-30,3,non_breeder,120
Corvus corone,Rabenkrähe,bw101,2023,2023-05-14,0,non_breeder,134
Corvus corone,Rabenkrähe,bw101,2023,2023-06-06,0,non_breeder,157
Corvus corone,Rabenkrähe,bw111,2022,2022-03-20,49,non_breeder,79
Corvus corone,Rabenkrähe,bw111,2022,2022-04-15,12,non_breeder,105
Corvus corone,Rabenkrähe,bw111,2022,2022-05-08,12,non_breeder,128
Corvus corone,Rabenkrähe,bw111,2022,2022-06-08,4,non_breeder,159
Corvus corone,Rabenkrähe,bw116,2022,2022-04-10,1,non_breeder,100
Corvus corone,Rabenkrähe,bw116,2022,2022-05-10,6,non_breeder,130
Corvus corone,Rabenkrähe,bw116,2022,2022-03-13,1,non_breeder,72
Corvus corone,Rabenkrähe,bw116,2022,2022-06-03,2,non_breeder,154
Corvus corone,Rabenkrähe,bw116,2023,2023-03-17,0,non_breeder,76
Corvus corone,Rabenkrähe,bw116,2023,2023-05-06,2,non_breeder,126
Corvus corone,Rabenkrähe,bw116,2023,2023-05-27,9,non_breeder,147
Corvus corone,Rabenkrähe,bw116,2023,2023-04-18,9,non_breeder,108
Corvus corone,Rabenkrähe,bw116,2024,2024-04-23,0,non_breeder,114
Corvus corone,Rabenkrähe,bw116,2024,2024-06-07,0,non_breeder,159
Corvus corone,Rabenkrähe,bw116,2024,2024-05-11,3,non_breeder,132
Corvus corone,Rabenkrähe,bw116,2024,2024-03-15,0,non_breeder,75
Corvus corone,Rabenkrähe,bw116,2025,2025-04-27,2,non_breeder,117
Corvus corone,Rabenkrähe,bw116,2025,2025-05-08,5,non_breeder,128
Corvus corone,Rabenkrähe,bw116,2025,2025-03-18,5,non_breeder,77
Corvus corone,Rabenkrähe,bw116,2025,2025-06-06,1,non_breeder,157
Corvus corone,Rabenkrähe,bw120,2022,2022-04-16,2,non_breeder,106
Corvus corone,Rabenkrähe,bw120,2022,2022-05-14,10,non_breeder,134
Corvus corone,Rabenkrähe,bw120,2022,2022-06-11,4,non_breeder,162
Corvus corone,Rabenkrähe,bw120,2023,2023-03-25,4,non_breeder,84
Corvus corone,Rabenkrähe,bw120,2023,2023-04-23,5,non_breeder,113
Corvus corone,Rabenkrähe,bw120,2023,2023-05-14,6,non_breeder,134
Corvus corone,Rabenkrähe,bw120,2023,2023-06-03,10,non_breeder,154
Corvus corone,Rabenkrähe,bw120,2024,2024-03-17,1,non_breeder,77
Corvus corone,Rabenkrähe,bw120,2024,2024-04-27,3,non_breeder,118
Corvus corone,Rabenkrähe,bw120,2024,2024-05-12,3,non_breeder,133
Corvus corone,Rabenkrähe,bw120,2024,2024-06-08,13,non_breeder,160
Corvus corone,Rabenkrähe,bw120,2025,2025-03-16,3,non_breeder,75
Corvus corone,Rabenkrähe,bw120,2025,2025-04-12,6,non_breeder,102
Corvus corone,Rabenkrähe,bw120,2025,2025-05-11,5,non_breeder,131
Corvus corone,Rabenkrähe,bw120,2025,2025-06-01,3,non_breeder,152
Corvus corone,Rabenkrähe,bw121,2022,2022-05-17,1,non_breeder,137
Corvus corone,Rabenkrähe,bw121,2022,2022-03-29,2,non_breeder,88
Corvus corone,Rabenkrähe,bw121,2022,2022-04-26,1,non_breeder,116
Corvus corone,Rabenkrähe,bw121,2022,2022-06-12,0,non_breeder,163
Corvus corone,Rabenkrähe,bw121,2023,2023-04-23,0,non_breeder,113
Corvus corone,Rabenkrähe,bw121,2023,2023-05-18,0,non_breeder,138
Corvus corone,Rabenkrähe,bw121,2023,2023-03-19,3,non_breeder,78
Corvus corone,Rabenkrähe,bw121,2023,2023-06-12,0,non_breeder,163
Corvus corone,Rabenkrähe,bw121,2024,2024-06-12,0,non_breeder,164
Corvus corone,Rabenkrähe,bw121,2024,2024-04-13,1,non_breeder,104
Corvus corone,Rabenkrähe,bw121,2024,2024-03-28,0,non_breeder,88
Corvus corone,Rabenkrähe,bw121,2024,2024-05-03,1,non_breeder,124
Corvus corone,Rabenkrähe,bw121,2024,2024-05-02,0,non_breeder,123
