NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Cyanistes caeruleus,Blaumeise,bw110,2022,2022-04-14,2,non_breeder,104
Cyanistes caeruleus,Blaumeise,bw110,2022,2022-06-04,0,non_breeder,155
Cyanistes caeruleus,Blaumeise,bw110,2022,2022-03-29,1,non_breeder,88
Cyanistes caeruleus,Blaumeise,bw110,2022,2022-05-10,1,non_breeder,130
Cyanistes caeruleus,Blaumeise,bw110,2023,2023-04-09,2,non_breeder,99
Cyanistes caeruleus,Blaumeise,bw110,2023,2023-05-03,1,non_breeder,123
Cyanistes caeruleus,Blaumeise,bw110,2023,2023-05-19,0,non_breeder,139
Cyanistes caeruleus,Blaumeise,bw110,2023,2023-06-19,1,non_breeder,170
Cyanistes caeruleus,Blaumeise,bw110,2024,2024-03-31,2,non_breeder,91
Cyanistes caeruleus,Blaumeise,bw110,2024,2024-05-15,0,non_breeder,136
Cyanistes caeruleus,Blaumeise,bw110,2024,2024-04-27,1,non_breeder,118
Cyanistes caeruleus,Blaumeise,bw110,2024,2024-06-26,0,non_breeder,178
Cyanistes caeruleus,Blaumeise,bw116,2022,2022-04-10,9,non_breeder,100
Cyanistes caeruleus,Blaumeise,bw116,2022,2022-05-10,2,non_breeder,130
Cyanistes caeruleus,Blaumeise,bw116,2022,2022-03-13,7,non_breeder,72
Cyanistes caeruleus,Blaumeise,bw116,2022,2022-06-03,1,non_breeder,154
Cyanistes caeruleus,Blaumeise,bw116,2023,2023-03-17,14,non_breeder,76
Cyanistes caeruleus,Blaumeise,bw116,2023,2023-05-06,3,non_breeder,126
Cyanistes caeruleus,Blaumeise,bw116,2023,2023-05-27,2,non_breeder,147
Cyanistes caeruleus,Blaumeise,bw116,2023,2023-04-18,12,non_breeder,108
Cyanistes caeruleus,Blaumeise,bw116,2024,2024-04-23,3,non_breeder,114
Cyanistes caeruleus,Blaumeise,bw116,2024,2024-06-07,2,non_breeder,159
Cyanistes caeruleus,Blaumeise,bw116,2024,2024-05-11,6,non_breeder,132
Cyanistes caeruleus,Blaumeise,bw116,2024,2024-03-15,9,non_breeder,75
Cyanistes caeruleus,Blaumeise,bw116,2025,2025-04-27,1,non_breeder,117
Cyanistes caeruleus,Blaumeise,bw116,2025,2025-05-08,1,non_breeder,128
Cyanistes caeruleus,Blaumeise,bw116,2025,2025-03-18,4,non_breeder,77
Cyanistes caeruleus,Blaumeise,bw116,2025,2025-06-06,0,non_breeder,157
Cyanistes caeruleus,Blaumeise,bw127,2024,2024-05-25,2,non_breeder,146
Cyanistes caeruleus,Blaumeise,bw127,2024,2024-04-27,8,non_breeder,118
Cyanistes caeruleus,Blaumeise,bw127,2024,2024-03-26,6,non_breeder,86
Cyanistes caeruleus,Blaumeise,bw127,2025,2025-04-11,11,non_breeder,101
Cyanistes caeruleus,Blaumeise,bw127,2025,2025-05-05,5,non_breeder,125
Cyanistes caeruleus,Blaumeise,bw127,2025,2025-03-22,7,non_breeder,81
Cyanistes caeruleus,Blaumeise,bw127,2025,2025-05-23,6,non_breeder,143
Cyanistes caeruleus,Blaumeise,bw131,2022,2022-03-27,1,non_breeder,86
Cyanistes caeruleus,Blaumeise,bw131,2022,2022-05-07,1,non_breeder,127
Cyanistes caeruleus,Blaumeise,bw131,2022,2022-05-28,2,non_breeder,148
Cyanistes caeruleus,Blaumeise,bw131,2022,2022-06-26,1,non_breeder,177
Cyanistes caeruleus,Blaumeise,bw131,2023,2023-03-28,1,non_breeder,87
Cyanistes caeruleus,Blaumeise,bw131,2023,2023-04-27,1,non_breeder,117
Cyanistes caeruleus,Blaumeise,bw131,2023,2023-05-14,0,non_breeder,134
Cyanistes caeruleus,Blaumeise,bw131,2023,2023-06-11,0,non_breeder,162
Cyanistes caeruleus,Blaumeise,bw131,2024,2024-03-30,6,non_breeder,90
Cyanistes caeruleus,Blaumeise,bw131,2024,2024-04-28,1,non_breeder,119
Cyanistes caeruleus,Blaumeise,bw131,2024,2024-05-19,4,non_breeder,140
Cyanistes caeruleus,Blaumeise,bw131,2024,2024-06-16,5,non_breeder,168
Cyanistes caeruleus,Blaumeise,bw131,2025,2025-03-28,4,non_breeder,87
Cyanistes caeruleus,Blaumeise,bw131,2025,2025-04-30,0,non_breeder,120
Cyanistes caeruleus,Blaumeise,bw131,2025,2025-05-26,1,non_breeder,146
Cyanistes caeruleus,Blaumeise,bw131,2025,2025-06-15,3,non_breeder,166
Cyanistes caeruleus,Blaumeise,bw138,2022,2022-06-11,2,non_breeder,162
Cyanistes caeruleus,Blaumeise,bw138,2022,2022-03-19,1,non_breeder,78
