NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Dryocopus martius,Schwarzspecht,bw10,2022,2022-06-09,1,non_breeder,160
Dryocopus martius,Schwarzspecht,bw10,2022,2022-05-14,0,non_breeder,134
Dryocopus martius,Schwarzspecht,bw10,2022,2022-03-20,1,non_breeder,79
Dryocopus martius,Schwarzspecht,bw10,2022,2022-04-22,1,non_breeder,112
Dryocopus martius,Schwarzspecht,bw10,2024,2024-06-08,0,non_breeder,160
Dryocopus martius,Schwarzspecht,bw10,2024,2024-03-11,1,non_breeder,71
Dryocopus martius,Schwarzspecht,bw10,2024,2024-04-05,0,non_breeder,96
Dryocopus martius,Schwarzspecht,bw10,2024,2024-05-04,0,non_breeder,125
Dryocopus martius,Schwarzspecht,bw10,2024,2024-04-04,0,non_breeder,95
Dryocopus martius,Schwarzspecht,bw10,2025,2025-04-16,0,non_breeder,106
Dryocopus martius,Schwarzspecht,bw10,2025,2025-05-31,0,non_breeder,151
Dryocopus martius,Schwarzspecht,bw10,2025,2025-03-23,1,non_breeder,82
Dryocopus martius,Schwarzspecht,bw10,2025,2025-05-11,0,non_breeder,131
Dryocopus martius,Schwarzspecht,bw103,2025,2025-06-11,0,non_breeder,162
Dryocopus martius,Schwarzspecht,bw103,2025,2025-03-28,1,non_breeder,87
Dryocopus martius,Schwarzspecht,bw103,2025,2025-04-23,0,non_breeder,113
Dryocopus martius,Schwarzspecht,bw103,2025,2025-05-17,0,non_breeder,137
Dryocopus martius,Schwarzspecht,bw103,2025,2025-05-19,0,non_breeder,139
Dryocopus martius,Schwarzspecht,bw105,2024,2024-04-13,0,non_breeder,104
Dryocopus martius,Schwarzspecht,bw105,2024,2024-03-27,0,non_breeder,87
Dryocopus martius,Schwarzspecht,bw105,2024,2024-05-12,1,non_breeder,133
Dryocopus martius,Schwarzspecht,bw105,2024,2024-06-12,0,non_breeder,164
Dryocopus martius,Schwarzspecht,bw106,2020,2020-04-19,0,non_breeder,110
Dryocopus martius,Schwarzspecht,bw106,2020,2020-05-17,0,non_breeder,138
Dryocopus martius,Schwarzspecht,bw106,2020,2020-03-27,0,non_breeder,87
Dryocopus martius,Schwarzspecht,bw106,2020,2020-06-19,1,non_breeder,171
Dryocopus martius,Schwarzspecht,bw106,2022,2022-05-30,0,non_breeder,150
Dryocopus martius,Schwarzspecht,bw106,2022,2022-04-29,0,non_breeder,119
Dryocopus martius,Schwarzspecht,bw106,2022,2022-05-07,0,non_breeder,127
Dryocopus martius,Schwarzspecht,bw106,2022,2022-03-19,1,non_breeder,78
Dryocopus martius,Schwarzspecht,bw106,2024,2024-03-21,0,non_breeder,81
Dryocopus martius,Schwarzspecht,bw106,2024,2024-04-07,1,non_breeder,98
Dryocopus martius,Schwarzspecht,bw106,2024,2024-05-19,0,non_breeder,140
Dryocopus martius,Schwarzspecht,bw106,2024,2024-06-20,0,non_breeder,172
Dryocopus martius,Schwarzspecht,bw106,2025,2025-03-22,0,non_breeder,81
Dryocopus martius,Schwarzspecht,bw106,2025,2025-04-30,0,non_breeder,120
Dryocopus martius,Schwarzspecht,bw106,2025,2025-05-19,0,non_breeder,139
Dryocopus martius,Schwarzspecht,bw106,2025,2025-06-14,1,non_breeder,165
Dryocopus martius,Schwarzspecht,bw115,2021,2021-03-21,1,non_breeder,80
Dryocopus martius,Schwarzspecht,bw115,2021,2021-04-18,0,non_breeder,108
Dryocopus martius,Schwarzspecht,bw115,2021,2021-05-09,0,non_breeder,129
Dryocopus martius,Schwarzspecht,bw115,2021,2021-05-30,0,non_breeder,150
Dryocopus martius,Schwarzspecht,bw115,2022,2022-03-13,2,non_breeder,72
Dryocopus martius,Schwarzspecht,bw115,2022,2022-04-10,2,non_breeder,100
Dryocopus martius,Schwarzspecht,bw115,2022,2022-06-06,1,non_breeder,157
Dryocopus martius,Schwarzspecht,bw115,2022,2022-05-01,1,non_breeder,121
Dryocopus martius,Schwarzspecht,bw115,2023,2023-03-11,2,non_breeder,70
Dryocopus martius,Schwarzspecht,bw115,2023,2023-04-15,1,non_breeder,105
Dryocopus martius,Schwarzspecht,bw115,2023,2023-05-01,0,non_breeder,121
Dryocopus martius,Schwarzspecht,bw115,2023,2023-06-11,0,non_breeder,162
Dryocopus martius,Schwarzspecht,bw115,2024,2024-03-10,1,non_breeder,70
Dryocopus martius,Schwarzspecht,bw115,2024,2024-05-26,2,non_breeder,147
Dryocopus martius,Schwarzspecht,bw115,2024,2024-04-07,0,non_breeder,98
Dryocopus martius,Schwarzspecht,bw115,2024,2024-05-01,0,non_breeder,122
Dryocopus martius,Schwarzspecht,bw115,2025,2025-03-16,1,non_breeder,75
Dryocopus martius,Schwarzspecht,bw115,2025,2025-04-13,0,non_breeder,103
Dryocopus martius,Schwarzspecht,bw115,2025,2025-06-01,1,non_breeder,152
Dryocopus martius,Schwarzspecht,bw115,2025,2025-05-01,0,non_breeder,121
Dryocopus martius,Schwarzspecht,bw116,2022,2022-04-10,0,non_breeder,100
Dryocopus martius,Schwarzspecht,bw116,2022,2022-05-10,1,non_breeder,130
Dryocopus martius,Schwarzspecht,bw116,2022,2022-03-13,1,non_breeder,72
Dryocopus martius,Schwarzspecht,bw116,2022,2022-06-03,0,non_breeder,154
Dryocopus martius,Schwarzspecht,bw119,2023,2023-05-20,1,non_breeder,140
Dryocopus martius,Schwarzspecht,bw119,2023,2023-06-15,0,non_breeder,166
Dryocopus martius,Schwarzspecht,bw119,2023,2023-03-22,0,non_breeder,81
Dryocopus martius,Schwarzspecht,bw119,2023,2023-04-19,0,non_breeder,109
Dryocopus martius,Schwarzspecht,bw119,2023,2023-04-18,0,non_breeder,108
Dryocopus martius,Schwarzspecht,bw119,2024,2024-05-02,0,non_breeder,123
Dryocopus martius,Schwarzspecht,bw119,2024,2024-03-12,0,non_breeder,72
Dryocopus martius,Schwarzspecht,bw119,2024,2024-04-22,0,non_breeder,113
Dryocopus martius,Schwarzspecht,bw119,2024,2024-06-16,1,non_breeder,168
Dryocopus martius,Schwarzspecht,bw119,2024,2024-04-21,0,non_breeder,112
