NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Emberiza calandra,Grauammer,bw20,2024,2024-03-21,0,non_breeder,81
Emberiza calandra,Grauammer,bw20,2024,2024-04-14,0,non_breeder,105
Emberiza calandra,Grauammer,bw20,2024,2024-05-27,0,non_breeder,148
Emberiza calandra,Grauammer,bw20,2024,2024-06-27,2,non_breeder,179
Emberiza calandra,Grauammer,bw20,2025,2025-04-21,0,non_breeder,111
Emberiza calandra,Grauammer,bw20,2025,2025-03-25,0,non_breeder,84
Emberiza calandra,Grauammer,bw20,2025,2025-05-12,0,non_breeder,132
Emberiza calandra,Grauammer,bw20,2025,2025-06-16,2,non_breeder,167
Emberiza calandra,Grauammer,bw22,2025,2025-04-23,0,non_breeder,113
Emberiza calandra,Grauammer,bw22,2025,2025-03-26,0,non_breeder,85
Emberiza calandra,Grauammer,bw22,2025,2025-05-13,1,non_breeder,133
Emberiza calandra,Grauammer,bw22,2025,2025-06-17,1,non_breeder,168
Emberiza calandra,Grauammer,bw25,2025,2025-03-21,0,non_breeder,80
Emberiza calandra,Grauammer,bw25,2025,2025-04-04,0,non_breeder,94
Emberiza calandra,Grauammer,bw25,2025,2025-05-16,0,non_breeder,136
Emberiza calandra,Grauammer,bw25,2025,2025-06-03,1,non_breeder,154
Emberiza calandra,Grauammer,bw250,2025,2025-06-16,0,non_breeder,167
Emberiza calandra,Grauammer,bw250,2025,2025-04-27,0,non_breeder,117
Emberiza calandra,Grauammer,bw250,2025,2025-05-09,1,non_breeder,129
Emberiza calandra,Grauammer,bw250,2025,2025-03-31,0,non_breeder,90
Emberiza calandra,Grauammer,bw34,2022,2022-05-15,0,non_breeder,135
Emberiza calandra,Grauammer,bw34,2022,2022-03-16,0,non_breeder,75
Emberiza calandra,Grauammer,bw34,2022,2022-06-20,0,non_breeder,171
Emberiza calandra,Grauammer,bw34,2022,2022-04-20,1,non_breeder,110
Emberiza calandra,Grauammer,bw384,2024,2024-05-20,0,non_breeder,141
Emberiza calandra,Grauammer,bw384,2024,2024-06-16,1,non_breeder,168
Emberiza calandra,Grauammer,bw384,2024,2024-04-29,0,non_breeder,120
Emberiza calandra,Grauammer,bw75,2024,2024-06-05,0,non_breeder,157
Emberiza calandra,Grauammer,bw75,2024,2024-03-19,1,non_breeder,79
Emberiza calandra,Grauammer,bw75,2024,2024-04-15,0,non_breeder,106
Emberiza calandra,Grauammer,bw75,2024,2024-05-14,0,non_breeder,135
Emberiza calandra,Grauammer,bw78,2022,2022-06-03,0,non_breeder,154
Emberiza calandra,Grauammer,bw78,2022,2022-03-23,2,non_breeder,82
Emberiza calandra,Grauammer,bw78,2022,2022-04-14,2,non_breeder,104
Emberiza calandra,Grauammer,bw78,2022,2022-05-17,4,non_breeder,137
Emberiza calandra,Grauammer,bw78,2023,2023-06-01,1,non_breeder,152
Emberiza calandra,Grauammer,bw78,2023,2023-03-21,0,non_breeder,80
Emberiza calandra,Grauammer,bw78,2023,2023-04-18,0,non_breeder,108
Emberiza calandra,Grauammer,bw78,2023,2023-05-06,1,non_breeder,126
Emberiza calandra,Grauammer,bw78,2024,2024-06-07,1,non_breeder,159
Emberiza calandra,Grauammer,bw78,2024,2024-03-20,0,non_breeder,80
Emberiza calandra,Grauammer,bw78,2024,2024-04-23,0,non_breeder,114
Emberiza calandra,Grauammer,bw78,2024,2024-05-10,0,non_breeder,131
