NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Lophophanes cristatus,Haubenmeise,bw106,2021,2021-05-19,0,non_breeder,139
Lophophanes cristatus,Haubenmeise,bw106,2021,2021-06-14,0,non_breeder,165
Lophophanes cristatus,Haubenmeise,bw106,2021,2021-03-28,0,non_breeder,87
Lophophanes cristatus,Haubenmeise,bw106,2021,2021-04-26,1,non_breeder,116
Lophophanes cristatus,Haubenmeise,bw120,2022,2022-04-16,0,non_breeder,106
Lophophanes cristatus,Haubenmeise,bw120,2022,2022-05-14,1,non_breeder,134
Lophophanes cristatus,Haubenmeise,bw120,2022,2022-06-11,0,non_breeder,162
Lophophanes cristatus,Haubenmeise,bw120,2024,2024-03-17,0,non_breeder,77
Lophophanes cristatus,Haubenmeise,bw120,2024,2024-04-27,1,non_breeder,118
Lophophanes cristatus,Haubenmeise,bw120,2024,2024-05-12,0,non_breeder,133
Lophophanes cristatus,Haubenmeise,bw120,2024,2024-06-08,0,non_breeder,160
Lophophanes cristatus,Haubenmeise,bw121,2022,2022-05-17,1,non_breeder,137
Lophophanes cristatus,Haubenmeise,bw121,2022,2022-03-29,4,non_breeder,88
Lophophanes cristatus,Haubenmeise,bw121,2022,2022-04-26,4,non_breeder,116
Lophophanes cristatus,Haubenmeise,bw121,2022,2022-06-12,0,non_breeder,163
Lophophanes cristatus,Haubenmeise,bw121,2023,2023-04-23,0,non_breeder,113
Lophophanes cristatus,Haubenmeise,bw121,2023,2023-05-18,3,non_breeder,138
Lophophanes cristatus,Haubenmeise,bw121,2023,2023-03-19,1,non_breeder,78
Lophophanes cristatus,Haubenmeise,bw121,2023,2023-06-12,1,non_breeder,163
Lophophanes cristatus,Haubenmeise,bw121,2024,2024-06-12,0,non_breeder,164
Lophophanes cristatus,Haubenmeise,bw121,2024,2024-04-13,2,non_breeder,104
Lophophanes cristatus,Haubenmeise,bw121,2024,2024-03-28,3,non_breeder,88
Lophophanes cristatus,Haubenmeise,bw121,2024,2024-05-03,1,non_breeder,124
Lophophanes cristatus,Haubenmeise,bw121,2024,2024-05-02,0,non_breeder,123
Lophophanes cristatus,Haubenmeise,bw121,2025,2025-03-23,0,non_breeder,82
Lophophanes cristatus,Haubenmeise,bw121,2025,2025-05-18,2,non_breeder,138
Lophophanes cristatus,Haubenmeise,bw121,2025,2025-06-07,2,non_breeder,158
Lophophanes cristatus,Haubenmeise,bw121,2025,2025-04-12,0,non_breeder,102
Lophophanes cristatus,Haubenmeise,bw127,2024,2024-05-25,1,non_breeder,146
Lophophanes cristatus,Haubenmeise,bw127,2024,2024-04-27,1,non_breeder,118
Lophophanes cristatus,Haubenmeise,bw127,2024,2024-03-26,3,non_breeder,86
Lophophanes cristatus,Haubenmeise,bw136,2022,2022-03-27,2,non_breeder,86
Lophophanes cristatus,Haubenmeise,bw136,2022,2022-05-15,0,non_breeder,135
Lophophanes cristatus,Haubenmeise,bw136,2022,2022-04-27,1,non_breeder,117
Lophophanes cristatus,Haubenmeise,bw136,2022,2022-06-12,0,non_breeder,163
Lophophanes cristatus,Haubenmeise,bw136,2023,2023-06-12,0,non_breeder,163
Lophophanes cristatus,Haubenmeise,bw136,2023,2023-04-29,1,non_breeder,119
Lophophanes cristatus,Haubenmeise,bw136,2023,2023-05-18,0,non_breeder,138
Lophophanes cristatus,Haubenmeise,bw136,2023,2023-03-28,0,non_breeder,87
Lophophanes cristatus,Haubenmeise,bw136,2024,2024-03-30,1,non_breeder,90
Lophophanes cristatus,Haubenmeise,bw136,2024,2024-05-13,1,non_breeder,134
Lophophanes cristatus,Haubenmeise,bw136,2024,2024-06-29,1,non_breeder,181
Lophophanes cristatus,Haubenmeise,bw136,2024,2024-04-28,0,non_breeder,119
Lophophanes cristatus,Haubenmeise,bw136,2024,2024-06-28,0,non_breeder,180
Lophophanes cristatus,Haubenmeise,bw136,2025,2025-04-27,1,non_breeder,117
Lophophanes cristatus,Haubenmeise,bw136,2025,2025-03-28,1,non_breeder,87
Lophophanes cristatus,Haubenmeise,bw136,2025,2025-05-18,0,non_breeder,138
Lophophanes cristatus,Haubenmeise,bw136,2025,2025-06-19,0,non_breeder,170
Lophophanes cristatus,Haubenmeise,bw136,2025,2025-06-18,0,non_breeder,169
Lophophanes cristatus,Haubenmeise,bw139,2022,2022-04-28,4,non_breeder,118
Lophophanes cristatus,Haubenmeise,bw139,2022,2022-03-28,4,non_breeder,87
Lophophanes cristatus,Haubenmeise,bw139,2022,2022-05-13,2,non_breeder,133
Lophophanes cristatus,Haubenmeise,bw139,2022,2022-06-11,4,non_breeder,162
Lophophanes cristatus,Haubenmeise,bw139,2023,2023-03-27,1,non_breeder,86
Lophophanes cristatus,Haubenmeise,bw139,2023,2023-06-20,3,non_breeder,171
Lophophanes cristatus,Haubenmeise,bw139,2023,2023-04-29,3,non_breeder,119
Lophophanes cristatus,Haubenmeise,bw139,2023,2023-05-19,0,non_breeder,139
Lophophanes cristatus,Haubenmeise,bw139,2025,2025-03-28,5,non_breeder,87
Lophophanes cristatus,Haubenmeise,bw139,2025,2025-04-30,4,non_breeder,120
Lophophanes cristatus,Haubenmeise,bw139,2025,2025-05-14,2,non_breeder,134
Lophophanes cristatus,Haubenmeise,bw139,2025,2025-06-17,9,non_breeder,168
Lophophanes cristatus,Haubenmeise,bw14,2022,2022-03-12,0,non_breeder,71
Lophophanes cristatus,Haubenmeise,bw14,2022,2022-04-12,1,non_breeder,102
Lophophanes cristatus,Haubenmeise,bw14,2022,2022-05-03,0,non_breeder,123
Lophophanes cristatus,Haubenmeise,bw14,2022,2022-06-09,2,non_breeder,160
Lophophanes cristatus,Haubenmeise,bw14,2023,2023-03-18,0,non_breeder,77
Lophophanes cristatus,Haubenmeise,bw14,2023,2023-04-08,0,non_breeder,98
Lophophanes cristatus,Haubenmeise,bw14,2023,2023-05-18,0,non_breeder,138
Lophophanes cristatus,Haubenmeise,bw14,2023,2023-06-07,1,non_breeder,158
Lophophanes cristatus,Haubenmeise,bw14,2025,2025-05-07,0,non_breeder,127
Lophophanes cristatus,Haubenmeise,bw14,2025,2025-03-17,1,non_breeder,76
Lophophanes cristatus,Haubenmeise,bw14,2025,2025-04-11,0,non_breeder,101
Lophophanes cristatus,Haubenmeise,bw14,2025,2025-06-12,0,non_breeder,163
Lophophanes cristatus,Haubenmeise,bw141,2024,2024-06-16,0,non_breeder,168
Lophophanes cristatus,Haubenmeise,bw141,2024,2024-04-29,0,non_breeder,120
Lophophanes cristatus,Haubenmeise,bw141,2024,2024-05-20,1,non_breeder,141
Lophophanes cristatus,Haubenmeise,bw141,2024,2024-03-28,0,non_breeder,88
Lophophanes cristatus,Haubenmeise,bw143,2025,2025-04-19,0,non_breeder,109
Lophophanes cristatus,Haubenmeise,bw143,2025,2025-03-22,1,non_breeder,81
