NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Nucifraga caryocatactes,Tannenhäher,bw10,2022,2022-06-09,0,non_breeder,160
Nucifraga caryocatactes,Tannenhäher,bw10,2022,2022-05-14,0,non_breeder,134
Nucifraga caryocatactes,Tannenhäher,bw10,2022,2022-03-20,1,non_breeder,79
Nucifraga caryocatactes,Tannenhäher,bw10,2022,2022-04-22,2,non_breeder,112
Nucifraga caryocatactes,Tannenhäher,bw10,2023,2023-04-30,0,non_breeder,120
Nucifraga caryocatactes,Tannenhäher,bw10,2023,2023-05-14,0,non_breeder,134
Nucifraga caryocatactes,Tannenhäher,bw10,2023,2023-05-27,0,non_breeder,147
Nucifraga caryocatactes,Tannenhäher,bw10,2023,2023-03-18,1,non_breeder,77
Nucifraga caryocatactes,Tannenhäher,bw178,2022,2022-06-19,0,non_breeder,170
Nucifraga caryocatactes,Tannenhäher,bw178,2022,2022-03-12,0,non_breeder,71
Nucifraga caryocatactes,Tannenhäher,bw178,2022,2022-04-23,0,non_breeder,113
Nucifraga caryocatactes,Tannenhäher,bw178,2022,2022-05-21,1,non_breeder,141
Nucifraga caryocatactes,Tannenhäher,bw215,2022,2022-03-17,0,non_breeder,76
Nucifraga caryocatactes,Tannenhäher,bw215,2022,2022-04-13,1,non_breeder,103
Nucifraga caryocatactes,Tannenhäher,bw215,2022,2022-05-10,0,non_breeder,130
Nucifraga caryocatactes,Tannenhäher,bw215,2022,2022-06-02,0,non_breeder,153
Nucifraga caryocatactes,Tannenhäher,bw224,2022,2022-05-03,1,non_breeder,123
Nucifraga caryocatactes,Tannenhäher,bw224,2022,2022-05-25,1,non_breeder,145
Nucifraga caryocatactes,Tannenhäher,bw224,2022,2022-03-10,2,non_breeder,69
Nucifraga caryocatactes,Tannenhäher,bw224,2022,2022-04-28,0,non_breeder,118
Nucifraga caryocatactes,Tannenhäher,bw299,2021,2021-06-12,1,non_breeder,163
Nucifraga caryocatactes,Tannenhäher,bw299,2021,2021-03-27,0,non_breeder,86
Nucifraga caryocatactes,Tannenhäher,bw299,2021,2021-05-16,0,non_breeder,136
Nucifraga caryocatactes,Tannenhäher,bw299,2021,2021-04-10,0,non_breeder,100
Nucifraga caryocatactes,Tannenhäher,bw331,2024,2024-04-27,0,non_breeder,118
Nucifraga caryocatactes,Tannenhäher,bw331,2024,2024-06-23,0,non_breeder,175
Nucifraga caryocatactes,Tannenhäher,bw331,2024,2024-05-19,2,non_breeder,140
Nucifraga caryocatactes,Tannenhäher,bw354,2022,2022-03-29,2,non_breeder,88
Nucifraga caryocatactes,Tannenhäher,bw354,2022,2022-04-30,0,non_breeder,120
Nucifraga caryocatactes,Tannenhäher,bw354,2022,2022-05-19,0,non_breeder,139
