NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Passer domesticus,Haussperling,bw10,2022,2022-06-09,20,breeder,160
Passer domesticus,Haussperling,bw10,2022,2022-05-14,24,breeder,134
Passer domesticus,Haussperling,bw10,2022,2022-03-20,20,breeder,79
Passer domesticus,Haussperling,bw10,2022,2022-04-22,28,breeder,112
Passer domesticus,Haussperling,bw10,2023,2023-04-30,27,breeder,120
Passer domesticus,Haussperling,bw10,2023,2023-05-14,12,breeder,134
Passer domesticus,Haussperling,bw10,2023,2023-05-27,35,breeder,147
Passer domesticus,Haussperling,bw10,2023,2023-03-18,32,breeder,77
Passer domesticus,Haussperling,bw10,2024,2024-06-08,69,breeder,160
Passer domesticus,Haussperling,bw10,2024,2024-03-11,31,breeder,71
Passer domesticus,Haussperling,bw10,2024,2024-04-05,34,breeder,96
Passer domesticus,Haussperling,bw10,2024,2024-05-04,40,breeder,125
Passer domesticus,Haussperling,bw10,2024,2024-04-04,0,breeder,95
Passer domesticus,Haussperling,bw10,2025,2025-04-16,48,breeder,106
Passer domesticus,Haussperling,bw10,2025,2025-05-31,27,breeder,151
Passer domesticus,Haussperling,bw10,2025,2025-03-23,24,breeder,82
Passer domesticus,Haussperling,bw10,2025,2025-05-11,18,breeder,131
Passer domesticus,Haussperling,bw102,2024,2024-04-27,71,breeder,118
Passer domesticus,Haussperling,bw102,2024,2024-03-25,74,breeder,85
Passer domesticus,Haussperling,bw102,2024,2024-05-18,55,breeder,139
Passer domesticus,Haussperling,bw102,2024,2024-06-17,77,breeder,169
Passer domesticus,Haussperling,bw102,2025,2025-03-25,73,breeder,84
Passer domesticus,Haussperling,bw102,2025,2025-04-10,65,breeder,100
Passer domesticus,Haussperling,bw102,2025,2025-06-09,56,breeder,160
Passer domesticus,Haussperling,bw102,2025,2025-05-12,45,breeder,132
Passer domesticus,Haussperling,bw103,2022,2022-03-27,14,breeder,86
Passer domesticus,Haussperling,bw103,2022,2022-04-22,17,breeder,112
Passer domesticus,Haussperling,bw103,2022,2022-05-13,14,breeder,133
Passer domesticus,Haussperling,bw103,2022,2022-06-19,10,breeder,170
Passer domesticus,Haussperling,bw103,2023,2023-04-23,10,breeder,113
Passer domesticus,Haussperling,bw103,2023,2023-05-18,8,breeder,138
Passer domesticus,Haussperling,bw103,2023,2023-06-09,10,breeder,160
Passer domesticus,Haussperling,bw103,2023,2023-03-27,10,breeder,86
Passer domesticus,Haussperling,bw103,2024,2024-05-20,11,breeder,141
Passer domesticus,Haussperling,bw103,2024,2024-06-03,13,breeder,155
Passer domesticus,Haussperling,bw103,2024,2024-03-25,14,breeder,85
Passer domesticus,Haussperling,bw103,2024,2024-04-22,7,breeder,113
Passer domesticus,Haussperling,bw103,2025,2025-06-11,14,breeder,162
Passer domesticus,Haussperling,bw103,2025,2025-03-28,15,breeder,87
Passer domesticus,Haussperling,bw103,2025,2025-04-23,10,breeder,113
Passer domesticus,Haussperling,bw103,2025,2025-05-17,6,breeder,137
Passer domesticus,Haussperling,bw103,2025,2025-05-19,0,breeder,139
Passer domesticus,Haussperling,bw104,2022,2022-05-30,83,breeder,150
Passer domesticus,Haussperling,bw104,2022,2022-05-11,74,breeder,131
Passer domesticus,Haussperling,bw104,2022,2022-03-21,64,breeder,80
Passer domesticus,Haussperling,bw104,2022,2022-04-13,62,breeder,103
Passer domesticus,Haussperling,bw104,2023,2023-06-09,58,breeder,160
Passer domesticus,Haussperling,bw104,2023,2023-04-27,59,breeder,117
Passer domesticus,Haussperling,bw104,2023,2023-05-18,55,breeder,138
Passer domesticus,Haussperling,bw104,2023,2023-03-21,40,breeder,80
Passer domesticus,Haussperling,bw104,2023,2023-06-08,0,breeder,159
Passer domesticus,Haussperling,bw104,2024,2024-06-12,77,breeder,164
Passer domesticus,Haussperling,bw104,2024,2024-05-14,54,breeder,135
Passer domesticus,Haussperling,bw104,2024,2024-03-19,46,breeder,79
Passer domesticus,Haussperling,bw104,2024,2024-04-13,58,breeder,104
Passer domesticus,Haussperling,bw104,2025,2025-05-13,40,breeder,133
Passer domesticus,Haussperling,bw104,2025,2025-06-17,53,breeder,168
Passer domesticus,Haussperling,bw104,2025,2025-04-11,55,breeder,101
Passer domesticus,Haussperling,bw104,2025,2025-03-21,38,breeder,80
Passer domesticus,Haussperling,bw104,2025,2025-04-10,0,breeder,100
Passer domesticus,Haussperling,bw104,2025,2025-05-12,0,breeder,132
Passer domesticus,Haussperling,bw105,2024,2024-04-13,20,breeder,104
Passer domesticus,Haussperling,bw105,2024,2024-03-27,17,breeder,87
Passer domesticus,Haussperling,bw105,2024,2024-05-12,15,breeder,133
Passer domesticus,Haussperling,bw105,2024,2024-06-12,16,breeder,164
Passer domesticus,Haussperling,bw105,2025,2025-03-27,13,breeder,86
Passer domesticus,Haussperling,bw105,2025,2025-04-29,9,breeder,119
Passer domesticus,Haussperling,bw105,2025,2025-06-17,10,breeder,168
Passer domesticus,Haussperling,bw105,2025,2025-05-14,16,breeder,134
Passer domesticus,Haussperling,bw106,2020,2020-04-19,55,breeder,110
Passer domesticus,Haussperling,bw106,2020,2020-05-17,46,breeder,138
Passer domesticus,Haussperling,bw106,2020,2020-03-27,31,breeder,87
Passer domesticus,Haussperling,bw106,2020,2020-06-19,76,breeder,171
Passer domesticus,Haussperling,bw106,2021,2021-05-19,25,breeder,139
Passer domesticus,Haussperling,bw106,2021,2021-06-14,30,breeder,165
Passer domesticus,Haussperling,bw106,2021,2021-03-28,37,breeder,87
Passer domesticus,Haussperling,bw106,2021,2021-04-26,34,breeder,116
Passer domesticus,Haussperling,bw106,2022,2022-05-30,37,breeder,150
Passer domesticus,Haussperling,bw106,2022,2022-04-29,25,breeder,119
Passer domesticus,Haussperling,bw106,2022,2022-05-07,34,breeder,127
Passer domesticus,Haussperling,bw106,2022,2022-03-19,32,breeder,78
Passer domesticus,Haussperling,bw106,2023,2023-03-22,36,breeder,81
Passer domesticus,Haussperling,bw106,2023,2023-05-15,40,breeder,135
Passer domesticus,Haussperling,bw106,2023,2023-06-08,18,breeder,159
Passer domesticus,Haussperling,bw106,2023,2023-04-21,30,breeder,111
Passer domesticus,Haussperling,bw106,2024,2024-03-21,114,breeder,81
Passer domesticus,Haussperling,bw106,2024,2024-04-07,58,breeder,98
Passer domesticus,Haussperling,bw106,2024,2024-05-19,67,breeder,140
Passer domesticus,Haussperling,bw106,2024,2024-06-20,85,breeder,172
Passer domesticus,Haussperling,bw106,2025,2025-03-22,17,breeder,81
Passer domesticus,Haussperling,bw106,2025,2025-04-30,25,breeder,120
Passer domesticus,Haussperling,bw106,2025,2025-05-19,31,breeder,139
Passer domesticus,Haussperling,bw106,2025,2025-06-14,70,breeder,165
Passer domesticus,Haussperling,bw108,2023,2023-05-05,14,breeder,125
Passer domesticus,Haussperling,bw108,2023,2023-06-02,13,breeder,153
Passer domesticus,Haussperling,bw108,2023,2023-03-22,37,breeder,81
Passer domesticus,Haussperling,bw108,2023,2023-04-22,18,breeder,112
Passer domesticus,Haussperling,bw108,2024,2024-04-06,51,breeder,97
Passer domesticus,Haussperling,bw108,2024,2024-06-16,25,breeder,168
Passer domesticus,Haussperling,bw108,2024,2024-03-22,30,breeder,82
Passer domesticus,Haussperling,bw108,2024,2024-05-04,15,breeder,125
Passer domesticus,Haussperling,bw108,2025,2025-03-25,19,breeder,84
Passer domesticus,Haussperling,bw108,2025,2025-04-20,7,breeder,110
