NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Passer domesticus,Haussperling,bw101,2022,2022-03-27,0,non_breeder,86
Passer domesticus,Haussperling,bw101,2022,2022-04-17,10,non_breeder,107
Passer domesticus,Haussperling,bw101,2022,2022-05-20,10,non_breeder,140
Passer domesticus,Haussperling,bw101,2022,2022-06-20,1,non_breeder,171
Passer domesticus,Haussperling,bw101,2023,2023-03-31,4,non_breeder,90
Passer domesticus,Haussperling,bw101,2023,2023-04-30,0,non_breeder,120
Passer domesticus,Haussperling,bw101,2023,2023-05-14,6,non_breeder,134
Passer domesticus,Haussperling,bw101,2023,2023-06-06,5,non_breeder,157
Passer domesticus,Haussperling,bw110,2022,2022-04-14,3,non_breeder,104
Passer domesticus,Haussperling,bw110,2022,2022-06-04,3,non_breeder,155
Passer domesticus,Haussperling,bw110,2022,2022-03-29,10,non_breeder,88
Passer domesticus,Haussperling,bw110,2022,2022-05-10,4,non_breeder,130
Passer domesticus,Haussperling,bw110,2023,2023-04-09,5,non_breeder,99
Passer domesticus,Haussperling,bw110,2023,2023-05-03,3,non_breeder,123
Passer domesticus,Haussperling,bw110,2023,2023-05-19,1,non_breeder,139
Passer domesticus,Haussperling,bw110,2023,2023-06-19,2,non_breeder,170
Passer domesticus,Haussperling,bw110,2024,2024-03-31,3,non_breeder,91
Passer domesticus,Haussperling,bw110,2024,2024-05-15,3,non_breeder,136
Passer domesticus,Haussperling,bw110,2024,2024-04-27,2,non_breeder,118
Passer domesticus,Haussperling,bw110,2024,2024-06-26,3,non_breeder,178
Passer domesticus,Haussperling,bw111,2022,2022-03-20,11,non_breeder,79
Passer domesticus,Haussperling,bw111,2022,2022-04-15,10,non_breeder,105
Passer domesticus,Haussperling,bw111,2022,2022-05-08,16,non_breeder,128
Passer domesticus,Haussperling,bw111,2022,2022-06-08,14,non_breeder,159
Passer domesticus,Haussperling,bw117,2021,2021-03-20,3,non_breeder,79
Passer domesticus,Haussperling,bw117,2021,2021-04-30,0,non_breeder,120
Passer domesticus,Haussperling,bw117,2021,2021-05-21,0,non_breeder,141
Passer domesticus,Haussperling,bw117,2021,2021-06-15,0,non_breeder,166
Passer domesticus,Haussperling,bw117,2025,2025-03-27,0,non_breeder,86
Passer domesticus,Haussperling,bw117,2025,2025-04-23,0,non_breeder,113
Passer domesticus,Haussperling,bw117,2025,2025-05-16,2,non_breeder,136
Passer domesticus,Haussperling,bw117,2025,2025-06-13,0,non_breeder,164
Passer domesticus,Haussperling,bw127,2024,2024-05-25,13,non_breeder,146
Passer domesticus,Haussperling,bw127,2024,2024-04-27,24,non_breeder,118
Passer domesticus,Haussperling,bw127,2024,2024-03-26,14,non_breeder,86
Passer domesticus,Haussperling,bw127,2025,2025-04-11,15,non_breeder,101
Passer domesticus,Haussperling,bw127,2025,2025-05-05,9,non_breeder,125
Passer domesticus,Haussperling,bw127,2025,2025-03-22,14,non_breeder,81
Passer domesticus,Haussperling,bw127,2025,2025-05-23,10,non_breeder,143
Passer domesticus,Haussperling,bw129,2022,2022-03-24,21,non_breeder,83
Passer domesticus,Haussperling,bw129,2022,2022-04-18,12,non_breeder,108
Passer domesticus,Haussperling,bw129,2022,2022-05-28,12,non_breeder,148
Passer domesticus,Haussperling,bw129,2022,2022-05-08,10,non_breeder,128
Passer domesticus,Haussperling,bw129,2023,2023-05-13,13,non_breeder,133
Passer domesticus,Haussperling,bw129,2023,2023-05-30,10,non_breeder,150
Passer domesticus,Haussperling,bw129,2023,2023-04-18,3,non_breeder,108
Passer domesticus,Haussperling,bw129,2023,2023-03-25,14,non_breeder,84
Passer domesticus,Haussperling,bw129,2024,2024-04-16,21,non_breeder,107
Passer domesticus,Haussperling,bw129,2024,2024-03-22,9,non_breeder,82
Passer domesticus,Haussperling,bw129,2024,2024-05-13,11,non_breeder,134
Passer domesticus,Haussperling,bw129,2024,2024-06-04,10,non_breeder,156
Passer domesticus,Haussperling,bw129,2025,2025-03-25,10,non_breeder,84
Passer domesticus,Haussperling,bw129,2025,2025-06-12,8,non_breeder,163
Passer domesticus,Haussperling,bw129,2025,2025-05-09,5,non_breeder,129
Passer domesticus,Haussperling,bw129,2025,2025-04-16,2,non_breeder,106
Passer domesticus,Haussperling,bw132,2025,2025-05-19,0,non_breeder,139
Passer domesticus,Haussperling,bw132,2025,2025-06-11,0,non_breeder,162
Passer domesticus,Haussperling,bw132,2025,2025-03-22,1,non_breeder,81
