NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Phoenicurus ochruros,Hausrotschwanz,bw107,2022,2022-04-18,2,non_breeder,108
Phoenicurus ochruros,Hausrotschwanz,bw107,2022,2022-03-20,1,non_breeder,79
Phoenicurus ochruros,Hausrotschwanz,bw107,2022,2022-06-06,0,non_breeder,157
Phoenicurus ochruros,Hausrotschwanz,bw107,2022,2022-05-15,1,non_breeder,135
Phoenicurus ochruros,Hausrotschwanz,bw107,2023,2023-05-07,1,non_breeder,127
Phoenicurus ochruros,Hausrotschwanz,bw107,2023,2023-03-19,0,non_breeder,78
Phoenicurus ochruros,Hausrotschwanz,bw107,2023,2023-04-10,0,non_breeder,100
Phoenicurus ochruros,Hausrotschwanz,bw107,2023,2023-05-28,2,non_breeder,148
Phoenicurus ochruros,Hausrotschwanz,bw107,2024,2024-05-12,1,non_breeder,133
Phoenicurus ochruros,Hausrotschwanz,bw107,2024,2024-06-09,0,non_breeder,161
Phoenicurus ochruros,Hausrotschwanz,bw107,2024,2024-03-30,0,non_breeder,90
Phoenicurus ochruros,Hausrotschwanz,bw107,2024,2024-05-01,2,non_breeder,122
Phoenicurus ochruros,Hausrotschwanz,bw107,2025,2025-03-16,0,non_breeder,75
Phoenicurus ochruros,Hausrotschwanz,bw107,2025,2025-04-06,0,non_breeder,96
Phoenicurus ochruros,Hausrotschwanz,bw107,2025,2025-06-01,3,non_breeder,152
Phoenicurus ochruros,Hausrotschwanz,bw107,2025,2025-05-01,2,non_breeder,121
Phoenicurus ochruros,Hausrotschwanz,bw110,2022,2022-04-14,2,non_breeder,104
Phoenicurus ochruros,Hausrotschwanz,bw110,2022,2022-06-04,2,non_breeder,155
Phoenicurus ochruros,Hausrotschwanz,bw110,2022,2022-03-29,7,non_breeder,88
Phoenicurus ochruros,Hausrotschwanz,bw110,2022,2022-05-10,2,non_breeder,130
Phoenicurus ochruros,Hausrotschwanz,bw110,2023,2023-04-09,3,non_breeder,99
Phoenicurus ochruros,Hausrotschwanz,bw110,2023,2023-05-03,0,non_breeder,123
Phoenicurus ochruros,Hausrotschwanz,bw110,2023,2023-05-19,2,non_breeder,139
Phoenicurus ochruros,Hausrotschwanz,bw110,2023,2023-06-19,1,non_breeder,170
Phoenicurus ochruros,Hausrotschwanz,bw110,2024,2024-03-31,1,non_breeder,91
