NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Picus canus,Grauspecht,bw114,2024,2024-03-28,0,breeder,88
Picus canus,Grauspecht,bw114,2024,2024-04-28,0,breeder,119
Picus canus,Grauspecht,bw114,2024,2024-05-18,1,breeder,139
Picus canus,Grauspecht,bw114,2024,2024-06-14,0,breeder,166
Picus canus,Grauspecht,bw227,2021,2021-05-08,0,breeder,128
Picus canus,Grauspecht,bw227,2021,2021-03-20,2,breeder,79
Picus canus,Grauspecht,bw227,2021,2021-04-24,1,breeder,114
Picus canus,Grauspecht,bw227,2021,2021-05-22,0,breeder,142
Picus canus,Grauspecht,bw227,2022,2022-03-20,0,breeder,79
Picus canus,Grauspecht,bw227,2022,2022-04-17,0,breeder,107
Picus canus,Grauspecht,bw227,2022,2022-05-09,1,breeder,129
Picus canus,Grauspecht,bw227,2022,2022-05-28,0,breeder,148
Picus canus,Grauspecht,bw227,2023,2023-03-21,1,breeder,80
Picus canus,Grauspecht,bw227,2023,2023-06-20,0,breeder,171
Picus canus,Grauspecht,bw227,2023,2023-04-20,0,breeder,110
Picus canus,Grauspecht,bw227,2023,2023-05-15,0,breeder,135
Picus canus,Grauspecht,bw227,2024,2024-03-27,2,breeder,87
Picus canus,Grauspecht,bw227,2024,2024-05-13,0,breeder,134
Picus canus,Grauspecht,bw227,2024,2024-06-08,0,breeder,160
Picus canus,Grauspecht,bw227,2024,2024-04-28,0,breeder,119
Picus canus,Grauspecht,bw227,2025,2025-03-30,0,breeder,89
Picus canus,Grauspecht,bw227,2025,2025-04-16,0,breeder,106
Picus canus,Grauspecht,bw227,2025,2025-05-19,2,breeder,139
Picus canus,Grauspecht,bw227,2025,2025-06-08,0,breeder,159
Picus canus,Grauspecht,bw259,2024,2024-05-20,1,breeder,141
Picus canus,Grauspecht,bw259,2024,2024-06-17,0,breeder,169
Picus canus,Grauspecht,bw259,2024,2024-03-21,0,breeder,81
Picus canus,Grauspecht,bw259,2024,2024-04-19,3,breeder,110
Picus canus,Grauspecht,bw259,2025,2025-04-26,0,breeder,116
Picus canus,Grauspecht,bw259,2025,2025-05-13,1,breeder,133
Picus canus,Grauspecht,bw259,2025,2025-06-13,0,breeder,164
Picus canus,Grauspecht,bw259,2025,2025-03-20,0,breeder,79
