NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Picus canus,Grauspecht,bw10,2022,2022-06-09,0,non_breeder,160
Picus canus,Grauspecht,bw10,2022,2022-05-14,0,non_breeder,134
Picus canus,Grauspecht,bw10,2022,2022-03-20,2,non_breeder,79
Picus canus,Grauspecht,bw10,2022,2022-04-22,0,non_breeder,112
Picus canus,Grauspecht,bw103,2022,2022-03-27,1,non_breeder,86
Picus canus,Grauspecht,bw103,2022,2022-04-22,1,non_breeder,112
Picus canus,Grauspecht,bw103,2022,2022-05-13,1,non_breeder,133
Picus canus,Grauspecht,bw103,2022,2022-06-19,0,non_breeder,170
Picus canus,Grauspecht,bw103,2023,2023-04-23,1,non_breeder,113
Picus canus,Grauspecht,bw103,2023,2023-05-18,0,non_breeder,138
Picus canus,Grauspecht,bw103,2023,2023-06-09,0,non_breeder,160
Picus canus,Grauspecht,bw103,2023,2023-03-27,0,non_breeder,86
Picus canus,Grauspecht,bw104,2022,2022-05-30,0,non_breeder,150
Picus canus,Grauspecht,bw104,2022,2022-05-11,1,non_breeder,131
Picus canus,Grauspecht,bw104,2022,2022-03-21,1,non_breeder,80
Picus canus,Grauspecht,bw104,2022,2022-04-13,0,non_breeder,103
Picus canus,Grauspecht,bw104,2023,2023-06-09,0,non_breeder,160
Picus canus,Grauspecht,bw104,2023,2023-04-27,0,non_breeder,117
Picus canus,Grauspecht,bw104,2023,2023-05-18,0,non_breeder,138
Picus canus,Grauspecht,bw104,2023,2023-03-21,1,non_breeder,80
Picus canus,Grauspecht,bw104,2023,2023-06-08,0,non_breeder,159
Picus canus,Grauspecht,bw104,2024,2024-06-12,0,non_breeder,164
Picus canus,Grauspecht,bw104,2024,2024-05-14,0,non_breeder,135
Picus canus,Grauspecht,bw104,2024,2024-03-19,1,non_breeder,79
Picus canus,Grauspecht,bw104,2024,2024-04-13,1,non_breeder,104
Picus canus,Grauspecht,bw106,2020,2020-04-19,2,non_breeder,110
Picus canus,Grauspecht,bw106,2020,2020-05-17,0,non_breeder,138
Picus canus,Grauspecht,bw106,2020,2020-03-27,3,non_breeder,87
Picus canus,Grauspecht,bw106,2020,2020-06-19,0,non_breeder,171
Picus canus,Grauspecht,bw106,2021,2021-05-19,1,non_breeder,139
Picus canus,Grauspecht,bw106,2021,2021-06-14,0,non_breeder,165
Picus canus,Grauspecht,bw106,2021,2021-03-28,0,non_breeder,87
Picus canus,Grauspecht,bw106,2021,2021-04-26,1,non_breeder,116
Picus canus,Grauspecht,bw106,2022,2022-05-30,0,non_breeder,150
Picus canus,Grauspecht,bw106,2022,2022-04-29,0,non_breeder,119
Picus canus,Grauspecht,bw106,2022,2022-05-07,1,non_breeder,127
Picus canus,Grauspecht,bw106,2022,2022-03-19,2,non_breeder,78
Picus canus,Grauspecht,bw107,2025,2025-03-16,0,non_breeder,75
Picus canus,Grauspecht,bw107,2025,2025-04-06,1,non_breeder,96
Picus canus,Grauspecht,bw107,2025,2025-06-01,0,non_breeder,152
Picus canus,Grauspecht,bw107,2025,2025-05-01,2,non_breeder,121
Picus canus,Grauspecht,bw115,2021,2021-03-21,1,non_breeder,80
