NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Picus viridis,Grünspecht,bw100,2025,2025-04-13,3,breeder,103
Picus viridis,Grünspecht,bw100,2025,2025-05-18,1,breeder,138
Picus viridis,Grünspecht,bw100,2025,2025-06-19,2,breeder,170
Picus viridis,Grünspecht,bw100,2025,2025-03-16,6,breeder,75
Picus viridis,Grünspecht,bw106,2020,2020-04-19,2,breeder,110
Picus viridis,Grünspecht,bw106,2020,2020-05-17,3,breeder,138
Picus viridis,Grünspecht,bw106,2020,2020-03-27,2,breeder,87
Picus viridis,Grünspecht,bw106,2020,2020-06-19,0,breeder,171
Picus viridis,Grünspecht,bw106,2021,2021-05-19,1,breeder,139
Picus viridis,Grünspecht,bw106,2021,2021-06-14,0,breeder,165
Picus viridis,Grünspecht,bw106,2021,2021-03-28,10,breeder,87
Picus viridis,Grünspecht,bw106,2021,2021-04-26,6,breeder,116
Picus viridis,Grünspecht,bw106,2022,2022-05-30,2,breeder,150
Picus viridis,Grünspecht,bw106,2022,2022-04-29,2,breeder,119
Picus viridis,Grünspecht,bw106,2022,2022-05-07,0,breeder,127
Picus viridis,Grünspecht,bw106,2022,2022-03-19,2,breeder,78
Picus viridis,Grünspecht,bw106,2023,2023-03-22,4,breeder,81
Picus viridis,Grünspecht,bw106,2023,2023-05-15,1,breeder,135
Picus viridis,Grünspecht,bw106,2023,2023-06-08,2,breeder,159
Picus viridis,Grünspecht,bw106,2023,2023-04-21,2,breeder,111
Picus viridis,Grünspecht,bw106,2024,2024-03-21,2,breeder,81
Picus viridis,Grünspecht,bw106,2024,2024-04-07,13,breeder,98
Picus viridis,Grünspecht,bw106,2024,2024-05-19,0,breeder,140
Picus viridis,Grünspecht,bw106,2024,2024-06-20,0,breeder,172
Picus viridis,Grünspecht,bw107,2022,2022-04-18,6,breeder,108
Picus viridis,Grünspecht,bw107,2022,2022-03-20,5,breeder,79
Picus viridis,Grünspecht,bw107,2022,2022-06-06,1,breeder,157
Picus viridis,Grünspecht,bw107,2022,2022-05-15,1,breeder,135
Picus viridis,Grünspecht,bw107,2023,2023-05-07,0,breeder,127
Picus viridis,Grünspecht,bw107,2023,2023-03-19,4,breeder,78
Picus viridis,Grünspecht,bw107,2023,2023-04-10,1,breeder,100
Picus viridis,Grünspecht,bw107,2023,2023-05-28,2,breeder,148
Picus viridis,Grünspecht,bw107,2024,2024-05-12,0,breeder,133
Picus viridis,Grünspecht,bw107,2024,2024-06-09,1,breeder,161
Picus viridis,Grünspecht,bw107,2024,2024-03-30,2,breeder,90
Picus viridis,Grünspecht,bw107,2024,2024-05-01,3,breeder,122
Picus viridis,Grünspecht,bw107,2025,2025-03-16,4,breeder,75
Picus viridis,Grünspecht,bw107,2025,2025-04-06,3,breeder,96
Picus viridis,Grünspecht,bw107,2025,2025-06-01,2,breeder,152
Picus viridis,Grünspecht,bw107,2025,2025-05-01,2,breeder,121
Picus viridis,Grünspecht,bw115,2021,2021-03-21,2,breeder,80
Picus viridis,Grünspecht,bw115,2021,2021-04-18,4,breeder,108
Picus viridis,Grünspecht,bw115,2021,2021-05-09,1,breeder,129
Picus viridis,Grünspecht,bw115,2021,2021-05-30,3,breeder,150
Picus viridis,Grünspecht,bw115,2022,2022-03-13,4,breeder,72
Picus viridis,Grünspecht,bw115,2022,2022-04-10,7,breeder,100
Picus viridis,Grünspecht,bw115,2022,2022-06-06,1,breeder,157
Picus viridis,Grünspecht,bw115,2022,2022-05-01,3,breeder,121
Picus viridis,Grünspecht,bw115,2023,2023-03-11,3,breeder,70
Picus viridis,Grünspecht,bw115,2023,2023-04-15,5,breeder,105
Picus viridis,Grünspecht,bw115,2023,2023-05-01,1,breeder,121
Picus viridis,Grünspecht,bw115,2023,2023-06-11,2,breeder,162
Picus viridis,Grünspecht,bw115,2024,2024-03-10,1,breeder,70
Picus viridis,Grünspecht,bw115,2024,2024-05-26,0,breeder,147
Picus viridis,Grünspecht,bw115,2024,2024-04-07,2,breeder,98
Picus viridis,Grünspecht,bw115,2024,2024-05-01,4,breeder,122
Picus viridis,Grünspecht,bw115,2025,2025-03-16,3,breeder,75
Picus viridis,Grünspecht,bw115,2025,2025-04-13,5,breeder,103
Picus viridis,Grünspecht,bw115,2025,2025-06-01,5,breeder,152
Picus viridis,Grünspecht,bw115,2025,2025-05-01,3,breeder,121
Picus viridis,Grünspecht,bw117,2021,2021-03-20,3,breeder,79
Picus viridis,Grünspecht,bw117,2021,2021-04-30,1,breeder,120
Picus viridis,Grünspecht,bw117,2021,2021-05-21,0,breeder,141
Picus viridis,Grünspecht,bw117,2021,2021-06-15,1,breeder,166
Picus viridis,Grünspecht,bw117,2025,2025-03-27,2,breeder,86
Picus viridis,Grünspecht,bw117,2025,2025-04-23,1,breeder,113
Picus viridis,Grünspecht,bw117,2025,2025-05-16,1,breeder,136
Picus viridis,Grünspecht,bw117,2025,2025-06-13,3,breeder,164
Picus viridis,Grünspecht,bw120,2022,2022-04-16,1,breeder,106
Picus viridis,Grünspecht,bw120,2022,2022-05-14,0,breeder,134
Picus viridis,Grünspecht,bw120,2022,2022-06-11,1,breeder,162
Picus viridis,Grünspecht,bw120,2023,2023-03-25,1,breeder,84
Picus viridis,Grünspecht,bw120,2023,2023-04-23,2,breeder,113
Picus viridis,Grünspecht,bw120,2023,2023-05-14,0,breeder,134
Picus viridis,Grünspecht,bw120,2023,2023-06-03,0,breeder,154
Picus viridis,Grünspecht,bw120,2024,2024-03-17,2,breeder,77
Picus viridis,Grünspecht,bw120,2024,2024-04-27,2,breeder,118
Picus viridis,Grünspecht,bw120,2024,2024-05-12,2,breeder,133
Picus viridis,Grünspecht,bw120,2024,2024-06-08,2,breeder,160
Picus viridis,Grünspecht,bw120,2025,2025-03-16,2,breeder,75
Picus viridis,Grünspecht,bw120,2025,2025-04-12,3,breeder,102
Picus viridis,Grünspecht,bw120,2025,2025-05-11,1,breeder,131
Picus viridis,Grünspecht,bw120,2025,2025-06-01,0,breeder,152
Picus viridis,Grünspecht,bw123,2021,2021-03-24,1,breeder,83
Picus viridis,Grünspecht,bw123,2021,2021-04-18,7,breeder,108
Picus viridis,Grünspecht,bw123,2021,2021-05-09,4,breeder,129
Picus viridis,Grünspecht,bw123,2021,2021-06-05,2,breeder,156
Picus viridis,Grünspecht,bw123,2022,2022-03-24,2,breeder,83
Picus viridis,Grünspecht,bw123,2022,2022-04-20,0,breeder,110
Picus viridis,Grünspecht,bw123,2022,2022-05-08,1,breeder,128
Picus viridis,Grünspecht,bw123,2022,2022-06-10,1,breeder,161
Picus viridis,Grünspecht,bw123,2023,2023-03-21,1,breeder,80
Picus viridis,Grünspecht,bw123,2023,2023-04-22,1,breeder,112
Picus viridis,Grünspecht,bw123,2023,2023-05-07,1,breeder,127
Picus viridis,Grünspecht,bw123,2023,2023-06-08,1,breeder,159
Picus viridis,Grünspecht,bw123,2024,2024-03-22,2,breeder,82
Picus viridis,Grünspecht,bw123,2024,2024-04-23,0,breeder,114
Picus viridis,Grünspecht,bw123,2024,2024-05-11,1,breeder,132
Picus viridis,Grünspecht,bw123,2024,2024-06-05,0,breeder,157
Picus viridis,Grünspecht,bw123,2025,2025-03-24,1,breeder,83
Picus viridis,Grünspecht,bw123,2025,2025-04-16,2,breeder,106
Picus viridis,Grünspecht,bw123,2025,2025-05-11,1,breeder,131
Picus viridis,Grünspecht,bw123,2025,2025-06-12,1,breeder,163
Picus viridis,Grünspecht,bw124,2023,2023-03-18,3,breeder,77
Picus viridis,Grünspecht,bw124,2023,2023-04-10,3,breeder,100
Picus viridis,Grünspecht,bw124,2023,2023-05-14,2,breeder,134
Picus viridis,Grünspecht,bw124,2023,2023-05-29,3,breeder,149
Picus viridis,Grünspecht,bw124,2024,2024-03-30,4,breeder,90
Picus viridis,Grünspecht,bw124,2024,2024-04-27,2,breeder,118
Picus viridis,Grünspecht,bw124,2024,2024-05-12,2,breeder,133
Picus viridis,Grünspecht,bw124,2024,2024-06-09,0,breeder,161
Picus viridis,Grünspecht,bw124,2025,2025-03-23,4,breeder,82
Picus viridis,Grünspecht,bw124,2025,2025-04-20,3,breeder,110
Picus viridis,Grünspecht,bw124,2025,2025-05-11,3,breeder,131
Picus viridis,Grünspecht,bw124,2025,2025-06-14,2,breeder,165
Picus viridis,Grünspecht,bw125,2023,2023-03-23,1,breeder,82
Picus viridis,Grünspecht,bw125,2023,2023-06-18,3,breeder,169
Picus viridis,Grünspecht,bw125,2023,2023-05-18,1,breeder,138
Picus viridis,Grünspecht,bw125,2023,2023-04-22,1,breeder,112
Picus viridis,Grünspecht,bw125,2024,2024-03-29,3,breeder,89
Picus viridis,Grünspecht,bw128,2020,2020-04-18,5,breeder,109
Picus viridis,Grünspecht,bw128,2020,2020-06-20,6,breeder,172
Picus viridis,Grünspecht,bw128,2020,2020-03-28,4,breeder,88
Picus viridis,Grünspecht,bw128,2020,2020-05-19,1,breeder,140
Picus viridis,Grünspecht,bw128,2021,2021-03-29,5,breeder,88
Picus viridis,Grünspecht,bw128,2021,2021-04-24,2,breeder,114
Picus viridis,Grünspecht,bw128,2021,2021-06-15,5,breeder,166
Picus viridis,Grünspecht,bw128,2021,2021-05-15,3,breeder,135
Picus viridis,Grünspecht,bw128,2022,2022-04-22,2,breeder,112
Picus viridis,Grünspecht,bw128,2022,2022-05-08,3,breeder,128
Picus viridis,Grünspecht,bw128,2022,2022-03-25,6,breeder,84
Picus viridis,Grünspecht,bw128,2022,2022-06-03,2,breeder,154
Picus viridis,Grünspecht,bw128,2023,2023-04-14,3,breeder,104
Picus viridis,Grünspecht,bw128,2023,2023-05-13,1,breeder,133
Picus viridis,Grünspecht,bw128,2023,2023-03-28,4,breeder,87
Picus viridis,Grünspecht,bw128,2023,2023-06-02,1,breeder,153
Picus viridis,Grünspecht,bw128,2025,2025-04-19,2,breeder,109
Picus viridis,Grünspecht,bw128,2025,2025-03-29,1,breeder,88
Picus viridis,Grünspecht,bw128,2025,2025-06-15,1,breeder,166
Picus viridis,Grünspecht,bw128,2025,2025-05-19,1,breeder,139
Picus viridis,Grünspecht,bw132,2024,2024-04-05,3,breeder,96
Picus viridis,Grünspecht,bw132,2024,2024-05-01,2,breeder,122
Picus viridis,Grünspecht,bw132,2024,2024-03-18,5,breeder,78
Picus viridis,Grünspecht,bw132,2024,2024-06-20,4,breeder,172
Picus viridis,Grünspecht,bw132,2025,2025-05-19,1,breeder,139
Picus viridis,Grünspecht,bw132,2025,2025-06-11,3,breeder,162
Picus viridis,Grünspecht,bw132,2025,2025-03-22,5,breeder,81
Picus viridis,Grünspecht,bw132,2025,2025-04-19,5,breeder,109
Picus viridis,Grünspecht,bw143,2022,2022-06-12,0,breeder,163
Picus viridis,Grünspecht,bw143,2022,2022-03-20,3,breeder,79
Picus viridis,Grünspecht,bw143,2022,2022-04-22,1,breeder,112
Picus viridis,Grünspecht,bw143,2022,2022-05-15,0,breeder,135
Picus viridis,Grünspecht,bw143,2023,2023-03-18,0,breeder,77
Picus viridis,Grünspecht,bw143,2023,2023-04-09,2,breeder,99
Picus viridis,Grünspecht,bw143,2023,2023-04-30,6,breeder,120
Picus viridis,Grünspecht,bw143,2023,2023-06-17,0,breeder,168
Picus viridis,Grünspecht,bw143,2024,2024-03-10,4,breeder,70
Picus viridis,Grünspecht,bw143,2024,2024-04-07,3,breeder,98
Picus viridis,Grünspecht,bw143,2024,2024-05-12,4,breeder,133
Picus viridis,Grünspecht,bw143,2024,2024-06-08,4,breeder,160
Picus viridis,Grünspecht,bw143,2024,2024-04-06,0,breeder,97
Picus viridis,Grünspecht,bw143,2025,2025-04-19,0,breeder,109
Picus viridis,Grünspecht,bw143,2025,2025-03-22,2,breeder,81
Picus viridis,Grünspecht,bw143,2025,2025-05-10,0,breeder,130
Picus viridis,Grünspecht,bw143,2025,2025-06-08,2,breeder,159
Picus viridis,Grünspecht,bw147,2022,2022-03-10,4,breeder,69
Picus viridis,Grünspecht,bw147,2022,2022-04-07,2,breeder,97
Picus viridis,Grünspecht,bw147,2022,2022-05-04,3,breeder,124
Picus viridis,Grünspecht,bw147,2022,2022-06-03,1,breeder,154
Picus viridis,Grünspecht,bw147,2023,2023-03-16,2,breeder,75
Picus viridis,Grünspecht,bw147,2023,2023-04-30,1,breeder,120
Picus viridis,Grünspecht,bw147,2023,2023-05-13,1,breeder,133
Picus viridis,Grünspecht,bw147,2023,2023-05-23,0,breeder,143
Picus viridis,Grünspecht,bw147,2024,2024-03-28,1,breeder,88
Picus viridis,Grünspecht,bw147,2024,2024-06-20,2,breeder,172
Picus viridis,Grünspecht,bw147,2024,2024-05-11,2,breeder,132
Picus viridis,Grünspecht,bw147,2024,2024-04-16,3,breeder,107
Picus viridis,Grünspecht,bw147,2025,2025-04-12,4,breeder,102
Picus viridis,Grünspecht,bw147,2025,2025-05-31,2,breeder,151
Picus viridis,Grünspecht,bw147,2025,2025-03-17,6,breeder,76
Picus viridis,Grünspecht,bw147,2025,2025-05-10,1,breeder,130
Picus viridis,Grünspecht,bw148,2025,2025-05-17,0,breeder,137
Picus viridis,Grünspecht,bw148,2025,2025-06-09,1,breeder,160
Picus viridis,Grünspecht,bw148,2025,2025-03-29,1,breeder,88
Picus viridis,Grünspecht,bw148,2025,2025-04-26,0,breeder,116
Picus viridis,Grünspecht,bw155,2025,2025-03-25,2,breeder,84
Picus viridis,Grünspecht,bw155,2025,2025-04-09,2,breeder,99
Picus viridis,Grünspecht,bw155,2025,2025-05-19,0,breeder,139
Picus viridis,Grünspecht,bw155,2025,2025-06-12,2,breeder,163
Picus viridis,Grünspecht,bw179,2022,2022-06-06,0,breeder,157
Picus viridis,Grünspecht,bw179,2022,2022-03-12,6,breeder,71
Picus viridis,Grünspecht,bw179,2022,2022-04-11,2,breeder,101
Picus viridis,Grünspecht,bw179,2022,2022-05-08,2,breeder,128
Picus viridis,Grünspecht,bw179,2023,2023-06-03,0,breeder,154
Picus viridis,Grünspecht,bw179,2023,2023-04-09,3,breeder,99
Picus viridis,Grünspecht,bw179,2023,2023-05-04,1,breeder,124
Picus viridis,Grünspecht,bw179,2023,2023-03-20,5,breeder,79
Picus viridis,Grünspecht,bw179,2024,2024-04-06,2,breeder,97
Picus viridis,Grünspecht,bw179,2024,2024-06-04,2,breeder,156
Picus viridis,Grünspecht,bw179,2024,2024-03-17,0,breeder,77
Picus viridis,Grünspecht,bw179,2024,2024-05-11,4,breeder,132
Picus viridis,Grünspecht,bw179,2025,2025-05-31,1,breeder,151
Picus viridis,Grünspecht,bw179,2025,2025-04-04,3,breeder,94
Picus viridis,Grünspecht,bw179,2025,2025-03-11,4,breeder,70
Picus viridis,Grünspecht,bw179,2025,2025-05-02,1,breeder,122
Picus viridis,Grünspecht,bw189,2024,2024-06-04,2,breeder,156
Picus viridis,Grünspecht,bw189,2024,2024-03-25,5,breeder,85
Picus viridis,Grünspecht,bw189,2024,2024-04-16,3,breeder,107
Picus viridis,Grünspecht,bw189,2024,2024-05-13,4,breeder,134
Picus viridis,Grünspecht,bw189,2025,2025-06-05,0,breeder,156
Picus viridis,Grünspecht,bw189,2025,2025-05-13,5,breeder,133
Picus viridis,Grünspecht,bw189,2025,2025-04-08,2,breeder,98
Picus viridis,Grünspecht,bw189,2025,2025-03-24,5,breeder,83
Picus viridis,Grünspecht,bw204,2023,2023-03-18,4,breeder,77
Picus viridis,Grünspecht,bw204,2023,2023-06-18,1,breeder,169
Picus viridis,Grünspecht,bw204,2023,2023-05-06,2,breeder,126
Picus viridis,Grünspecht,bw204,2023,2023-04-14,4,breeder,104
Picus viridis,Grünspecht,bw204,2024,2024-03-10,4,breeder,70
Picus viridis,Grünspecht,bw204,2024,2024-05-05,1,breeder,126
Picus viridis,Grünspecht,bw204,2024,2024-04-07,3,breeder,98
Picus viridis,Grünspecht,bw204,2024,2024-05-26,2,breeder,147
Picus viridis,Grünspecht,bw204,2025,2025-03-16,2,breeder,75
Picus viridis,Grünspecht,bw204,2025,2025-04-06,1,breeder,96
Picus viridis,Grünspecht,bw204,2025,2025-05-29,1,breeder,149
Picus viridis,Grünspecht,bw204,2025,2025-05-03,0,breeder,123
Picus viridis,Grünspecht,bw205,2023,2023-05-19,2,breeder,139
