NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Podiceps cristatus,Haubentaucher,bw36,2023,2023-06-04,1,non_breeder,155
Podiceps cristatus,Haubentaucher,bw36,2023,2023-05-01,1,non_breeder,121
Podiceps cristatus,Haubentaucher,bw36,2023,2023-03-18,1,non_breeder,77
Podiceps cristatus,Haubentaucher,bw36,2023,2023-04-08,1,non_breeder,98
Podiceps cristatus,Haubentaucher,bw36,2023,2023-04-07,0,non_breeder,97
Podiceps cristatus,Haubentaucher,bw36,2024,2024-05-26,1,non_breeder,147
Podiceps cristatus,Haubentaucher,bw36,2024,2024-05-01,1,non_breeder,122
Podiceps cristatus,Haubentaucher,bw36,2024,2024-03-30,1,non_breeder,90
Podiceps cristatus,Haubentaucher,bw36,2024,2024-04-13,0,non_breeder,104
Podiceps cristatus,Haubentaucher,bw36,2025,2025-05-13,1,non_breeder,133
Podiceps cristatus,Haubentaucher,bw36,2025,2025-06-09,0,non_breeder,160
Podiceps cristatus,Haubentaucher,bw36,2025,2025-03-22,0,non_breeder,81
Podiceps cristatus,Haubentaucher,bw36,2025,2025-04-21,1,non_breeder,111
Podiceps cristatus,Haubentaucher,bw379,2025,2025-05-16,0,non_breeder,136
Podiceps cristatus,Haubentaucher,bw379,2025,2025-06-06,0,non_breeder,157
Podiceps cristatus,Haubentaucher,bw379,2025,2025-03-21,1,non_breeder,80
Podiceps cristatus,Haubentaucher,bw379,2025,2025-04-11,0,non_breeder,101
Podiceps cristatus,Haubentaucher,bw401,2025,2025-06-15,1,non_breeder,166
Podiceps cristatus,Haubentaucher,bw401,2025,2025-04-27,0,non_breeder,117
Podiceps cristatus,Haubentaucher,bw401,2025,2025-05-31,6,non_breeder,151
Podiceps cristatus,Haubentaucher,bw86,2024,2024-06-13,1,non_breeder,165
Podiceps cristatus,Haubentaucher,bw86,2024,2024-05-14,1,non_breeder,135
Podiceps cristatus,Haubentaucher,bw86,2024,2024-04-18,0,non_breeder,109
Podiceps cristatus,Haubentaucher,bw86,2024,2024-03-27,1,non_breeder,87
Podiceps cristatus,Haubentaucher,bw86,2025,2025-05-20,0,non_breeder,140
Podiceps cristatus,Haubentaucher,bw86,2025,2025-06-17,0,non_breeder,168
Podiceps cristatus,Haubentaucher,bw86,2025,2025-03-26,2,non_breeder,85
Podiceps cristatus,Haubentaucher,bw86,2025,2025-04-23,1,non_breeder,113
