NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Regulus ignicapilla,Sommergoldhähnchen,bw10,2022,2022-06-09,0,non_breeder,160
Regulus ignicapilla,Sommergoldhähnchen,bw10,2022,2022-05-14,1,non_breeder,134
Regulus ignicapilla,Sommergoldhähnchen,bw10,2022,2022-03-20,0,non_breeder,79
Regulus ignicapilla,Sommergoldhähnchen,bw10,2022,2022-04-22,1,non_breeder,112
Regulus ignicapilla,Sommergoldhähnchen,bw10,2023,2023-04-30,1,non_breeder,120
Regulus ignicapilla,Sommergoldhähnchen,bw10,2023,2023-05-14,1,non_breeder,134
Regulus ignicapilla,Sommergoldhähnchen,bw10,2023,2023-05-27,0,non_breeder,147
Regulus ignicapilla,Sommergoldhähnchen,bw10,2023,2023-03-18,0,non_breeder,77
Regulus ignicapilla,Sommergoldhähnchen,bw100,2025,2025-04-13,2,non_breeder,103
Regulus ignicapilla,Sommergoldhähnchen,bw100,2025,2025-05-18,1,non_breeder,138
Regulus ignicapilla,Sommergoldhähnchen,bw100,2025,2025-06-19,2,non_breeder,170
Regulus ignicapilla,Sommergoldhähnchen,bw100,2025,2025-03-16,1,non_breeder,75
Regulus ignicapilla,Sommergoldhähnchen,bw102,2024,2024-04-27,1,non_breeder,118
Regulus ignicapilla,Sommergoldhähnchen,bw102,2024,2024-03-25,0,non_breeder,85
Regulus ignicapilla,Sommergoldhähnchen,bw102,2024,2024-05-18,0,non_breeder,139
Regulus ignicapilla,Sommergoldhähnchen,bw102,2024,2024-06-17,0,non_breeder,169
Regulus ignicapilla,Sommergoldhähnchen,bw103,2022,2022-03-27,1,non_breeder,86
Regulus ignicapilla,Sommergoldhähnchen,bw103,2022,2022-04-22,0,non_breeder,112
Regulus ignicapilla,Sommergoldhähnchen,bw103,2022,2022-05-13,0,non_breeder,133
Regulus ignicapilla,Sommergoldhähnchen,bw103,2022,2022-06-19,0,non_breeder,170
Regulus ignicapilla,Sommergoldhähnchen,bw106,2020,2020-04-19,2,non_breeder,110
Regulus ignicapilla,Sommergoldhähnchen,bw106,2020,2020-05-17,3,non_breeder,138
Regulus ignicapilla,Sommergoldhähnchen,bw106,2020,2020-03-27,1,non_breeder,87
Regulus ignicapilla,Sommergoldhähnchen,bw106,2020,2020-06-19,1,non_breeder,171
Regulus ignicapilla,Sommergoldhähnchen,bw106,2021,2021-05-19,4,non_breeder,139
Regulus ignicapilla,Sommergoldhähnchen,bw106,2021,2021-06-14,1,non_breeder,165
Regulus ignicapilla,Sommergoldhähnchen,bw106,2021,2021-03-28,3,non_breeder,87
Regulus ignicapilla,Sommergoldhähnchen,bw106,2021,2021-04-26,4,non_breeder,116
Regulus ignicapilla,Sommergoldhähnchen,bw106,2022,2022-05-30,0,non_breeder,150
