NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Regulus regulus,Wintergoldhähnchen,bw107,2022,2022-04-18,0,breeder,108
Regulus regulus,Wintergoldhähnchen,bw107,2022,2022-03-20,8,breeder,79
Regulus regulus,Wintergoldhähnchen,bw107,2022,2022-06-06,0,breeder,157
Regulus regulus,Wintergoldhähnchen,bw107,2022,2022-05-15,0,breeder,135
Regulus regulus,Wintergoldhähnchen,bw107,2023,2023-05-07,0,breeder,127
Regulus regulus,Wintergoldhähnchen,bw107,2023,2023-03-19,0,breeder,78
Regulus regulus,Wintergoldhähnchen,bw107,2023,2023-04-10,4,breeder,100
Regulus regulus,Wintergoldhähnchen,bw107,2023,2023-05-28,0,breeder,148
Regulus regulus,Wintergoldhähnchen,bw107,2024,2024-05-12,0,breeder,133
Regulus regulus,Wintergoldhähnchen,bw107,2024,2024-06-09,0,breeder,161
Regulus regulus,Wintergoldhähnchen,bw107,2024,2024-03-30,8,breeder,90
Regulus regulus,Wintergoldhähnchen,bw107,2024,2024-05-01,0,breeder,122
Regulus regulus,Wintergoldhähnchen,bw107,2025,2025-03-16,5,breeder,75
Regulus regulus,Wintergoldhähnchen,bw107,2025,2025-04-06,0,breeder,96
Regulus regulus,Wintergoldhähnchen,bw107,2025,2025-06-01,0,breeder,152
Regulus regulus,Wintergoldhähnchen,bw107,2025,2025-05-01,0,breeder,121
Regulus regulus,Wintergoldhähnchen,bw143,2024,2024-03-10,6,breeder,70
Regulus regulus,Wintergoldhähnchen,bw143,2024,2024-04-07,5,breeder,98
Regulus regulus,Wintergoldhähnchen,bw143,2024,2024-05-12,3,breeder,133
Regulus regulus,Wintergoldhähnchen,bw143,2024,2024-06-08,2,breeder,160
Regulus regulus,Wintergoldhähnchen,bw143,2024,2024-04-06,0,breeder,97
Regulus regulus,Wintergoldhähnchen,bw143,2025,2025-04-19,1,breeder,109
Regulus regulus,Wintergoldhähnchen,bw143,2025,2025-03-22,0,breeder,81
