NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Saxicola rubicola,Schwarzkehlchen,bw101,2022,2022-03-27,0,non_breeder,86
Saxicola rubicola,Schwarzkehlchen,bw101,2022,2022-04-17,1,non_breeder,107
Saxicola rubicola,Schwarzkehlchen,bw101,2022,2022-05-20,0,non_breeder,140
Saxicola rubicola,Schwarzkehlchen,bw101,2022,2022-06-20,0,non_breeder,171
Saxicola rubicola,Schwarzkehlchen,bw148,2024,2024-04-27,1,non_breeder,118
Saxicola rubicola,Schwarzkehlchen,bw148,2024,2024-05-11,1,non_breeder,132
Saxicola rubicola,Schwarzkehlchen,bw148,2024,2024-04-01,0,non_breeder,92
Saxicola rubicola,Schwarzkehlchen,bw165,2025,2025-05-27,0,non_breeder,147
Saxicola rubicola,Schwarzkehlchen,bw165,2025,2025-03-18,1,non_breeder,77
Saxicola rubicola,Schwarzkehlchen,bw165,2025,2025-05-06,0,non_breeder,126
Saxicola rubicola,Schwarzkehlchen,bw165,2025,2025-04-07,0,non_breeder,97
Saxicola rubicola,Schwarzkehlchen,bw179,2023,2023-06-03,0,non_breeder,154
Saxicola rubicola,Schwarzkehlchen,bw179,2023,2023-04-09,1,non_breeder,99
Saxicola rubicola,Schwarzkehlchen,bw179,2023,2023-05-04,0,non_breeder,124
Saxicola rubicola,Schwarzkehlchen,bw179,2023,2023-03-20,2,non_breeder,79
Saxicola rubicola,Schwarzkehlchen,bw179,2024,2024-04-06,0,non_breeder,97
Saxicola rubicola,Schwarzkehlchen,bw179,2024,2024-06-04,1,non_breeder,156
Saxicola rubicola,Schwarzkehlchen,bw179,2024,2024-03-17,0,non_breeder,77
Saxicola rubicola,Schwarzkehlchen,bw179,2024,2024-05-11,0,non_breeder,132
Saxicola rubicola,Schwarzkehlchen,bw20,2024,2024-03-21,0,non_breeder,81
Saxicola rubicola,Schwarzkehlchen,bw20,2024,2024-04-14,1,non_breeder,105
Saxicola rubicola,Schwarzkehlchen,bw20,2024,2024-05-27,2,non_breeder,148
Saxicola rubicola,Schwarzkehlchen,bw20,2024,2024-06-27,0,non_breeder,179
Saxicola rubicola,Schwarzkehlchen,bw20,2025,2025-04-21,0,non_breeder,111
Saxicola rubicola,Schwarzkehlchen,bw20,2025,2025-03-25,0,non_breeder,84
Saxicola rubicola,Schwarzkehlchen,bw20,2025,2025-05-12,1,non_breeder,132
Saxicola rubicola,Schwarzkehlchen,bw20,2025,2025-06-16,0,non_breeder,167
Saxicola rubicola,Schwarzkehlchen,bw232,2025,2025-03-28,0,non_breeder,87
Saxicola rubicola,Schwarzkehlchen,bw232,2025,2025-04-23,1,non_breeder,113
Saxicola rubicola,Schwarzkehlchen,bw232,2025,2025-06-17,0,non_breeder,168
Saxicola rubicola,Schwarzkehlchen,bw232,2025,2025-05-07,0,non_breeder,127
Saxicola rubicola,Schwarzkehlchen,bw234,2023,2023-03-22,0,non_breeder,81
Saxicola rubicola,Schwarzkehlchen,bw234,2023,2023-04-04,0,non_breeder,94
Saxicola rubicola,Schwarzkehlchen,bw234,2023,2023-05-20,0,non_breeder,140
Saxicola rubicola,Schwarzkehlchen,bw234,2023,2023-06-11,2,non_breeder,162
Saxicola rubicola,Schwarzkehlchen,bw234,2023,2023-06-10,0,non_breeder,161
Saxicola rubicola,Schwarzkehlchen,bw246,2025,2025-05-13,0,non_breeder,133
Saxicola rubicola,Schwarzkehlchen,bw246,2025,2025-03-20,0,non_breeder,79
Saxicola rubicola,Schwarzkehlchen,bw246,2025,2025-04-17,1,non_breeder,107
Saxicola rubicola,Schwarzkehlchen,bw246,2025,2025-06-10,0,non_breeder,161
Saxicola rubicola,Schwarzkehlchen,bw25,2025,2025-03-21,0,non_breeder,80
Saxicola rubicola,Schwarzkehlchen,bw25,2025,2025-04-04,1,non_breeder,94
Saxicola rubicola,Schwarzkehlchen,bw25,2025,2025-05-16,0,non_breeder,136
Saxicola rubicola,Schwarzkehlchen,bw25,2025,2025-06-03,0,non_breeder,154
Saxicola rubicola,Schwarzkehlchen,bw253,2022,2022-05-17,1,non_breeder,137
Saxicola rubicola,Schwarzkehlchen,bw253,2022,2022-03-29,2,non_breeder,88
Saxicola rubicola,Schwarzkehlchen,bw253,2022,2022-04-15,0,non_breeder,105
Saxicola rubicola,Schwarzkehlchen,bw255,2024,2024-03-20,1,non_breeder,80
Saxicola rubicola,Schwarzkehlchen,bw255,2024,2024-04-04,0,non_breeder,95
Saxicola rubicola,Schwarzkehlchen,bw255,2024,2024-06-06,3,non_breeder,158
Saxicola rubicola,Schwarzkehlchen,bw255,2024,2024-05-14,1,non_breeder,135
Saxicola rubicola,Schwarzkehlchen,bw255,2025,2025-05-08,1,non_breeder,128
Saxicola rubicola,Schwarzkehlchen,bw255,2025,2025-03-17,0,non_breeder,76
Saxicola rubicola,Schwarzkehlchen,bw255,2025,2025-04-08,2,non_breeder,98
Saxicola rubicola,Schwarzkehlchen,bw255,2025,2025-05-23,0,non_breeder,143
Saxicola rubicola,Schwarzkehlchen,bw256,2024,2024-03-22,0,non_breeder,82
Saxicola rubicola,Schwarzkehlchen,bw256,2024,2024-04-11,0,non_breeder,102
Saxicola rubicola,Schwarzkehlchen,bw256,2024,2024-05-15,0,non_breeder,136
Saxicola rubicola,Schwarzkehlchen,bw256,2024,2024-06-19,1,non_breeder,171
Saxicola rubicola,Schwarzkehlchen,bw259,2024,2024-05-20,0,non_breeder,141
Saxicola rubicola,Schwarzkehlchen,bw259,2024,2024-06-17,3,non_breeder,169
Saxicola rubicola,Schwarzkehlchen,bw259,2024,2024-03-21,3,non_breeder,81
Saxicola rubicola,Schwarzkehlchen,bw259,2024,2024-04-19,1,non_breeder,110
Saxicola rubicola,Schwarzkehlchen,bw259,2025,2025-04-26,0,non_breeder,116
Saxicola rubicola,Schwarzkehlchen,bw259,2025,2025-05-13,1,non_breeder,133
Saxicola rubicola,Schwarzkehlchen,bw259,2025,2025-06-13,4,non_breeder,164
Saxicola rubicola,Schwarzkehlchen,bw259,2025,2025-03-20,2,non_breeder,79
Saxicola rubicola,Schwarzkehlchen,bw260,2024,2024-05-15,0,non_breeder,136
Saxicola rubicola,Schwarzkehlchen,bw260,2024,2024-06-19,1,non_breeder,171
Saxicola rubicola,Schwarzkehlchen,bw260,2024,2024-03-30,0,non_breeder,90
Saxicola rubicola,Schwarzkehlchen,bw260,2024,2024-04-29,0,non_breeder,120
Saxicola rubicola,Schwarzkehlchen,bw28,2025,2025-05-06,0,non_breeder,126
Saxicola rubicola,Schwarzkehlchen,bw28,2025,2025-03-11,0,non_breeder,70
Saxicola rubicola,Schwarzkehlchen,bw28,2025,2025-04-01,1,non_breeder,91
Saxicola rubicola,Schwarzkehlchen,bw28,2025,2025-06-02,0,non_breeder,153
Saxicola rubicola,Schwarzkehlchen,bw289,2025,2025-03-23,1,non_breeder,82
Saxicola rubicola,Schwarzkehlchen,bw289,2025,2025-04-05,1,non_breeder,95
Saxicola rubicola,Schwarzkehlchen,bw289,2025,2025-05-01,3,non_breeder,121
Saxicola rubicola,Schwarzkehlchen,bw289,2025,2025-05-30,1,non_breeder,150
