NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Serinus serinus,Girlitz,bw103,2022,2022-03-27,3,breeder,86
Serinus serinus,Girlitz,bw103,2022,2022-04-22,2,breeder,112
Serinus serinus,Girlitz,bw103,2022,2022-05-13,1,breeder,133
Serinus serinus,Girlitz,bw103,2022,2022-06-19,4,breeder,170
Serinus serinus,Girlitz,bw103,2023,2023-04-23,6,breeder,113
Serinus serinus,Girlitz,bw103,2023,2023-05-18,3,breeder,138
Serinus serinus,Girlitz,bw103,2023,2023-06-09,4,breeder,160
Serinus serinus,Girlitz,bw103,2023,2023-03-27,1,breeder,86
Serinus serinus,Girlitz,bw103,2024,2024-05-20,2,breeder,141
Serinus serinus,Girlitz,bw103,2024,2024-06-03,4,breeder,155
Serinus serinus,Girlitz,bw103,2024,2024-03-25,2,breeder,85
Serinus serinus,Girlitz,bw103,2024,2024-04-22,0,breeder,113
Serinus serinus,Girlitz,bw103,2025,2025-06-11,2,breeder,162
Serinus serinus,Girlitz,bw103,2025,2025-03-28,1,breeder,87
Serinus serinus,Girlitz,bw103,2025,2025-04-23,3,breeder,113
Serinus serinus,Girlitz,bw103,2025,2025-05-17,3,breeder,137
Serinus serinus,Girlitz,bw103,2025,2025-05-19,0,breeder,139
Serinus serinus,Girlitz,bw104,2022,2022-05-30,6,breeder,150
Serinus serinus,Girlitz,bw104,2022,2022-05-11,5,breeder,131
Serinus serinus,Girlitz,bw104,2022,2022-03-21,0,breeder,80
Serinus serinus,Girlitz,bw104,2022,2022-04-13,3,breeder,103
Serinus serinus,Girlitz,bw104,2023,2023-06-09,5,breeder,160
Serinus serinus,Girlitz,bw104,2023,2023-04-27,5,breeder,117
Serinus serinus,Girlitz,bw104,2023,2023-05-18,5,breeder,138
Serinus serinus,Girlitz,bw104,2023,2023-03-21,0,breeder,80
Serinus serinus,Girlitz,bw104,2023,2023-06-08,0,breeder,159
Serinus serinus,Girlitz,bw104,2024,2024-06-12,4,breeder,164
Serinus serinus,Girlitz,bw104,2024,2024-05-14,3,breeder,135
Serinus serinus,Girlitz,bw104,2024,2024-03-19,0,breeder,79
Serinus serinus,Girlitz,bw104,2024,2024-04-13,1,breeder,104
Serinus serinus,Girlitz,bw104,2025,2025-05-13,3,breeder,133
Serinus serinus,Girlitz,bw104,2025,2025-06-17,4,breeder,168
Serinus serinus,Girlitz,bw104,2025,2025-04-11,1,breeder,101
Serinus serinus,Girlitz,bw104,2025,2025-03-21,0,breeder,80
Serinus serinus,Girlitz,bw104,2025,2025-04-10,0,breeder,100
Serinus serinus,Girlitz,bw104,2025,2025-05-12,0,breeder,132
Serinus serinus,Girlitz,bw106,2020,2020-04-19,1,breeder,110
Serinus serinus,Girlitz,bw106,2020,2020-05-17,2,breeder,138
Serinus serinus,Girlitz,bw106,2020,2020-03-27,0,breeder,87
Serinus serinus,Girlitz,bw106,2020,2020-06-19,3,breeder,171
Serinus serinus,Girlitz,bw106,2021,2021-05-19,4,breeder,139
Serinus serinus,Girlitz,bw106,2021,2021-06-14,3,breeder,165
Serinus serinus,Girlitz,bw106,2021,2021-03-28,4,breeder,87
Serinus serinus,Girlitz,bw106,2021,2021-04-26,5,breeder,116
Serinus serinus,Girlitz,bw106,2022,2022-05-30,2,breeder,150
Serinus serinus,Girlitz,bw106,2022,2022-04-29,3,breeder,119
Serinus serinus,Girlitz,bw106,2022,2022-05-07,2,breeder,127
Serinus serinus,Girlitz,bw106,2022,2022-03-19,0,breeder,78
Serinus serinus,Girlitz,bw106,2023,2023-03-22,0,breeder,81
Serinus serinus,Girlitz,bw106,2023,2023-05-15,2,breeder,135
Serinus serinus,Girlitz,bw106,2023,2023-06-08,2,breeder,159
Serinus serinus,Girlitz,bw106,2023,2023-04-21,3,breeder,111
Serinus serinus,Girlitz,bw106,2024,2024-03-21,2,breeder,81
Serinus serinus,Girlitz,bw106,2024,2024-04-07,0,breeder,98
Serinus serinus,Girlitz,bw106,2024,2024-05-19,3,breeder,140
Serinus serinus,Girlitz,bw106,2024,2024-06-20,3,breeder,172
Serinus serinus,Girlitz,bw106,2025,2025-03-22,1,breeder,81
Serinus serinus,Girlitz,bw106,2025,2025-04-30,3,breeder,120
Serinus serinus,Girlitz,bw106,2025,2025-05-19,2,breeder,139
Serinus serinus,Girlitz,bw106,2025,2025-06-14,2,breeder,165
Serinus serinus,Girlitz,bw116,2022,2022-04-10,0,breeder,100
Serinus serinus,Girlitz,bw116,2022,2022-05-10,0,breeder,130
Serinus serinus,Girlitz,bw116,2022,2022-03-13,0,breeder,72
Serinus serinus,Girlitz,bw116,2022,2022-06-03,1,breeder,154
