NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Strix aluco,Waldkauz,bw10,2023,2023-04-30,0,non_breeder,120
Strix aluco,Waldkauz,bw10,2023,2023-05-14,0,non_breeder,134
Strix aluco,Waldkauz,bw10,2023,2023-05-27,0,non_breeder,147
Strix aluco,Waldkauz,bw10,2023,2023-03-18,2,non_breeder,77
Strix aluco,Waldkauz,bw136,2022,2022-03-27,0,non_breeder,86
Strix aluco,Waldkauz,bw136,2022,2022-05-15,0,non_breeder,135
Strix aluco,Waldkauz,bw136,2022,2022-04-27,1,non_breeder,117
Strix aluco,Waldkauz,bw136,2022,2022-06-12,0,non_breeder,163
Strix aluco,Waldkauz,bw150,2023,2023-03-25,1,non_breeder,84
Strix aluco,Waldkauz,bw150,2023,2023-04-23,0,non_breeder,113
Strix aluco,Waldkauz,bw150,2023,2023-05-07,0,non_breeder,127
Strix aluco,Waldkauz,bw150,2023,2023-05-21,0,non_breeder,141
Strix aluco,Waldkauz,bw150,2025,2025-03-23,1,non_breeder,82
Strix aluco,Waldkauz,bw150,2025,2025-04-18,1,non_breeder,108
Strix aluco,Waldkauz,bw150,2025,2025-05-24,0,non_breeder,144
Strix aluco,Waldkauz,bw150,2025,2025-05-10,1,non_breeder,130
Strix aluco,Waldkauz,bw151,2022,2022-03-27,0,non_breeder,86
Strix aluco,Waldkauz,bw151,2022,2022-04-16,1,non_breeder,106
Strix aluco,Waldkauz,bw151,2022,2022-05-08,0,non_breeder,128
Strix aluco,Waldkauz,bw151,2022,2022-05-29,0,non_breeder,149
Strix aluco,Waldkauz,bw173,2024,2024-04-08,0,non_breeder,99
Strix aluco,Waldkauz,bw173,2024,2024-06-06,1,non_breeder,158
Strix aluco,Waldkauz,bw173,2024,2024-03-19,0,non_breeder,79
Strix aluco,Waldkauz,bw173,2024,2024-05-04,0,non_breeder,125
Strix aluco,Waldkauz,bw173,2024,2024-06-05,0,non_breeder,157
Strix aluco,Waldkauz,bw188,2024,2024-04-11,1,non_breeder,102
Strix aluco,Waldkauz,bw188,2024,2024-03-27,2,non_breeder,87
Strix aluco,Waldkauz,bw188,2024,2024-05-09,0,non_breeder,130
Strix aluco,Waldkauz,bw188,2024,2024-06-08,0,non_breeder,160
Strix aluco,Waldkauz,bw195,2021,2021-04-03,2,non_breeder,93
Strix aluco,Waldkauz,bw195,2021,2021-03-12,0,non_breeder,71
Strix aluco,Waldkauz,bw195,2021,2021-06-03,1,non_breeder,154
Strix aluco,Waldkauz,bw195,2021,2021-05-10,0,non_breeder,130
Strix aluco,Waldkauz,bw215,2023,2023-03-21,0,non_breeder,80
Strix aluco,Waldkauz,bw215,2023,2023-05-14,1,non_breeder,134
Strix aluco,Waldkauz,bw215,2023,2023-04-22,0,non_breeder,112
Strix aluco,Waldkauz,bw215,2023,2023-06-01,0,non_breeder,152
Strix aluco,Waldkauz,bw215,2024,2024-04-27,1,non_breeder,118
Strix aluco,Waldkauz,bw215,2024,2024-05-14,0,non_breeder,135
Strix aluco,Waldkauz,bw215,2024,2024-03-20,0,non_breeder,80
Strix aluco,Waldkauz,bw215,2024,2024-06-04,0,non_breeder,156
