NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Acrocephalus palustris,Sumpfrohrsänger,bw100,2025,2025-04-13,0,non_breeder,103
Acrocephalus palustris,Sumpfrohrsänger,bw100,2025,2025-05-18,1,non_breeder,138
Acrocephalus palustris,Sumpfrohrsänger,bw100,2025,2025-06-19,0,non_breeder,170
Acrocephalus palustris,Sumpfrohrsänger,bw100,2025,2025-03-16,0,non_breeder,75
Acrocephalus palustris,Sumpfrohrsänger,bw103,2024,2024-05-20,0,non_breeder,141
Acrocephalus palustris,Sumpfrohrsänger,bw103,2024,2024-06-03,1,non_breeder,155
Acrocephalus palustris,Sumpfrohrsänger,bw103,2024,2024-03-25,0,non_breeder,85
Acrocephalus palustris,Sumpfrohrsänger,bw103,2024,2024-04-22,0,non_breeder,113
Acrocephalus palustris,Sumpfrohrsänger,bw103,2025,2025-06-11,1,non_breeder,162
Acrocephalus palustris,Sumpfrohrsänger,bw103,2025,2025-03-28,0,non_breeder,87
Acrocephalus palustris,Sumpfrohrsänger,bw103,2025,2025-04-23,0,non_breeder,113
Acrocephalus palustris,Sumpfrohrsänger,bw103,2025,2025-05-17,0,non_breeder,137
Acrocephalus palustris,Sumpfrohrsänger,bw103,2025,2025-05-19,0,non_breeder,139
Acrocephalus palustris,Sumpfrohrsänger,bw104,2022,2022-05-30,1,non_breeder,150
Acrocephalus palustris,Sumpfrohrsänger,bw104,2022,2022-05-11,0,non_breeder,131
Acrocephalus palustris,Sumpfrohrsänger,bw104,2022,2022-03-21,0,non_breeder,80
Acrocephalus palustris,Sumpfrohrsänger,bw104,2022,2022-04-13,0,non_breeder,103
Acrocephalus palustris,Sumpfrohrsänger,bw104,2023,2023-06-09,1,non_breeder,160
Acrocephalus palustris,Sumpfrohrsänger,bw104,2023,2023-04-27,0,non_breeder,117
Acrocephalus palustris,Sumpfrohrsänger,bw104,2023,2023-05-18,0,non_breeder,138
Acrocephalus palustris,Sumpfrohrsänger,bw104,2023,2023-03-21,0,non_breeder,80
Acrocephalus palustris,Sumpfrohrsänger,bw104,2023,2023-06-08,0,non_breeder,159
Acrocephalus palustris,Sumpfrohrsänger,bw104,2024,2024-06-12,2,non_breeder,164
Acrocephalus palustris,Sumpfrohrsänger,bw104,2024,2024-05-14,0,non_breeder,135
Acrocephalus palustris,Sumpfrohrsänger,bw104,2024,2024-03-19,0,non_breeder,79
Acrocephalus palustris,Sumpfrohrsänger,bw104,2024,2024-04-13,0,non_breeder,104
