NameSci,NameDt,SiteNr,year,Date,Number_of_individuals,breeding_status_sy,doy
Anthus trivialis,Baumpieper,bw117,2021,2021-03-20,0,breeder,79
Anthus trivialis,Baumpieper,bw117,2021,2021-04-30,2,breeder,120
Anthus trivialis,Baumpieper,bw117,2021,2021-05-21,0,breeder,141
Anthus trivialis,Baumpieper,bw117,2021,2021-06-15,0,breeder,166
Anthus trivialis,Baumpieper,bw117,2025,2025-03-27,0,breeder,86
Anthus trivialis,Baumpieper,bw117,2025,2025-04-23,2,breeder,113
Anthus trivialis,Baumpieper,bw117,2025,2025-05-16,0,breeder,136
Anthus trivialis,Baumpieper,bw117,2025,2025-06-13,0,breeder,164
Anthus trivialis,Baumpieper,bw181,2022,2022-04-13,1,breeder,103
Anthus trivialis,Baumpieper,bw181,2022,2022-05-17,4,breeder,137
Anthus trivialis,Baumpieper,bw181,2022,2022-06-11,3,breeder,162
Anthus trivialis,Baumpieper,bw181,2022,2022-03-16,0,breeder,75
Anthus trivialis,Baumpieper,bw181,2023,2023-04-27,1,breeder,117
Anthus trivialis,Baumpieper,bw181,2023,2023-05-15,3,breeder,135
Anthus trivialis,Baumpieper,bw181,2023,2023-06-16,7,breeder,167
Anthus trivialis,Baumpieper,bw181,2023,2023-03-21,0,breeder,80
Anthus trivialis,Baumpieper,bw181,2024,2024-04-30,2,breeder,121
Anthus trivialis,Baumpieper,bw181,2024,2024-05-14,3,breeder,135
Anthus trivialis,Baumpieper,bw181,2024,2024-06-13,6,breeder,165
Anthus trivialis,Baumpieper,bw181,2024,2024-03-20,0,breeder,80
Anthus trivialis,Baumpieper,bw181,2025,2025-03-20,1,breeder,79
Anthus trivialis,Baumpieper,bw181,2025,2025-04-14,5,breeder,104
Anthus trivialis,Baumpieper,bw181,2025,2025-05-13,6,breeder,133
Anthus trivialis,Baumpieper,bw181,2025,2025-06-11,5,breeder,162
Anthus trivialis,Baumpieper,bw384,2024,2024-05-20,0,breeder,141
Anthus trivialis,Baumpieper,bw384,2024,2024-06-16,0,breeder,168
Anthus trivialis,Baumpieper,bw384,2024,2024-04-29,1,breeder,120
Anthus trivialis,Baumpieper,bw55,2025,2025-03-21,0,breeder,80
Anthus trivialis,Baumpieper,bw55,2025,2025-05-17,1,breeder,137
Anthus trivialis,Baumpieper,bw55,2025,2025-06-13,1,breeder,164
Anthus trivialis,Baumpieper,bw55,2025,2025-04-22,1,breeder,112
Anthus trivialis,Baumpieper,bw59,2022,2022-06-07,5,breeder,158
Anthus trivialis,Baumpieper,bw59,2022,2022-05-02,4,breeder,122
Anthus trivialis,Baumpieper,bw59,2022,2022-03-17,0,breeder,76
Anthus trivialis,Baumpieper,bw59,2022,2022-04-11,2,breeder,101
Anthus trivialis,Baumpieper,bw59,2023,2023-03-14,0,breeder,73
Anthus trivialis,Baumpieper,bw59,2023,2023-04-03,0,breeder,93
Anthus trivialis,Baumpieper,bw59,2023,2023-06-07,8,breeder,158
Anthus trivialis,Baumpieper,bw59,2023,2023-05-04,6,breeder,124
Anthus trivialis,Baumpieper,bw59,2024,2024-03-12,0,breeder,72
Anthus trivialis,Baumpieper,bw59,2024,2024-04-11,2,breeder,102
Anthus trivialis,Baumpieper,bw59,2024,2024-05-14,7,breeder,135
Anthus trivialis,Baumpieper,bw59,2024,2024-06-04,7,breeder,156
Anthus trivialis,Baumpieper,bw59,2025,2025-04-12,4,breeder,102
Anthus trivialis,Baumpieper,bw59,2025,2025-03-12,0,breeder,71
Anthus trivialis,Baumpieper,bw59,2025,2025-05-09,11,breeder,129
Anthus trivialis,Baumpieper,bw59,2025,2025-05-30,5,breeder,150
